case_id,citizen_id,agency_id,case_type,status,opened_at
CASE-00109,CIT-06671,AGY-015,zoning_variance,closed,2026-07-25
CASE-00110,CIT-05429,AGY-045,zoning_variance,closed,2026-03-20
CASE-00111,CIT-05982,AGY-026,permit_review,pending_decision,2026-01-24
CASE-00112,CIT-09238,AGY-029,benefit_application,closed,2026-03-23
CASE-00113,CIT-00133,AGY-048,permit_review,pending_decision,2026-05-21
CASE-00114,CIT-09784,AGY-023,zoning_variance,pending_decision,2026-01-07
CASE-00115,CIT-06588,AGY-007,permit_review,closed,2026-06-11
CASE-00116,CIT-03210,AGY-003,benefit_application,open,2026-05-16
CASE-00117,CIT-05710,AGY-026,benefit_application,closed,2026-08-19
CASE-00118,CIT-05838,AGY-012,zoning_variance,pending_decision,2026-02-15
CASE-00119,CIT-07542,AGY-005,zoning_variance,pending_decision,2026-03-09
CASE-00120,CIT-01598,AGY-023,permit_review,open,2026-01-25
CASE-00121,CIT-00450,AGY-024,license_renewal,open,2026-04-09
CASE-00122,CIT-00620,AGY-040,license_renewal,pending_decision,2026-02-19
CASE-00123,CIT-09191,AGY-010,license_renewal,pending_decision,2026-06-19
CASE-00124,CIT-02616,AGY-027,permit_review,closed,2026-08-12
CASE-00125,CIT-04051,AGY-007,benefit_application,open,2026-05-18
CASE-00126,CIT-04147,AGY-024,permit_review,pending_decision,2026-03-20
CASE-00127,CIT-02617,AGY-036,license_renewal,closed,2026-03-21
CASE-00128,CIT-08962,AGY-049,zoning_variance,open,2026-01-03
CASE-00129,CIT-09668,AGY-008,license_renewal,open,2026-07-25
CASE-00130,CIT-08991,AGY-005,benefit_application,pending_decision,2026-07-19
CASE-00131,CIT-00001,AGY-032,zoning_variance,open,2026-03-22
CASE-00132,CIT-03486,AGY-021,permit_review,under_review,2026-03-24
CASE-00133,CIT-06269,AGY-036,zoning_variance,closed,2026-01-13
CASE-00134,CIT-06743,AGY-014,benefit_application,under_review,2026-01-03
CASE-00135,CIT-04428,AGY-027,permit_review,under_review,2026-08-19
CASE-00136,CIT-01031,AGY-048,zoning_variance,pending_decision,2026-06-22
CASE-00137,CIT-05018,AGY-047,permit_review,under_review,2026-06-06
CASE-00138,CIT-09828,AGY-046,zoning_variance,closed,2026-05-01
CASE-00139,CIT-06324,AGY-024,permit_review,under_review,2026-04-03
CASE-00140,CIT-00899,AGY-025,zoning_variance,closed,2026-03-27
CASE-00141,CIT-04592,AGY-050,benefit_application,closed,2026-08-11
CASE-00142,CIT-07434,AGY-005,benefit_application,open,2026-07-01
CASE-00143,CIT-00953,AGY-009,permit_review,under_review,2026-02-08
CASE-00144,CIT-04310,AGY-032,license_renewal,open,2026-01-14
CASE-00145,CIT-01885,AGY-038,license_renewal,pending_decision,2026-05-14
CASE-00146,CIT-05780,AGY-030,license_renewal,open,2026-03-26
CASE-00147,CIT-02666,AGY-016,license_renewal,open,2026-07-21
CASE-00148,CIT-01592,AGY-045,zoning_variance,closed,2026-04-25
CASE-00149,CIT-06791,AGY-023,zoning_variance,under_review,2026-07-03
CASE-00150,CIT-07964,AGY-027,license_renewal,closed,2026-06-13
CASE-00151,CIT-07872,AGY-005,zoning_variance,closed,2026-02-26
CASE-00152,CIT-06066,AGY-013,zoning_variance,open,2026-05-08
CASE-00153,CIT-05665,AGY-029,permit_review,closed,2026-06-04
CASE-00154,CIT-07450,AGY-007,permit_review,under_review,2026-01-15
CASE-00155,CIT-07304,AGY-048,permit_review,under_review,2026-05-11
CASE-00156,CIT-02465,AGY-024,benefit_application,pending_decision,2026-04-26
CASE-00157,CIT-00611,AGY-009,license_renewal,under_review,2026-06-13
CASE-00158,CIT-06522,AGY-007,zoning_variance,open,2026-08-16
CASE-00159,CIT-02563,AGY-046,benefit_application,under_review,2026-05-01
CASE-00160,CIT-06510,AGY-007,permit_review,closed,2026-01-25
CASE-00161,CIT-05283,AGY-010,zoning_variance,under_review,2026-04-04
CASE-00162,CIT-00486,AGY-037,zoning_variance,under_review,2026-04-22
CASE-00163,CIT-04483,AGY-050,permit_review,under_review,2026-06-26
CASE-00164,CIT-00548,AGY-031,permit_review,open,2026-04-26
CASE-00165,CIT-05916,AGY-039,permit_review,open,2026-01-18
CASE-00166,CIT-02238,AGY-027,benefit_application,closed,2026-02-26
CASE-00167,CIT-00422,AGY-011,permit_review,open,2026-06-15
CASE-00168,CIT-00710,AGY-025,benefit_application,open,2026-04-27
CASE-00169,CIT-00463,AGY-049,permit_review,open,2026-06-08
CASE-00170,CIT-09977,AGY-037,zoning_variance,closed,2026-05-17
CASE-00171,CIT-03757,AGY-009,benefit_application,closed,2026-02-23
CASE-00172,CIT-02235,AGY-022,permit_review,under_review,2026-05-11
CASE-00173,CIT-01532,AGY-048,permit_review,closed,2026-02-15
CASE-00174,CIT-07454,AGY-047,permit_review,under_review,2026-05-21
CASE-00175,CIT-02099,AGY-020,benefit_application,under_review,2026-07-19
CASE-00176,CIT-03582,AGY-033,permit_review,open,2026-03-10
CASE-00177,CIT-06033,AGY-049,permit_review,open,2026-01-18
CASE-00178,CIT-03135,AGY-014,zoning_variance,open,2026-08-08
CASE-00179,CIT-01126,AGY-011,permit_review,open,2026-01-05
CASE-00180,CIT-06211,AGY-043,benefit_application,pending_decision,2026-01-27
CASE-00181,CIT-04686,AGY-007,license_renewal,open,2026-06-22
CASE-00182,CIT-06546,AGY-038,benefit_application,open,2026-08-07
CASE-00183,CIT-04905,AGY-020,license_renewal,closed,2026-07-11
CASE-00184,CIT-07231,AGY-040,permit_review,open,2026-04-02
CASE-00185,CIT-04227,AGY-002,benefit_application,pending_decision,2026-02-24
CASE-00186,CIT-06229,AGY-005,license_renewal,open,2026-06-20
CASE-00187,CIT-05218,AGY-004,permit_review,closed,2026-07-10
CASE-00188,CIT-00534,AGY-034,benefit_application,under_review,2026-07-08
CASE-00189,CIT-01368,AGY-013,zoning_variance,open,2026-06-21
CASE-00190,CIT-02096,AGY-039,zoning_variance,open,2026-02-18
CASE-00191,CIT-02071,AGY-003,permit_review,open,2026-01-17
CASE-00192,CIT-06530,AGY-031,zoning_variance,open,2026-03-16
CASE-00193,CIT-09761,AGY-003,license_renewal,pending_decision,2026-05-02
CASE-00194,CIT-07512,AGY-005,license_renewal,under_review,2026-01-26
CASE-00195,CIT-09210,AGY-008,zoning_variance,under_review,2026-04-20
CASE-00196,CIT-09226,AGY-009,benefit_application,open,2026-02-13
CASE-00197,CIT-01163,AGY-024,permit_review,pending_decision,2026-05-23
CASE-00198,CIT-06959,AGY-016,zoning_variance,closed,2026-06-24
CASE-00199,CIT-05457,AGY-050,benefit_application,under_review,2026-04-05
CASE-00200,CIT-07894,AGY-048,benefit_application,closed,2026-02-06
CASE-00201,CIT-04225,AGY-014,permit_review,closed,2026-01-14
CASE-00202,CIT-03332,AGY-027,zoning_variance,open,2026-07-19
CASE-00203,CIT-04448,AGY-044,zoning_variance,under_review,2026-05-23
CASE-00204,CIT-06591,AGY-029,permit_review,pending_decision,2026-07-11
CASE-00205,CIT-06514,AGY-012,benefit_application,pending_decision,2026-05-06
CASE-00206,CIT-07016,AGY-025,permit_review,open,2026-03-01
CASE-00207,CIT-03427,AGY-020,license_renewal,pending_decision,2026-06-01
CASE-00208,CIT-08354,AGY-039,zoning_variance,open,2026-07-07
CASE-00209,CIT-02193,AGY-028,benefit_application,pending_decision,2026-04-20
CASE-00210,CIT-08149,AGY-035,zoning_variance,pending_decision,2026-04-17
CASE-00211,CIT-09445,AGY-033,license_renewal,under_review,2026-04-25
CASE-00212,CIT-03585,AGY-032,zoning_variance,under_review,2026-05-19
CASE-00213,CIT-01789,AGY-016,permit_review,pending_decision,2026-02-18
CASE-00214,CIT-08746,AGY-036,zoning_variance,under_review,2026-05-26
CASE-00215,CIT-07387,AGY-015,benefit_application,open,2026-04-15
CASE-00216,CIT-03528,AGY-009,zoning_variance,closed,2026-08-10
CASE-00217,CIT-04906,AGY-023,zoning_variance,closed,2026-03-01
CASE-00218,CIT-05879,AGY-010,permit_review,pending_decision,2026-06-01
CASE-00219,CIT-07667,AGY-024,permit_review,under_review,2026-01-09
CASE-00220,CIT-01862,AGY-027,zoning_variance,open,2026-03-12
CASE-00221,CIT-01517,AGY-047,license_renewal,open,2026-02-16
CASE-00222,CIT-03432,AGY-043,benefit_application,pending_decision,2026-05-21
CASE-00223,CIT-01247,AGY-008,zoning_variance,under_review,2026-07-17
CASE-00224,CIT-04694,AGY-004,zoning_variance,open,2026-04-18
CASE-00225,CIT-09830,AGY-026,benefit_application,under_review,2026-07-18
CASE-00226,CIT-05486,AGY-046,zoning_variance,closed,2026-04-02
CASE-00227,CIT-02563,AGY-029,license_renewal,pending_decision,2026-03-04
CASE-00228,CIT-04273,AGY-045,zoning_variance,open,2026-02-07
CASE-00229,CIT-08272,AGY-005,permit_review,closed,2026-08-06
CASE-00230,CIT-08584,AGY-036,benefit_application,closed,2026-04-03
CASE-00231,CIT-05109,AGY-024,benefit_application,closed,2026-01-18
CASE-00232,CIT-04623,AGY-042,permit_review,pending_decision,2026-01-05
CASE-00233,CIT-04522,AGY-015,permit_review,pending_decision,2026-01-05
CASE-00234,CIT-04585,AGY-006,permit_review,open,2026-02-25
CASE-00235,CIT-09915,AGY-044,benefit_application,open,2026-07-10
CASE-00236,CIT-00687,AGY-024,permit_review,closed,2026-04-09
CASE-00237,CIT-08671,AGY-017,license_renewal,closed,2026-08-26
CASE-00238,CIT-00814,AGY-017,permit_review,closed,2026-08-21
CASE-00239,CIT-03141,AGY-022,benefit_application,under_review,2026-02-16
CASE-00240,CIT-00704,AGY-011,permit_review,closed,2026-04-22
CASE-00241,CIT-00029,AGY-026,zoning_variance,open,2026-06-16
CASE-00242,CIT-04302,AGY-042,benefit_application,pending_decision,2026-06-24
CASE-00243,CIT-06756,AGY-011,permit_review,pending_decision,2026-05-10
CASE-00244,CIT-03320,AGY-010,license_renewal,under_review,2026-01-14
CASE-00245,CIT-08477,AGY-041,permit_review,under_review,2026-05-10
CASE-00246,CIT-01479,AGY-048,zoning_variance,under_review,2026-03-05
CASE-00247,CIT-04360,AGY-027,benefit_application,pending_decision,2026-01-06
CASE-00248,CIT-01744,AGY-015,benefit_application,closed,2026-04-07
CASE-00249,CIT-04828,AGY-008,permit_review,pending_decision,2026-06-15
CASE-00250,CIT-07884,AGY-043,zoning_variance,under_review,2026-04-15
CASE-00251,CIT-02967,AGY-028,permit_review,closed,2026-01-01
CASE-00252,CIT-04118,AGY-011,permit_review,pending_decision,2026-07-09
CASE-00253,CIT-09229,AGY-002,zoning_variance,open,2026-03-03
CASE-00254,CIT-09798,AGY-036,benefit_application,closed,2026-06-20
CASE-00255,CIT-08148,AGY-018,license_renewal,closed,2026-01-25
CASE-00256,CIT-03190,AGY-005,permit_review,open,2026-04-12
CASE-00257,CIT-00324,AGY-043,benefit_application,under_review,2026-06-14
CASE-00258,CIT-08621,AGY-004,license_renewal,open,2026-06-12
CASE-00259,CIT-02885,AGY-008,license_renewal,under_review,2026-07-23
CASE-00260,CIT-00650,AGY-045,benefit_application,under_review,2026-08-25
CASE-00261,CIT-06175,AGY-023,zoning_variance,under_review,2026-05-22
CASE-00262,CIT-08080,AGY-043,license_renewal,pending_decision,2026-03-17
CASE-00263,CIT-06542,AGY-024,zoning_variance,closed,2026-03-23
CASE-00264,CIT-04159,AGY-048,benefit_application,closed,2026-07-08
CASE-00265,CIT-08791,AGY-022,license_renewal,under_review,2026-07-23
CASE-00266,CIT-08134,AGY-030,benefit_application,under_review,2026-06-03
CASE-00267,CIT-02703,AGY-003,benefit_application,under_review,2026-06-04
CASE-00268,CIT-02099,AGY-049,permit_review,under_review,2026-04-28
CASE-00269,CIT-04050,AGY-050,permit_review,closed,2026-01-07
CASE-00270,CIT-07646,AGY-040,permit_review,open,2026-04-04
CASE-00271,CIT-09217,AGY-007,permit_review,closed,2026-01-02
CASE-00272,CIT-01838,AGY-040,zoning_variance,open,2026-06-20
CASE-00273,CIT-04376,AGY-002,license_renewal,under_review,2026-06-06
CASE-00274,CIT-08779,AGY-011,license_renewal,open,2026-03-08
CASE-00275,CIT-02079,AGY-036,benefit_application,pending_decision,2026-07-02
CASE-00276,CIT-02029,AGY-050,zoning_variance,open,2026-04-10
CASE-00277,CIT-02453,AGY-048,license_renewal,open,2026-01-16
CASE-00278,CIT-09998,AGY-019,permit_review,under_review,2026-06-11
CASE-00279,CIT-05183,AGY-035,license_renewal,open,2026-08-09
CASE-00280,CIT-04706,AGY-045,permit_review,pending_decision,2026-05-10
CASE-00281,CIT-08704,AGY-019,benefit_application,pending_decision,2026-06-24
CASE-00282,CIT-04408,AGY-049,benefit_application,open,2026-06-07
CASE-00283,CIT-04067,AGY-020,zoning_variance,pending_decision,2026-04-23
CASE-00284,CIT-00292,AGY-012,zoning_variance,pending_decision,2026-08-09
CASE-00285,CIT-04810,AGY-028,license_renewal,under_review,2026-08-19
CASE-00286,CIT-01975,AGY-032,license_renewal,open,2026-05-24
CASE-00287,CIT-05255,AGY-035,permit_review,pending_decision,2026-01-03
CASE-00288,CIT-08316,AGY-006,permit_review,pending_decision,2026-05-05
CASE-00289,CIT-06402,AGY-029,benefit_application,pending_decision,2026-06-21
CASE-00290,CIT-04709,AGY-048,zoning_variance,under_review,2026-08-11
CASE-00291,CIT-00346,AGY-036,license_renewal,under_review,2026-08-15
CASE-00292,CIT-03913,AGY-002,permit_review,open,2026-06-17
CASE-00293,CIT-07358,AGY-045,benefit_application,pending_decision,2026-01-10
CASE-00294,CIT-04948,AGY-048,permit_review,closed,2026-07-17
CASE-00295,CIT-01116,AGY-038,license_renewal,open,2026-07-21
CASE-00296,CIT-08512,AGY-008,zoning_variance,open,2026-08-13
CASE-00297,CIT-08672,AGY-040,zoning_variance,open,2026-06-26
CASE-00298,CIT-04786,AGY-004,zoning_variance,closed,2026-04-27
CASE-00299,CIT-02158,AGY-001,permit_review,closed,2026-06-09
CASE-00300,CIT-08401,AGY-005,permit_review,open,2026-02-08
CASE-00301,CIT-09731,AGY-009,benefit_application,under_review,2026-06-01
CASE-00302,CIT-05259,AGY-048,license_renewal,under_review,2026-05-11
CASE-00303,CIT-02056,AGY-016,zoning_variance,under_review,2026-06-08
CASE-00304,CIT-03674,AGY-031,benefit_application,under_review,2026-01-06
CASE-00305,CIT-03678,AGY-046,benefit_application,closed,2026-08-22
CASE-00306,CIT-04167,AGY-040,license_renewal,open,2026-01-22
CASE-00307,CIT-03634,AGY-015,benefit_application,closed,2026-02-01
CASE-00308,CIT-04391,AGY-009,permit_review,pending_decision,2026-06-15
CASE-00309,CIT-06890,AGY-034,license_renewal,under_review,2026-08-02
CASE-00310,CIT-05105,AGY-022,benefit_application,pending_decision,2026-07-11
CASE-00311,CIT-08841,AGY-036,benefit_application,under_review,2026-08-12
CASE-00312,CIT-02729,AGY-012,zoning_variance,under_review,2026-06-11
CASE-00313,CIT-03835,AGY-031,permit_review,under_review,2026-02-12
CASE-00314,CIT-04487,AGY-041,license_renewal,closed,2026-06-03
CASE-00315,CIT-05378,AGY-029,zoning_variance,pending_decision,2026-07-11
CASE-00316,CIT-02906,AGY-047,license_renewal,open,2026-01-24
CASE-00317,CIT-05080,AGY-040,zoning_variance,open,2026-03-28
CASE-00318,CIT-04643,AGY-021,benefit_application,open,2026-02-14
CASE-00319,CIT-04081,AGY-050,permit_review,under_review,2026-03-12
CASE-00320,CIT-04797,AGY-050,benefit_application,closed,2026-02-19
CASE-00321,CIT-02187,AGY-030,license_renewal,under_review,2026-04-20
CASE-00322,CIT-05543,AGY-044,permit_review,pending_decision,2026-06-11
CASE-00323,CIT-00766,AGY-037,zoning_variance,open,2026-07-25
CASE-00324,CIT-07858,AGY-025,zoning_variance,closed,2026-05-15
CASE-00325,CIT-06377,AGY-034,benefit_application,pending_decision,2026-01-02
CASE-00326,CIT-08233,AGY-024,license_renewal,under_review,2026-05-03
CASE-00327,CIT-08360,AGY-008,zoning_variance,pending_decision,2026-02-27
CASE-00328,CIT-05159,AGY-035,zoning_variance,pending_decision,2026-07-27
CASE-00329,CIT-03311,AGY-013,license_renewal,under_review,2026-08-24
CASE-00330,CIT-01805,AGY-008,benefit_application,closed,2026-03-17
CASE-00331,CIT-07280,AGY-009,zoning_variance,under_review,2026-05-21
CASE-00332,CIT-09125,AGY-042,benefit_application,under_review,2026-06-10
CASE-00333,CIT-00963,AGY-010,zoning_variance,open,2026-07-06
CASE-00334,CIT-08385,AGY-050,zoning_variance,under_review,2026-02-20
CASE-00335,CIT-09386,AGY-039,license_renewal,open,2026-01-17
CASE-00336,CIT-05003,AGY-022,zoning_variance,open,2026-01-07
CASE-00337,CIT-06887,AGY-033,zoning_variance,under_review,2026-07-22
CASE-00338,CIT-07700,AGY-027,zoning_variance,pending_decision,2026-01-12
CASE-00339,CIT-09104,AGY-033,benefit_application,pending_decision,2026-04-12
CASE-00340,CIT-08780,AGY-031,license_renewal,under_review,2026-06-15
CASE-00341,CIT-00245,AGY-012,permit_review,closed,2026-02-17
CASE-00342,CIT-09011,AGY-040,permit_review,under_review,2026-06-02
CASE-00343,CIT-07157,AGY-030,license_renewal,open,2026-01-01
CASE-00344,CIT-07877,AGY-002,zoning_variance,closed,2026-01-06
CASE-00345,CIT-07248,AGY-030,zoning_variance,pending_decision,2026-04-16
CASE-00346,CIT-05421,AGY-008,benefit_application,open,2026-04-06
CASE-00347,CIT-07952,AGY-033,permit_review,open,2026-07-10
CASE-00348,CIT-04353,AGY-047,zoning_variance,pending_decision,2026-01-09
CASE-00349,CIT-06520,AGY-021,license_renewal,pending_decision,2026-03-16
CASE-00350,CIT-07183,AGY-044,permit_review,closed,2026-05-28
CASE-00351,CIT-06637,AGY-023,license_renewal,under_review,2026-08-11
CASE-00352,CIT-07926,AGY-020,benefit_application,closed,2026-05-27
CASE-00353,CIT-03701,AGY-014,permit_review,open,2026-02-07
CASE-00354,CIT-07960,AGY-043,license_renewal,closed,2026-01-23
CASE-00355,CIT-02627,AGY-019,license_renewal,closed,2026-01-20
CASE-00356,CIT-01406,AGY-024,benefit_application,pending_decision,2026-08-23
CASE-00357,CIT-06472,AGY-049,license_renewal,closed,2026-03-12
CASE-00358,CIT-04781,AGY-026,zoning_variance,closed,2026-04-02
CASE-00359,CIT-06138,AGY-025,zoning_variance,closed,2026-01-01
CASE-00360,CIT-06098,AGY-045,benefit_application,closed,2026-02-24
CASE-00361,CIT-00665,AGY-047,permit_review,closed,2026-06-28
CASE-00362,CIT-01085,AGY-027,benefit_application,pending_decision,2026-08-16
CASE-00363,CIT-04082,AGY-040,permit_review,open,2026-03-03
CASE-00364,CIT-00124,AGY-039,license_renewal,closed,2026-03-21
CASE-00365,CIT-08647,AGY-041,benefit_application,pending_decision,2026-02-17
CASE-00366,CIT-06400,AGY-019,permit_review,closed,2026-05-05
CASE-00367,CIT-06417,AGY-022,zoning_variance,closed,2026-03-11
CASE-00368,CIT-07199,AGY-002,license_renewal,closed,2026-04-06
CASE-00369,CIT-06141,AGY-007,benefit_application,under_review,2026-07-07
CASE-00370,CIT-08281,AGY-046,benefit_application,pending_decision,2026-03-13
CASE-00371,CIT-08788,AGY-043,benefit_application,pending_decision,2026-01-10
CASE-00372,CIT-00770,AGY-018,license_renewal,open,2026-05-09
CASE-00373,CIT-00083,AGY-031,permit_review,closed,2026-02-08
CASE-00374,CIT-05373,AGY-045,license_renewal,pending_decision,2026-05-15
CASE-00375,CIT-00085,AGY-005,permit_review,under_review,2026-07-03
CASE-00376,CIT-06859,AGY-019,permit_review,pending_decision,2026-08-24
CASE-00377,CIT-08996,AGY-010,zoning_variance,open,2026-06-13
CASE-00378,CIT-04382,AGY-027,benefit_application,closed,2026-02-08
CASE-00379,CIT-07786,AGY-020,license_renewal,open,2026-06-05
CASE-00380,CIT-05783,AGY-046,zoning_variance,closed,2026-02-01
