application_id,case_id,application_type,status,submitted_at
APP-00134,CASE-09619,renewal_application,submitted,2026-01-14
APP-00135,CASE-08865,renewal_application,approved,2026-07-09
APP-00136,CASE-07500,appeal,approved,2026-03-24
APP-00137,CASE-04129,initial_application,approved,2026-06-23
APP-00138,CASE-06087,appeal,submitted,2026-07-14
APP-00139,CASE-01260,renewal_application,approved,2026-01-10
APP-00140,CASE-04799,appeal,denied,2026-02-07
APP-00141,CASE-02570,appeal,denied,2026-05-26
APP-00142,CASE-11616,initial_application,submitted,2026-08-20
APP-00143,CASE-07738,initial_application,submitted,2026-04-18
APP-00144,CASE-04730,renewal_application,denied,2026-05-25
APP-00145,CASE-05965,renewal_application,submitted,2026-02-09
APP-00146,CASE-14443,renewal_application,denied,2026-07-15
APP-00147,CASE-12755,initial_application,in_review,2026-03-11
APP-00148,CASE-06985,appeal,denied,2026-01-26
APP-00149,CASE-08551,initial_application,in_review,2026-07-21
APP-00150,CASE-03226,renewal_application,in_review,2026-08-26
APP-00151,CASE-04725,appeal,pending_more_info,2026-05-25
APP-00152,CASE-01740,appeal,submitted,2026-07-12
APP-00153,CASE-03609,appeal,approved,2026-07-16
APP-00154,CASE-05366,appeal,approved,2026-04-13
APP-00155,CASE-10358,appeal,denied,2026-07-17
APP-00156,CASE-02355,appeal,denied,2026-06-11
APP-00157,CASE-04968,renewal_application,pending_more_info,2026-07-02
APP-00158,CASE-12329,renewal_application,submitted,2026-04-17
APP-00159,CASE-07193,renewal_application,denied,2026-01-20
APP-00160,CASE-11252,renewal_application,in_review,2026-02-10
APP-00161,CASE-14856,initial_application,in_review,2026-03-09
APP-00162,CASE-09814,initial_application,submitted,2026-04-01
APP-00163,CASE-13744,initial_application,pending_more_info,2026-04-16
APP-00164,CASE-00061,appeal,approved,2026-04-07
APP-00165,CASE-07487,appeal,denied,2026-04-04
APP-00166,CASE-11657,renewal_application,denied,2026-06-27
APP-00167,CASE-12283,appeal,in_review,2026-05-22
APP-00168,CASE-05069,appeal,denied,2026-05-25
APP-00169,CASE-03389,renewal_application,approved,2026-02-10
APP-00170,CASE-14797,appeal,approved,2026-06-16
APP-00171,CASE-01223,appeal,pending_more_info,2026-02-06
APP-00172,CASE-08541,appeal,in_review,2026-07-04
APP-00173,CASE-11771,appeal,pending_more_info,2026-04-27
APP-00174,CASE-04691,appeal,submitted,2026-07-25
APP-00175,CASE-04587,initial_application,approved,2026-08-22
APP-00176,CASE-01025,appeal,approved,2026-06-07
APP-00177,CASE-09575,appeal,submitted,2026-02-19
APP-00178,CASE-04298,initial_application,approved,2026-04-28
APP-00179,CASE-04908,appeal,denied,2026-02-14
APP-00180,CASE-10520,renewal_application,approved,2026-08-12
APP-00181,CASE-12790,initial_application,pending_more_info,2026-07-08
APP-00182,CASE-01261,appeal,submitted,2026-06-07
APP-00183,CASE-13372,appeal,approved,2026-01-10
APP-00184,CASE-14849,initial_application,submitted,2026-08-16
APP-00185,CASE-07224,appeal,pending_more_info,2026-03-16
APP-00186,CASE-02519,initial_application,approved,2026-03-15
APP-00187,CASE-00069,renewal_application,approved,2026-05-13
APP-00188,CASE-11958,initial_application,pending_more_info,2026-05-22
APP-00189,CASE-11168,appeal,in_review,2026-02-14
APP-00190,CASE-01333,appeal,in_review,2026-08-19
APP-00191,CASE-06245,appeal,approved,2026-08-27
APP-00192,CASE-13364,renewal_application,in_review,2026-02-11
APP-00193,CASE-05268,renewal_application,in_review,2026-06-01
APP-00194,CASE-01011,initial_application,in_review,2026-05-11
APP-00195,CASE-09894,initial_application,pending_more_info,2026-05-02
APP-00196,CASE-07591,renewal_application,denied,2026-06-04
APP-00197,CASE-05389,renewal_application,in_review,2026-04-20
APP-00198,CASE-09551,appeal,approved,2026-02-25
APP-00199,CASE-05764,appeal,submitted,2026-07-01
APP-00200,CASE-07733,initial_application,pending_more_info,2026-01-23
APP-00201,CASE-07035,appeal,in_review,2026-05-13
APP-00202,CASE-13847,renewal_application,approved,2026-04-27
APP-00203,CASE-03056,initial_application,in_review,2026-02-23
APP-00204,CASE-03250,renewal_application,approved,2026-03-08
APP-00205,CASE-08387,appeal,denied,2026-05-12
APP-00206,CASE-14569,initial_application,in_review,2026-03-28
APP-00207,CASE-10774,appeal,pending_more_info,2026-06-27
APP-00208,CASE-01842,initial_application,pending_more_info,2026-01-05
APP-00209,CASE-02846,renewal_application,denied,2026-08-21
APP-00210,CASE-10001,renewal_application,in_review,2026-04-19
APP-00211,CASE-03250,initial_application,submitted,2026-03-08
APP-00212,CASE-03997,renewal_application,in_review,2026-05-23
APP-00213,CASE-03891,renewal_application,submitted,2026-06-27
APP-00214,CASE-06791,initial_application,in_review,2026-06-26
APP-00215,CASE-14896,appeal,pending_more_info,2026-01-21
APP-00216,CASE-05165,initial_application,denied,2026-05-01
APP-00217,CASE-07084,initial_application,pending_more_info,2026-02-25
APP-00218,CASE-09397,renewal_application,in_review,2026-06-13
APP-00219,CASE-09223,appeal,submitted,2026-07-02
APP-00220,CASE-05691,initial_application,denied,2026-07-27
APP-00221,CASE-02321,renewal_application,pending_more_info,2026-07-13
APP-00222,CASE-02685,initial_application,in_review,2026-02-16
APP-00223,CASE-02941,appeal,approved,2026-04-21
APP-00224,CASE-12755,renewal_application,submitted,2026-03-11
APP-00225,CASE-01187,appeal,approved,2026-08-09
APP-00226,CASE-05831,renewal_application,pending_more_info,2026-08-25
APP-00227,CASE-03286,appeal,approved,2026-08-23
APP-00228,CASE-06359,appeal,in_review,2026-02-02
APP-00229,CASE-14192,renewal_application,in_review,2026-05-28
APP-00230,CASE-09280,initial_application,submitted,2026-03-21
APP-00231,CASE-07875,appeal,submitted,2026-02-19
APP-00232,CASE-11761,renewal_application,pending_more_info,2026-08-27
APP-00233,CASE-10996,appeal,approved,2026-05-07
APP-00234,CASE-09982,appeal,approved,2026-01-21
APP-00235,CASE-00161,appeal,denied,2026-04-04
APP-00236,CASE-11451,renewal_application,approved,2026-01-24
APP-00237,CASE-06807,renewal_application,in_review,2026-04-06
APP-00238,CASE-06100,appeal,pending_more_info,2026-02-01
APP-00239,CASE-13481,appeal,denied,2026-05-28
APP-00240,CASE-01762,renewal_application,pending_more_info,2026-05-22
APP-00241,CASE-00455,initial_application,denied,2026-04-11
APP-00242,CASE-09149,renewal_application,approved,2026-06-07
APP-00243,CASE-09305,appeal,submitted,2026-06-02
APP-00244,CASE-14244,renewal_application,denied,2026-04-19
APP-00245,CASE-14985,initial_application,pending_more_info,2026-05-18
APP-00246,CASE-12930,renewal_application,approved,2026-04-20
APP-00247,CASE-06012,initial_application,in_review,2026-03-04
APP-00248,CASE-11973,appeal,approved,2026-08-09
APP-00249,CASE-13474,appeal,denied,2026-03-14
APP-00250,CASE-00595,appeal,submitted,2026-04-04
APP-00251,CASE-04120,initial_application,in_review,2026-07-05
APP-00252,CASE-13399,appeal,submitted,2026-05-23
APP-00253,CASE-05357,initial_application,submitted,2026-06-11
APP-00254,CASE-05182,appeal,denied,2026-07-07
APP-00255,CASE-01278,initial_application,submitted,2026-03-13
APP-00256,CASE-07110,initial_application,pending_more_info,2026-05-25
APP-00257,CASE-09737,renewal_application,pending_more_info,2026-07-19
APP-00258,CASE-09628,appeal,denied,2026-01-01
APP-00259,CASE-09447,initial_application,approved,2026-01-18
APP-00260,CASE-08487,initial_application,submitted,2026-01-11
APP-00261,CASE-13205,appeal,in_review,2026-02-05
APP-00262,CASE-01248,renewal_application,pending_more_info,2026-06-23
APP-00263,CASE-05600,renewal_application,submitted,2026-08-03
APP-00264,CASE-09782,appeal,in_review,2026-07-11
APP-00265,CASE-06834,renewal_application,in_review,2026-07-07
APP-00266,CASE-10634,renewal_application,in_review,2026-03-12
APP-00267,CASE-00522,appeal,denied,2026-02-27
APP-00268,CASE-08533,appeal,denied,2026-06-06
APP-00269,CASE-01761,appeal,approved,2026-06-02
APP-00270,CASE-08690,appeal,pending_more_info,2026-08-12
APP-00271,CASE-03412,renewal_application,approved,2026-07-21
APP-00272,CASE-09006,appeal,approved,2026-04-19
APP-00273,CASE-13042,initial_application,pending_more_info,2026-01-04
APP-00274,CASE-00850,appeal,submitted,2026-01-03
APP-00275,CASE-00320,appeal,pending_more_info,2026-02-19
APP-00276,CASE-01238,initial_application,submitted,2026-01-21
APP-00277,CASE-09282,initial_application,pending_more_info,2026-03-02
APP-00278,CASE-11411,appeal,in_review,2026-01-09
APP-00279,CASE-07643,renewal_application,approved,2026-08-08
APP-00280,CASE-03229,appeal,approved,2026-03-13
APP-00281,CASE-13057,renewal_application,pending_more_info,2026-03-24
APP-00282,CASE-09312,appeal,approved,2026-03-16
APP-00283,CASE-00044,appeal,in_review,2026-04-14
APP-00284,CASE-05550,renewal_application,in_review,2026-03-14
APP-00285,CASE-07593,initial_application,pending_more_info,2026-06-22
APP-00286,CASE-11932,renewal_application,submitted,2026-07-24
APP-00287,CASE-12528,appeal,approved,2026-06-21
APP-00288,CASE-09484,initial_application,in_review,2026-04-24
APP-00289,CASE-13788,initial_application,pending_more_info,2026-03-02
APP-00290,CASE-11270,appeal,in_review,2026-02-08
APP-00291,CASE-01327,appeal,approved,2026-06-09
APP-00292,CASE-00769,renewal_application,submitted,2026-02-16
APP-00293,CASE-04386,initial_application,denied,2026-08-12
APP-00294,CASE-12462,renewal_application,approved,2026-07-01
APP-00295,CASE-13981,appeal,pending_more_info,2026-04-12
APP-00296,CASE-12523,renewal_application,submitted,2026-05-23
APP-00297,CASE-08580,initial_application,submitted,2026-02-10
APP-00298,CASE-11178,renewal_application,in_review,2026-03-25
APP-00299,CASE-08384,renewal_application,approved,2026-08-25
APP-00300,CASE-14651,renewal_application,pending_more_info,2026-06-26
APP-00301,CASE-10338,initial_application,in_review,2026-05-02
APP-00302,CASE-09191,initial_application,approved,2026-08-23
APP-00303,CASE-05720,initial_application,submitted,2026-05-05
APP-00304,CASE-14985,initial_application,submitted,2026-05-18
APP-00305,CASE-12449,renewal_application,submitted,2026-07-25
APP-00306,CASE-03069,renewal_application,pending_more_info,2026-04-09
APP-00307,CASE-09759,renewal_application,approved,2026-06-23
APP-00308,CASE-01682,appeal,approved,2026-06-25
APP-00309,CASE-00503,renewal_application,approved,2026-05-10
APP-00310,CASE-06412,initial_application,in_review,2026-03-15
APP-00311,CASE-09188,initial_application,approved,2026-05-13
APP-00312,CASE-04147,appeal,submitted,2026-08-18
APP-00313,CASE-04390,initial_application,submitted,2026-07-21
APP-00314,CASE-09860,initial_application,submitted,2026-02-21
APP-00315,CASE-02308,renewal_application,approved,2026-08-19
APP-00316,CASE-03503,appeal,pending_more_info,2026-03-25
APP-00317,CASE-07171,appeal,in_review,2026-05-20
APP-00318,CASE-07945,renewal_application,approved,2026-03-03
APP-00319,CASE-12119,renewal_application,pending_more_info,2026-05-04
APP-00320,CASE-09005,initial_application,approved,2026-01-18
APP-00321,CASE-10305,initial_application,pending_more_info,2026-08-12
APP-00322,CASE-07224,renewal_application,pending_more_info,2026-03-16
APP-00323,CASE-14059,appeal,denied,2026-01-08
APP-00324,CASE-09911,appeal,submitted,2026-05-14
APP-00325,CASE-02580,initial_application,denied,2026-08-14
APP-00326,CASE-14010,renewal_application,in_review,2026-02-08
APP-00327,CASE-01215,initial_application,approved,2026-05-23
APP-00328,CASE-06718,initial_application,submitted,2026-04-26
APP-00329,CASE-04126,renewal_application,denied,2026-07-06
APP-00330,CASE-11495,appeal,pending_more_info,2026-01-08
APP-00331,CASE-09747,renewal_application,approved,2026-08-16
APP-00332,CASE-04634,appeal,pending_more_info,2026-01-27
APP-00333,CASE-03637,initial_application,pending_more_info,2026-06-10
APP-00334,CASE-02409,renewal_application,denied,2026-07-25
APP-00335,CASE-02684,initial_application,submitted,2026-05-12
APP-00336,CASE-01278,appeal,pending_more_info,2026-03-13
APP-00337,CASE-07495,initial_application,in_review,2026-01-01
APP-00338,CASE-14242,initial_application,in_review,2026-06-17
APP-00339,CASE-08554,initial_application,pending_more_info,2026-05-24
APP-00340,CASE-04219,renewal_application,in_review,2026-02-10
APP-00341,CASE-12505,appeal,submitted,2026-07-19
APP-00342,CASE-07355,renewal_application,submitted,2026-04-09
APP-00343,CASE-03576,initial_application,denied,2026-05-01
APP-00344,CASE-00214,initial_application,approved,2026-05-26
APP-00345,CASE-13285,renewal_application,in_review,2026-03-14
APP-00346,CASE-03425,initial_application,pending_more_info,2026-06-02
APP-00347,CASE-01167,initial_application,pending_more_info,2026-04-17
APP-00348,CASE-05533,initial_application,in_review,2026-07-21
APP-00349,CASE-02383,renewal_application,in_review,2026-07-26
APP-00350,CASE-08935,initial_application,approved,2026-04-10
APP-00351,CASE-01002,initial_application,denied,2026-05-13
APP-00352,CASE-05873,renewal_application,approved,2026-06-24
APP-00353,CASE-12040,appeal,pending_more_info,2026-02-04
APP-00354,CASE-13755,appeal,pending_more_info,2026-08-13
APP-00355,CASE-09914,appeal,submitted,2026-02-05
APP-00356,CASE-10221,initial_application,in_review,2026-05-01
APP-00357,CASE-05494,renewal_application,in_review,2026-03-22
APP-00358,CASE-02697,initial_application,denied,2026-07-03
APP-00359,CASE-01184,renewal_application,submitted,2026-06-25
APP-00360,CASE-14830,appeal,submitted,2026-07-20
APP-00361,CASE-11015,renewal_application,denied,2026-08-17
APP-00362,CASE-13815,initial_application,approved,2026-04-08
APP-00363,CASE-09395,renewal_application,in_review,2026-04-08
APP-00364,CASE-00917,initial_application,in_review,2026-04-15
APP-00365,CASE-13985,renewal_application,denied,2026-02-27
APP-00366,CASE-01113,initial_application,pending_more_info,2026-04-27
APP-00367,CASE-14529,initial_application,approved,2026-08-24
APP-00368,CASE-04264,appeal,in_review,2026-01-26
APP-00369,CASE-04355,renewal_application,denied,2026-07-23
APP-00370,CASE-13910,initial_application,approved,2026-07-10
APP-00371,CASE-01115,appeal,pending_more_info,2026-01-03
APP-00372,CASE-10424,appeal,denied,2026-08-05
APP-00373,CASE-00316,appeal,pending_more_info,2026-01-24
APP-00374,CASE-05823,renewal_application,denied,2026-03-02
APP-00375,CASE-14316,initial_application,in_review,2026-04-06
APP-00376,CASE-06183,renewal_application,submitted,2026-01-21
APP-00377,CASE-00501,renewal_application,pending_more_info,2026-05-16
APP-00378,CASE-07020,appeal,denied,2026-07-20
APP-00379,CASE-06223,renewal_application,submitted,2026-02-22
APP-00380,CASE-10847,initial_application,in_review,2026-03-14
APP-00381,CASE-02243,appeal,pending_more_info,2026-02-22
APP-00382,CASE-14372,appeal,in_review,2026-08-26
APP-00383,CASE-00698,appeal,denied,2026-05-21
APP-00384,CASE-11543,appeal,submitted,2026-07-24
APP-00385,CASE-09417,renewal_application,denied,2026-02-12
APP-00386,CASE-01758,renewal_application,in_review,2026-02-08
APP-00387,CASE-00116,appeal,approved,2026-05-16
APP-00388,CASE-01922,initial_application,denied,2026-05-16
APP-00389,CASE-01545,appeal,denied,2026-04-28
APP-00390,CASE-06077,renewal_application,approved,2026-04-06
APP-00391,CASE-00844,renewal_application,approved,2026-07-04
APP-00392,CASE-10654,renewal_application,in_review,2026-06-13
APP-00393,CASE-12155,appeal,denied,2026-06-24
APP-00394,CASE-08151,initial_application,in_review,2026-06-20
APP-00395,CASE-14033,renewal_application,denied,2026-08-23
APP-00396,CASE-06924,renewal_application,in_review,2026-08-17
APP-00397,CASE-04782,appeal,pending_more_info,2026-03-06
APP-00398,CASE-05061,initial_application,pending_more_info,2026-02-09
APP-00399,CASE-09666,renewal_application,denied,2026-05-26
APP-00400,CASE-01463,appeal,approved,2026-07-21
APP-00401,CASE-01983,initial_application,denied,2026-03-15
APP-00402,CASE-07837,renewal_application,submitted,2026-04-23
APP-00403,CASE-03208,renewal_application,denied,2026-04-24
APP-00404,CASE-00995,appeal,submitted,2026-05-15
APP-00405,CASE-10974,appeal,in_review,2026-03-12
APP-00406,CASE-12422,renewal_application,pending_more_info,2026-02-03
APP-00407,CASE-09550,appeal,approved,2026-03-01
APP-00408,CASE-09286,renewal_application,submitted,2026-05-12
APP-00409,CASE-13801,appeal,approved,2026-07-03
APP-00410,CASE-06702,appeal,denied,2026-03-13
APP-00411,CASE-03238,initial_application,denied,2026-08-12
APP-00412,CASE-07648,initial_application,in_review,2026-05-17
APP-00413,CASE-01959,initial_application,in_review,2026-07-13
APP-00414,CASE-00896,renewal_application,submitted,2026-02-04
APP-00415,CASE-02710,appeal,pending_more_info,2026-02-03
APP-00416,CASE-01444,initial_application,in_review,2026-06-28
APP-00417,CASE-06968,renewal_application,in_review,2026-03-13
APP-00418,CASE-13770,initial_application,in_review,2026-08-27
APP-00419,CASE-08014,initial_application,pending_more_info,2026-05-13
APP-00420,CASE-11755,renewal_application,in_review,2026-03-23
APP-00421,CASE-12143,appeal,approved,2026-06-26
APP-00422,CASE-04398,initial_application,pending_more_info,2026-01-22
APP-00423,CASE-02787,appeal,approved,2026-04-21
APP-00424,CASE-02597,appeal,pending_more_info,2026-03-26
APP-00425,CASE-12106,initial_application,denied,2026-06-08
APP-00426,CASE-14575,initial_application,in_review,2026-01-16
APP-00427,CASE-13630,appeal,pending_more_info,2026-08-25
APP-00428,CASE-10656,initial_application,pending_more_info,2026-05-18
APP-00429,CASE-11141,appeal,denied,2026-05-16
APP-00430,CASE-04954,initial_application,approved,2026-07-17
APP-00431,CASE-02780,initial_application,pending_more_info,2026-02-03
APP-00432,CASE-01456,renewal_application,in_review,2026-04-07
APP-00433,CASE-08579,appeal,approved,2026-01-27
APP-00434,CASE-03834,appeal,approved,2026-08-22
APP-00435,CASE-14945,appeal,pending_more_info,2026-05-01
APP-00436,CASE-14175,initial_application,submitted,2026-03-03
APP-00437,CASE-03932,initial_application,denied,2026-05-19
APP-00438,CASE-09288,initial_application,in_review,2026-04-20
APP-00439,CASE-09910,initial_application,submitted,2026-05-13
APP-00440,CASE-02443,renewal_application,denied,2026-06-01
APP-00441,CASE-09408,renewal_application,denied,2026-06-26
APP-00442,CASE-05765,initial_application,denied,2026-02-24
APP-00443,CASE-10234,appeal,denied,2026-06-11
APP-00444,CASE-02589,renewal_application,in_review,2026-02-07
APP-00445,CASE-11969,initial_application,approved,2026-02-10
APP-00446,CASE-13311,renewal_application,denied,2026-07-18
APP-00447,CASE-01164,appeal,denied,2026-04-09
APP-00448,CASE-03584,appeal,submitted,2026-02-15
APP-00449,CASE-14294,renewal_application,submitted,2026-04-22
APP-00450,CASE-06251,initial_application,submitted,2026-08-20
APP-00451,CASE-12090,initial_application,pending_more_info,2026-05-21
APP-00452,CASE-09369,initial_application,in_review,2026-04-21
APP-00453,CASE-13185,appeal,in_review,2026-08-03
APP-00454,CASE-14641,appeal,submitted,2026-01-28
APP-00455,CASE-13193,renewal_application,approved,2026-04-16
APP-00456,CASE-11953,initial_application,pending_more_info,2026-04-02
APP-00457,CASE-07634,renewal_application,denied,2026-07-23
APP-00458,CASE-14575,appeal,approved,2026-01-16
APP-00459,CASE-01256,appeal,denied,2026-07-15
APP-00460,CASE-10667,appeal,in_review,2026-04-02
APP-00461,CASE-11130,renewal_application,approved,2026-07-09
APP-00462,CASE-12575,appeal,submitted,2026-08-19
APP-00463,CASE-01023,initial_application,pending_more_info,2026-03-12
APP-00464,CASE-01989,appeal,in_review,2026-01-14
APP-00465,CASE-01979,appeal,in_review,2026-04-23
APP-00466,CASE-12972,renewal_application,pending_more_info,2026-02-16
APP-00467,CASE-00625,appeal,in_review,2026-02-15
APP-00468,CASE-11354,initial_application,in_review,2026-05-22
APP-00469,CASE-08103,initial_application,submitted,2026-06-11
APP-00470,CASE-07003,initial_application,pending_more_info,2026-06-08
APP-00471,CASE-14270,renewal_application,approved,2026-06-18
APP-00472,CASE-01861,renewal_application,denied,2026-01-11
APP-00473,CASE-06424,renewal_application,submitted,2026-05-25
APP-00474,CASE-03464,initial_application,denied,2026-05-27
APP-00475,CASE-04849,appeal,approved,2026-07-17
APP-00476,CASE-00794,initial_application,in_review,2026-04-13
APP-00477,CASE-07778,appeal,approved,2026-08-19
APP-00478,CASE-12066,renewal_application,pending_more_info,2026-04-14
