part_id,name,supplier_id,used_in_line_ids
PART-00071,Bushing 71,SUP-0628,"[""LINE-FAC-037-1"", ""LINE-FAC-029-4""]"
PART-00072,Bracket 72,SUP-0914,"[""LINE-FAC-024-8"", ""LINE-FAC-023-5"", ""LINE-FAC-029-3""]"
PART-00073,Wiring Harness 73,SUP-0429,"[""LINE-FAC-038-2""]"
PART-00074,Sensor Module 74,SUP-0892,"[""LINE-FAC-029-7"", ""LINE-FAC-035-2""]"
PART-00075,Bearing Assembly 75,SUP-0787,"[""LINE-FAC-024-1""]"
PART-00076,Wiring Harness 76,SUP-0775,"[""LINE-FAC-004-2""]"
PART-00077,Coupling 77,SUP-0693,"[""LINE-FAC-001-3"", ""LINE-FAC-040-3""]"
PART-00078,Bearing Assembly 78,SUP-0730,"[""LINE-FAC-018-4"", ""LINE-FAC-014-4"", ""LINE-FAC-021-8""]"
PART-00079,Actuator 79,SUP-0817,"[""LINE-FAC-002-2"", ""LINE-FAC-034-2""]"
PART-00080,Sensor Module 80,SUP-0418,"[""LINE-FAC-020-8""]"
PART-00081,Bearing Assembly 81,SUP-0054,"[""LINE-FAC-009-1"", ""LINE-FAC-032-6"", ""LINE-FAC-008-4""]"
PART-00082,Wiring Harness 82,SUP-0789,"[""LINE-FAC-034-8"", ""LINE-FAC-023-5""]"
PART-00083,Gasket 83,SUP-0249,"[""LINE-FAC-038-4""]"
PART-00084,Housing 84,SUP-0319,"[""LINE-FAC-006-2""]"
PART-00085,Bracket 85,SUP-0836,"[""LINE-FAC-001-3""]"
PART-00086,Sensor Module 86,SUP-0496,"[""LINE-FAC-008-1"", ""LINE-FAC-021-5""]"
PART-00087,Gasket 87,SUP-0629,"[""LINE-FAC-015-1"", ""LINE-FAC-022-3"", ""LINE-FAC-022-7""]"
PART-00088,Valve Body 88,SUP-0978,"[""LINE-FAC-031-7"", ""LINE-FAC-025-7""]"
PART-00089,Coupling 89,SUP-0186,"[""LINE-FAC-023-3"", ""LINE-FAC-007-7"", ""LINE-FAC-013-7""]"
PART-00090,Valve Body 90,SUP-0807,"[""LINE-FAC-040-7"", ""LINE-FAC-028-2""]"
PART-00091,Bearing Assembly 91,SUP-0289,"[""LINE-FAC-036-3"", ""LINE-FAC-016-4""]"
PART-00092,Gasket 92,SUP-0596,"[""LINE-FAC-020-8""]"
PART-00093,Valve Body 93,SUP-0242,"[""LINE-FAC-007-4"", ""LINE-FAC-020-5"", ""LINE-FAC-016-4""]"
PART-00094,Coupling 94,SUP-0870,"[""LINE-FAC-037-4"", ""LINE-FAC-031-3"", ""LINE-FAC-023-8""]"
PART-00095,Housing 95,SUP-0754,"[""LINE-FAC-031-2""]"
PART-00096,Bearing Assembly 96,SUP-0588,"[""LINE-FAC-019-2"", ""LINE-FAC-036-4"", ""LINE-FAC-007-7""]"
PART-00097,Bushing 97,SUP-0446,"[""LINE-FAC-030-8""]"
PART-00098,Housing 98,SUP-0046,"[""LINE-FAC-024-6"", ""LINE-FAC-011-5"", ""LINE-FAC-022-4""]"
PART-00099,Bearing Assembly 99,SUP-0331,"[""LINE-FAC-005-1""]"
PART-00100,Bracket 100,SUP-0534,"[""LINE-FAC-024-2"", ""LINE-FAC-006-4"", ""LINE-FAC-012-5""]"
PART-00101,Housing 101,SUP-0003,"[""LINE-FAC-030-2""]"
PART-00102,Bracket 102,SUP-0370,"[""LINE-FAC-014-4"", ""LINE-FAC-025-3"", ""LINE-FAC-001-2""]"
PART-00103,Valve Body 103,SUP-0447,"[""LINE-FAC-034-6"", ""LINE-FAC-013-2"", ""LINE-FAC-025-8""]"
PART-00104,Actuator 104,SUP-0985,"[""LINE-FAC-001-2"", ""LINE-FAC-019-8""]"
PART-00105,Gasket 105,SUP-0734,"[""LINE-FAC-025-5"", ""LINE-FAC-033-7"", ""LINE-FAC-033-6""]"
PART-00106,Coupling 106,SUP-0677,"[""LINE-FAC-036-7""]"
PART-00107,Actuator 107,SUP-0514,"[""LINE-FAC-021-8"", ""LINE-FAC-009-6""]"
PART-00108,Coupling 108,SUP-0074,"[""LINE-FAC-029-8"", ""LINE-FAC-020-6"", ""LINE-FAC-038-2""]"
PART-00109,Bearing Assembly 109,SUP-0301,"[""LINE-FAC-019-6"", ""LINE-FAC-029-5""]"
PART-00110,Coupling 110,SUP-0416,"[""LINE-FAC-031-7""]"
PART-00111,Bearing Assembly 111,SUP-0328,"[""LINE-FAC-012-8""]"
PART-00112,Valve Body 112,SUP-0233,"[""LINE-FAC-029-1""]"
PART-00113,Bushing 113,SUP-0936,"[""LINE-FAC-019-3""]"
PART-00114,Bushing 114,SUP-0754,"[""LINE-FAC-017-2"", ""LINE-FAC-001-6""]"
PART-00115,Gasket 115,SUP-0797,"[""LINE-FAC-021-6"", ""LINE-FAC-014-8""]"
PART-00116,Actuator 116,SUP-0774,"[""LINE-FAC-016-8""]"
PART-00117,Actuator 117,SUP-0469,"[""LINE-FAC-023-7"", ""LINE-FAC-031-6"", ""LINE-FAC-009-1""]"
PART-00118,Bearing Assembly 118,SUP-0518,"[""LINE-FAC-003-8"", ""LINE-FAC-036-1"", ""LINE-FAC-031-7""]"
PART-00119,Coupling 119,SUP-0738,"[""LINE-FAC-025-7""]"
PART-00120,Housing 120,SUP-0966,"[""LINE-FAC-036-4""]"
PART-00121,Valve Body 121,SUP-0303,"[""LINE-FAC-005-5"", ""LINE-FAC-017-1""]"
PART-00122,Coupling 122,SUP-0219,"[""LINE-FAC-039-4"", ""LINE-FAC-009-4""]"
PART-00123,Wiring Harness 123,SUP-0841,"[""LINE-FAC-030-4""]"
PART-00124,Housing 124,SUP-0939,"[""LINE-FAC-017-6""]"
PART-00125,Gasket 125,SUP-0920,"[""LINE-FAC-013-1""]"
PART-00126,Sensor Module 126,SUP-0110,"[""LINE-FAC-028-2"", ""LINE-FAC-004-4""]"
PART-00127,Sensor Module 127,SUP-0154,"[""LINE-FAC-026-3"", ""LINE-FAC-033-6""]"
PART-00128,Valve Body 128,SUP-0214,"[""LINE-FAC-012-1""]"
PART-00129,Wiring Harness 129,SUP-0388,"[""LINE-FAC-037-6"", ""LINE-FAC-040-6""]"
PART-00130,Actuator 130,SUP-0378,"[""LINE-FAC-028-7"", ""LINE-FAC-024-6""]"
PART-00131,Actuator 131,SUP-0072,"[""LINE-FAC-014-2"", ""LINE-FAC-012-5""]"
PART-00132,Wiring Harness 132,SUP-0119,"[""LINE-FAC-009-3"", ""LINE-FAC-022-5"", ""LINE-FAC-014-6""]"
PART-00133,Wiring Harness 133,SUP-0560,"[""LINE-FAC-039-4""]"
PART-00134,Housing 134,SUP-0840,"[""LINE-FAC-002-1""]"
PART-00135,Bushing 135,SUP-0325,"[""LINE-FAC-028-1""]"
PART-00136,Bracket 136,SUP-0831,"[""LINE-FAC-005-6""]"
PART-00137,Coupling 137,SUP-0852,"[""LINE-FAC-038-5"", ""LINE-FAC-009-5"", ""LINE-FAC-001-5""]"
PART-00138,Bracket 138,SUP-0621,"[""LINE-FAC-024-6"", ""LINE-FAC-038-2""]"
PART-00139,Valve Body 139,SUP-0374,"[""LINE-FAC-002-7"", ""LINE-FAC-011-5"", ""LINE-FAC-005-2""]"
PART-00140,Bearing Assembly 140,SUP-0915,"[""LINE-FAC-031-3"", ""LINE-FAC-008-4""]"
PART-00141,Actuator 141,SUP-0825,"[""LINE-FAC-027-1"", ""LINE-FAC-019-7""]"
PART-00142,Gasket 142,SUP-0830,"[""LINE-FAC-040-3""]"
PART-00143,Valve Body 143,SUP-0116,"[""LINE-FAC-008-8""]"
PART-00144,Wiring Harness 144,SUP-0216,"[""LINE-FAC-021-2"", ""LINE-FAC-006-7""]"
PART-00145,Bushing 145,SUP-0019,"[""LINE-FAC-022-5"", ""LINE-FAC-025-6""]"
PART-00146,Bushing 146,SUP-0223,"[""LINE-FAC-038-2"", ""LINE-FAC-004-4"", ""LINE-FAC-014-3""]"
PART-00147,Bracket 147,SUP-0107,"[""LINE-FAC-015-3"", ""LINE-FAC-023-3""]"
PART-00148,Gasket 148,SUP-0225,"[""LINE-FAC-002-6""]"
PART-00149,Bearing Assembly 149,SUP-0070,"[""LINE-FAC-005-8"", ""LINE-FAC-024-4""]"
PART-00150,Gasket 150,SUP-0768,"[""LINE-FAC-008-4"", ""LINE-FAC-039-1"", ""LINE-FAC-026-1""]"
PART-00151,Sensor Module 151,SUP-0920,"[""LINE-FAC-008-1""]"
PART-00152,Sensor Module 152,SUP-0951,"[""LINE-FAC-034-6""]"
PART-00153,Actuator 153,SUP-0677,"[""LINE-FAC-009-7"", ""LINE-FAC-005-2""]"
PART-00154,Coupling 154,SUP-0472,"[""LINE-FAC-035-5""]"
PART-00155,Housing 155,SUP-0737,"[""LINE-FAC-037-7"", ""LINE-FAC-023-7""]"
PART-00156,Bushing 156,SUP-0644,"[""LINE-FAC-013-8"", ""LINE-FAC-037-1""]"
PART-00157,Wiring Harness 157,SUP-0126,"[""LINE-FAC-021-5"", ""LINE-FAC-031-5""]"
PART-00158,Wiring Harness 158,SUP-0072,"[""LINE-FAC-007-1"", ""LINE-FAC-015-7"", ""LINE-FAC-027-6""]"
PART-00159,Bearing Assembly 159,SUP-0353,"[""LINE-FAC-016-8"", ""LINE-FAC-018-6""]"
PART-00160,Wiring Harness 160,SUP-0566,"[""LINE-FAC-007-6"", ""LINE-FAC-036-5"", ""LINE-FAC-015-4""]"
PART-00161,Actuator 161,SUP-0784,"[""LINE-FAC-037-7"", ""LINE-FAC-030-4""]"
PART-00162,Wiring Harness 162,SUP-0669,"[""LINE-FAC-026-1""]"
PART-00163,Bushing 163,SUP-0588,"[""LINE-FAC-034-1"", ""LINE-FAC-023-5"", ""LINE-FAC-032-5""]"
PART-00164,Coupling 164,SUP-0406,"[""LINE-FAC-010-2"", ""LINE-FAC-009-6""]"
PART-00165,Housing 165,SUP-0969,"[""LINE-FAC-024-1"", ""LINE-FAC-028-5""]"
PART-00166,Bearing Assembly 166,SUP-0677,"[""LINE-FAC-008-2"", ""LINE-FAC-011-6""]"
PART-00167,Bracket 167,SUP-0390,"[""LINE-FAC-011-8"", ""LINE-FAC-015-5"", ""LINE-FAC-012-4""]"
PART-00168,Valve Body 168,SUP-0353,"[""LINE-FAC-008-1"", ""LINE-FAC-029-5"", ""LINE-FAC-011-6""]"
PART-00169,Actuator 169,SUP-0182,"[""LINE-FAC-002-5"", ""LINE-FAC-022-8""]"
PART-00170,Wiring Harness 170,SUP-0153,"[""LINE-FAC-032-1"", ""LINE-FAC-014-3"", ""LINE-FAC-010-3""]"
PART-00171,Bracket 171,SUP-0162,"[""LINE-FAC-038-8"", ""LINE-FAC-022-4"", ""LINE-FAC-020-4""]"
PART-00172,Valve Body 172,SUP-0428,"[""LINE-FAC-004-1"", ""LINE-FAC-027-6""]"
PART-00173,Bearing Assembly 173,SUP-0408,"[""LINE-FAC-009-1"", ""LINE-FAC-040-3""]"
PART-00174,Sensor Module 174,SUP-0412,"[""LINE-FAC-032-6"", ""LINE-FAC-021-2""]"
PART-00175,Bracket 175,SUP-0602,"[""LINE-FAC-028-5"", ""LINE-FAC-028-2""]"
PART-00176,Sensor Module 176,SUP-0443,"[""LINE-FAC-001-4""]"
PART-00177,Bushing 177,SUP-0279,"[""LINE-FAC-034-2"", ""LINE-FAC-030-5""]"
PART-00178,Wiring Harness 178,SUP-0304,"[""LINE-FAC-002-6"", ""LINE-FAC-028-4"", ""LINE-FAC-020-3""]"
PART-00179,Bracket 179,SUP-0081,"[""LINE-FAC-005-2"", ""LINE-FAC-006-2"", ""LINE-FAC-018-8""]"
PART-00180,Gasket 180,SUP-0326,"[""LINE-FAC-024-1"", ""LINE-FAC-018-4""]"
PART-00181,Coupling 181,SUP-0120,"[""LINE-FAC-006-8"", ""LINE-FAC-002-1""]"
PART-00182,Actuator 182,SUP-0402,"[""LINE-FAC-031-1"", ""LINE-FAC-025-8"", ""LINE-FAC-019-3""]"
PART-00183,Housing 183,SUP-0339,"[""LINE-FAC-028-7"", ""LINE-FAC-029-1"", ""LINE-FAC-014-6""]"
PART-00184,Bushing 184,SUP-0239,"[""LINE-FAC-030-4"", ""LINE-FAC-009-1"", ""LINE-FAC-003-7""]"
PART-00185,Bracket 185,SUP-0775,"[""LINE-FAC-008-3"", ""LINE-FAC-021-3"", ""LINE-FAC-024-3""]"
PART-00186,Actuator 186,SUP-0928,"[""LINE-FAC-018-7"", ""LINE-FAC-036-7""]"
PART-00187,Bearing Assembly 187,SUP-0176,"[""LINE-FAC-027-7"", ""LINE-FAC-037-4""]"
PART-00188,Bushing 188,SUP-0490,"[""LINE-FAC-030-2"", ""LINE-FAC-023-7"", ""LINE-FAC-014-6""]"
PART-00189,Actuator 189,SUP-0663,"[""LINE-FAC-022-8""]"
PART-00190,Housing 190,SUP-0769,"[""LINE-FAC-016-5"", ""LINE-FAC-026-3"", ""LINE-FAC-008-3""]"
PART-00191,Actuator 191,SUP-0895,"[""LINE-FAC-038-2"", ""LINE-FAC-021-6""]"
PART-00192,Coupling 192,SUP-0827,"[""LINE-FAC-015-1"", ""LINE-FAC-004-2""]"
PART-00193,Actuator 193,SUP-0574,"[""LINE-FAC-032-3"", ""LINE-FAC-010-8"", ""LINE-FAC-011-2""]"
PART-00194,Bracket 194,SUP-0186,"[""LINE-FAC-001-7"", ""LINE-FAC-002-2""]"
PART-00195,Valve Body 195,SUP-0866,"[""LINE-FAC-040-2"", ""LINE-FAC-032-5""]"
PART-00196,Bushing 196,SUP-0703,"[""LINE-FAC-019-2""]"
PART-00197,Valve Body 197,SUP-0687,"[""LINE-FAC-020-2"", ""LINE-FAC-019-6""]"
PART-00198,Actuator 198,SUP-0037,"[""LINE-FAC-037-7"", ""LINE-FAC-002-2""]"
PART-00199,Actuator 199,SUP-0281,"[""LINE-FAC-017-1"", ""LINE-FAC-031-1""]"
PART-00200,Gasket 200,SUP-0076,"[""LINE-FAC-011-4"", ""LINE-FAC-006-4""]"
PART-00201,Gasket 201,SUP-1000,"[""LINE-FAC-016-2"", ""LINE-FAC-016-1""]"
PART-00202,Wiring Harness 202,SUP-0436,"[""LINE-FAC-026-5"", ""LINE-FAC-024-5""]"
PART-00203,Bushing 203,SUP-0981,"[""LINE-FAC-002-2""]"
PART-00204,Gasket 204,SUP-0048,"[""LINE-FAC-017-4"", ""LINE-FAC-005-4"", ""LINE-FAC-014-8""]"
PART-00205,Valve Body 205,SUP-0293,"[""LINE-FAC-001-6"", ""LINE-FAC-019-4"", ""LINE-FAC-016-2""]"
PART-00206,Valve Body 206,SUP-0274,"[""LINE-FAC-036-6"", ""LINE-FAC-035-7""]"
PART-00207,Actuator 207,SUP-0078,"[""LINE-FAC-036-3"", ""LINE-FAC-024-6"", ""LINE-FAC-035-1""]"
PART-00208,Sensor Module 208,SUP-0976,"[""LINE-FAC-037-3"", ""LINE-FAC-014-7""]"
PART-00209,Valve Body 209,SUP-0839,"[""LINE-FAC-005-1"", ""LINE-FAC-017-1""]"
PART-00210,Valve Body 210,SUP-0018,"[""LINE-FAC-021-3"", ""LINE-FAC-040-1"", ""LINE-FAC-019-1""]"
PART-00211,Bearing Assembly 211,SUP-0169,"[""LINE-FAC-008-2"", ""LINE-FAC-005-5"", ""LINE-FAC-015-8""]"
PART-00212,Gasket 212,SUP-0149,"[""LINE-FAC-016-4""]"
PART-00213,Housing 213,SUP-0531,"[""LINE-FAC-040-4""]"
PART-00214,Wiring Harness 214,SUP-0291,"[""LINE-FAC-028-5"", ""LINE-FAC-030-7""]"
PART-00215,Bushing 215,SUP-0579,"[""LINE-FAC-017-3"", ""LINE-FAC-023-8"", ""LINE-FAC-018-6""]"
PART-00216,Valve Body 216,SUP-0985,"[""LINE-FAC-012-1""]"
PART-00217,Bracket 217,SUP-0274,"[""LINE-FAC-017-7""]"
PART-00218,Sensor Module 218,SUP-0585,"[""LINE-FAC-040-3"", ""LINE-FAC-011-2""]"
PART-00219,Sensor Module 219,SUP-0582,"[""LINE-FAC-016-8"", ""LINE-FAC-001-1""]"
PART-00220,Sensor Module 220,SUP-0835,"[""LINE-FAC-030-5"", ""LINE-FAC-036-6"", ""LINE-FAC-024-1""]"
PART-00221,Housing 221,SUP-0498,"[""LINE-FAC-001-8"", ""LINE-FAC-020-4""]"
PART-00222,Bracket 222,SUP-0950,"[""LINE-FAC-004-1""]"
PART-00223,Housing 223,SUP-0446,"[""LINE-FAC-023-6""]"
PART-00224,Bushing 224,SUP-0476,"[""LINE-FAC-004-2""]"
PART-00225,Bearing Assembly 225,SUP-0552,"[""LINE-FAC-002-2""]"
PART-00226,Gasket 226,SUP-0176,"[""LINE-FAC-003-7"", ""LINE-FAC-035-3"", ""LINE-FAC-028-6""]"
PART-00227,Bearing Assembly 227,SUP-0409,"[""LINE-FAC-006-3""]"
PART-00228,Bushing 228,SUP-0728,"[""LINE-FAC-013-5"", ""LINE-FAC-030-6""]"
PART-00229,Bushing 229,SUP-0730,"[""LINE-FAC-013-2"", ""LINE-FAC-007-2""]"
PART-00230,Wiring Harness 230,SUP-0714,"[""LINE-FAC-005-1"", ""LINE-FAC-015-1"", ""LINE-FAC-023-4""]"
PART-00231,Bracket 231,SUP-0528,"[""LINE-FAC-015-2"", ""LINE-FAC-028-3""]"
PART-00232,Housing 232,SUP-0053,"[""LINE-FAC-010-7"", ""LINE-FAC-004-4"", ""LINE-FAC-015-7""]"
PART-00233,Gasket 233,SUP-0164,"[""LINE-FAC-023-2""]"
PART-00234,Bearing Assembly 234,SUP-0832,"[""LINE-FAC-021-2"", ""LINE-FAC-029-2"", ""LINE-FAC-010-4""]"
PART-00235,Bracket 235,SUP-0050,"[""LINE-FAC-023-2""]"
PART-00236,Bracket 236,SUP-0499,"[""LINE-FAC-012-6"", ""LINE-FAC-029-2""]"
PART-00237,Bracket 237,SUP-0323,"[""LINE-FAC-031-3"", ""LINE-FAC-017-8"", ""LINE-FAC-027-1""]"
PART-00238,Bushing 238,SUP-0675,"[""LINE-FAC-017-6""]"
PART-00239,Actuator 239,SUP-0190,"[""LINE-FAC-026-4""]"
PART-00240,Bearing Assembly 240,SUP-0969,"[""LINE-FAC-011-4"", ""LINE-FAC-030-3""]"
PART-00241,Housing 241,SUP-0398,"[""LINE-FAC-031-1"", ""LINE-FAC-008-1""]"
PART-00242,Coupling 242,SUP-0255,"[""LINE-FAC-029-3"", ""LINE-FAC-010-2"", ""LINE-FAC-024-8""]"
PART-00243,Bracket 243,SUP-0504,"[""LINE-FAC-026-1"", ""LINE-FAC-030-5""]"
PART-00244,Wiring Harness 244,SUP-0820,"[""LINE-FAC-030-5"", ""LINE-FAC-006-6""]"
PART-00245,Gasket 245,SUP-0477,"[""LINE-FAC-031-2"", ""LINE-FAC-006-7"", ""LINE-FAC-019-1""]"
PART-00246,Bracket 246,SUP-0140,"[""LINE-FAC-018-2""]"
PART-00247,Gasket 247,SUP-0329,"[""LINE-FAC-012-7"", ""LINE-FAC-023-7"", ""LINE-FAC-028-6""]"
PART-00248,Wiring Harness 248,SUP-0230,"[""LINE-FAC-030-5"", ""LINE-FAC-001-8"", ""LINE-FAC-007-4""]"
PART-00249,Bearing Assembly 249,SUP-0867,"[""LINE-FAC-012-5"", ""LINE-FAC-023-6""]"
PART-00250,Sensor Module 250,SUP-0782,"[""LINE-FAC-029-2"", ""LINE-FAC-033-7"", ""LINE-FAC-027-4""]"
PART-00251,Gasket 251,SUP-0951,"[""LINE-FAC-040-3""]"
PART-00252,Sensor Module 252,SUP-0230,"[""LINE-FAC-001-8"", ""LINE-FAC-028-1""]"
PART-00253,Valve Body 253,SUP-0198,"[""LINE-FAC-001-8"", ""LINE-FAC-022-6"", ""LINE-FAC-037-6""]"
PART-00254,Coupling 254,SUP-0638,"[""LINE-FAC-020-7"", ""LINE-FAC-028-3""]"
PART-00255,Actuator 255,SUP-0502,"[""LINE-FAC-036-4"", ""LINE-FAC-003-6""]"
PART-00256,Sensor Module 256,SUP-0162,"[""LINE-FAC-014-2""]"
PART-00257,Actuator 257,SUP-0353,"[""LINE-FAC-016-2""]"
