signal_id,product_id,store_id,signal_type,trend_percent,detected_at
SIG-00035,PROD-04871,STORE-0309,spike,38.8,2026-01-14
SIG-00036,PROD-04084,STORE-0063,decline,71.5,2026-05-05
SIG-00037,PROD-04231,STORE-0172,seasonal,23.7,2026-03-25
SIG-00038,PROD-03227,STORE-0330,seasonal,-3.5,2026-01-17
SIG-00039,PROD-04038,STORE-0456,decline,20.4,2026-02-06
SIG-00040,PROD-04832,STORE-0155,decline,-1.9,2026-03-27
SIG-00041,PROD-04747,STORE-0427,decline,40.2,2026-08-22
SIG-00042,PROD-01708,STORE-0181,seasonal,43.4,2026-01-08
SIG-00043,PROD-04311,STORE-0379,decline,-17.2,2026-02-10
SIG-00044,PROD-01383,STORE-0350,seasonal,72.3,2026-08-07
SIG-00045,PROD-03085,STORE-0023,seasonal,72.1,2026-08-27
SIG-00046,PROD-01148,STORE-0352,seasonal,24.4,2026-04-22
SIG-00047,PROD-03089,STORE-0191,spike,5.5,2026-08-22
SIG-00048,PROD-01275,STORE-0054,spike,66.4,2026-08-22
SIG-00049,PROD-01949,STORE-0027,decline,-33.7,2026-04-16
SIG-00050,PROD-03104,STORE-0321,spike,11.0,2026-03-20
SIG-00051,PROD-03895,STORE-0311,decline,-2.0,2026-06-11
SIG-00052,PROD-00255,STORE-0051,spike,-32.2,2026-04-26
SIG-00053,PROD-04881,STORE-0447,decline,-32.9,2026-01-08
SIG-00054,PROD-00746,STORE-0488,decline,4.5,2026-05-21
SIG-00055,PROD-01717,STORE-0482,spike,11.5,2026-04-04
SIG-00056,PROD-04978,STORE-0137,spike,-18.6,2026-04-27
SIG-00057,PROD-01610,STORE-0134,decline,-1.6,2026-03-26
SIG-00058,PROD-00508,STORE-0048,spike,37.2,2026-03-02
SIG-00059,PROD-00789,STORE-0469,spike,46.2,2026-08-12
SIG-00060,PROD-01409,STORE-0107,seasonal,-18.1,2026-03-23
SIG-00061,PROD-04183,STORE-0395,decline,-30.2,2026-03-07
SIG-00062,PROD-03574,STORE-0200,spike,2.1,2026-02-14
SIG-00063,PROD-02301,STORE-0171,decline,-4.9,2026-02-10
SIG-00064,PROD-02205,STORE-0428,spike,9.1,2026-02-20
SIG-00065,PROD-00253,STORE-0484,decline,37.3,2026-04-17
SIG-00066,PROD-03438,STORE-0146,seasonal,-25.8,2026-02-19
SIG-00067,PROD-02041,STORE-0108,seasonal,-29.6,2026-02-01
SIG-00068,PROD-04474,STORE-0020,spike,9.9,2026-06-09
SIG-00069,PROD-01227,STORE-0012,decline,42.4,2026-04-28
SIG-00070,PROD-01766,STORE-0248,spike,64.5,2026-07-21
SIG-00071,PROD-00827,STORE-0056,seasonal,-38.2,2026-03-11
SIG-00072,PROD-04727,STORE-0036,spike,36.7,2026-04-25
SIG-00073,PROD-01313,STORE-0204,seasonal,69.4,2026-07-11
SIG-00074,PROD-02038,STORE-0216,spike,32.1,2026-03-28
SIG-00075,PROD-03505,STORE-0149,spike,17.7,2026-01-18
SIG-00076,PROD-00556,STORE-0010,seasonal,72.5,2026-04-06
SIG-00077,PROD-01094,STORE-0333,seasonal,56.5,2026-07-22
SIG-00078,PROD-04425,STORE-0287,spike,47.6,2026-06-16
SIG-00079,PROD-00500,STORE-0037,spike,-16.2,2026-07-23
SIG-00080,PROD-03619,STORE-0075,seasonal,56.0,2026-01-23
SIG-00081,PROD-02593,STORE-0114,seasonal,40.8,2026-06-08
SIG-00082,PROD-04744,STORE-0459,decline,37.8,2026-02-19
SIG-00083,PROD-02075,STORE-0054,spike,53.5,2026-07-10
SIG-00084,PROD-04149,STORE-0389,seasonal,24.5,2026-01-13
SIG-00085,PROD-03206,STORE-0341,seasonal,9.1,2026-05-05
SIG-00086,PROD-02633,STORE-0122,decline,63.5,2026-01-18
SIG-00087,PROD-04476,STORE-0280,decline,37.7,2026-02-01
SIG-00088,PROD-03334,STORE-0180,seasonal,-24.3,2026-06-16
SIG-00089,PROD-00477,STORE-0208,spike,73.0,2026-06-26
SIG-00090,PROD-01942,STORE-0261,seasonal,-24.0,2026-06-28
SIG-00091,PROD-01333,STORE-0243,decline,-0.8,2026-03-22
SIG-00092,PROD-00587,STORE-0129,decline,-37.6,2026-07-04
SIG-00093,PROD-04671,STORE-0413,seasonal,-15.1,2026-08-01
SIG-00094,PROD-02177,STORE-0220,spike,-22.8,2026-06-11
SIG-00095,PROD-04917,STORE-0427,decline,44.0,2026-03-10
SIG-00096,PROD-03877,STORE-0273,spike,27.9,2026-04-18
SIG-00097,PROD-00468,STORE-0372,spike,58.4,2026-05-28
SIG-00098,PROD-04486,STORE-0228,decline,-34.3,2026-08-22
SIG-00099,PROD-02182,STORE-0091,decline,18.9,2026-03-06
SIG-00100,PROD-03244,STORE-0213,decline,-20.1,2026-06-12
SIG-00101,PROD-01044,STORE-0453,seasonal,26.1,2026-01-07
SIG-00102,PROD-02224,STORE-0414,seasonal,49.6,2026-04-21
SIG-00103,PROD-00628,STORE-0333,spike,-28.6,2026-08-21
SIG-00104,PROD-02393,STORE-0219,spike,43.3,2026-04-04
SIG-00105,PROD-03695,STORE-0481,decline,15.3,2026-06-02
SIG-00106,PROD-04893,STORE-0314,decline,-30.9,2026-08-11
SIG-00107,PROD-02186,STORE-0189,seasonal,71.4,2026-04-28
SIG-00108,PROD-04717,STORE-0247,seasonal,10.4,2026-05-22
SIG-00109,PROD-02923,STORE-0064,spike,23.5,2026-06-10
SIG-00110,PROD-04730,STORE-0115,decline,16.5,2026-06-11
SIG-00111,PROD-03260,STORE-0026,decline,51.1,2026-02-06
SIG-00112,PROD-04572,STORE-0458,spike,-31.9,2026-02-13
SIG-00113,PROD-04581,STORE-0368,spike,31.2,2026-05-20
SIG-00114,PROD-04800,STORE-0234,spike,-3.3,2026-04-12
SIG-00115,PROD-01976,STORE-0491,seasonal,-11.7,2026-06-02
SIG-00116,PROD-03519,STORE-0270,decline,50.8,2026-05-23
SIG-00117,PROD-04255,STORE-0166,seasonal,41.6,2026-01-18
SIG-00118,PROD-02175,STORE-0405,spike,26.1,2026-01-19
SIG-00119,PROD-00487,STORE-0264,seasonal,-35.7,2026-04-09
SIG-00120,PROD-01672,STORE-0189,decline,25.8,2026-01-18
SIG-00121,PROD-02982,STORE-0072,seasonal,78.6,2026-08-28
SIG-00122,PROD-01948,STORE-0280,seasonal,-31.4,2026-02-02
SIG-00123,PROD-01507,STORE-0499,spike,-28.8,2026-08-20
SIG-00124,PROD-01016,STORE-0154,seasonal,51.9,2026-07-05
SIG-00125,PROD-04798,STORE-0395,spike,5.4,2026-04-01
SIG-00126,PROD-02526,STORE-0245,spike,9.3,2026-01-19
SIG-00127,PROD-01971,STORE-0462,spike,24.8,2026-05-22
SIG-00128,PROD-00791,STORE-0200,decline,68.3,2026-01-04
SIG-00129,PROD-00309,STORE-0452,spike,28.3,2026-02-18
SIG-00130,PROD-04154,STORE-0433,decline,78.2,2026-03-27
SIG-00131,PROD-04376,STORE-0275,seasonal,57.8,2026-04-21
SIG-00132,PROD-04860,STORE-0022,seasonal,-8.5,2026-02-12
SIG-00133,PROD-04801,STORE-0295,spike,2.4,2026-07-13
SIG-00134,PROD-03454,STORE-0202,spike,-10.2,2026-01-11
SIG-00135,PROD-04551,STORE-0438,seasonal,27.9,2026-02-01
SIG-00136,PROD-00418,STORE-0213,decline,12.5,2026-06-12
SIG-00137,PROD-04708,STORE-0011,spike,79.7,2026-06-12
SIG-00138,PROD-00564,STORE-0423,spike,46.6,2026-04-15
SIG-00139,PROD-01172,STORE-0296,spike,7.8,2026-07-02
SIG-00140,PROD-00170,STORE-0071,decline,-0.6,2026-07-15
SIG-00141,PROD-01072,STORE-0020,spike,-1.4,2026-06-27
SIG-00142,PROD-03170,STORE-0474,seasonal,-23.3,2026-07-12
SIG-00143,PROD-03179,STORE-0364,spike,67.0,2026-03-05
SIG-00144,PROD-01452,STORE-0152,seasonal,25.0,2026-03-20
SIG-00145,PROD-00241,STORE-0213,seasonal,42.4,2026-02-21
SIG-00146,PROD-03019,STORE-0444,decline,45.1,2026-02-28
SIG-00147,PROD-00137,STORE-0422,decline,73.0,2026-03-11
SIG-00148,PROD-01276,STORE-0485,seasonal,44.8,2026-05-06
SIG-00149,PROD-03216,STORE-0381,spike,15.8,2026-02-13
SIG-00150,PROD-00245,STORE-0320,seasonal,25.4,2026-02-17
SIG-00151,PROD-00234,STORE-0435,decline,35.4,2026-03-18
SIG-00152,PROD-03504,STORE-0182,spike,65.9,2026-06-22
SIG-00153,PROD-01785,STORE-0250,spike,56.5,2026-04-20
SIG-00154,PROD-03194,STORE-0411,decline,-17.7,2026-08-04
SIG-00155,PROD-04493,STORE-0172,seasonal,20.6,2026-01-14
SIG-00156,PROD-02718,STORE-0136,spike,4.4,2026-08-12
SIG-00157,PROD-04828,STORE-0240,spike,-8.7,2026-03-04
SIG-00158,PROD-02129,STORE-0458,seasonal,-26.7,2026-01-10
SIG-00159,PROD-04138,STORE-0225,seasonal,6.5,2026-06-15
SIG-00160,PROD-01380,STORE-0442,seasonal,-6.5,2026-02-26
SIG-00161,PROD-01058,STORE-0394,seasonal,-34.1,2026-04-06
SIG-00162,PROD-01372,STORE-0188,seasonal,76.7,2026-04-04
SIG-00163,PROD-03612,STORE-0063,spike,37.1,2026-03-08
SIG-00164,PROD-01309,STORE-0477,spike,60.5,2026-08-10
SIG-00165,PROD-04744,STORE-0444,decline,34.2,2026-04-16
SIG-00166,PROD-02165,STORE-0331,seasonal,-10.9,2026-08-25
SIG-00167,PROD-02923,STORE-0361,spike,5.2,2026-03-17
SIG-00168,PROD-03994,STORE-0174,decline,5.4,2026-08-14
SIG-00169,PROD-02609,STORE-0365,decline,-10.9,2026-01-14
SIG-00170,PROD-00104,STORE-0078,decline,4.7,2026-03-14
SIG-00171,PROD-04501,STORE-0493,spike,64.8,2026-05-02
SIG-00172,PROD-00227,STORE-0357,seasonal,55.0,2026-02-20
SIG-00173,PROD-04772,STORE-0412,seasonal,-25.3,2026-08-28
SIG-00174,PROD-00356,STORE-0014,seasonal,42.5,2026-08-23
SIG-00175,PROD-02544,STORE-0094,seasonal,-28.1,2026-05-01
SIG-00176,PROD-00603,STORE-0012,spike,76.8,2026-07-08
SIG-00177,PROD-00955,STORE-0073,seasonal,46.3,2026-07-19
SIG-00178,PROD-02667,STORE-0486,decline,-17.1,2026-08-15
SIG-00179,PROD-01070,STORE-0134,spike,26.4,2026-05-12
SIG-00180,PROD-02264,STORE-0107,seasonal,65.4,2026-08-18
SIG-00181,PROD-04857,STORE-0424,spike,23.8,2026-04-20
SIG-00182,PROD-03148,STORE-0044,spike,-27.2,2026-07-23
SIG-00183,PROD-02365,STORE-0192,spike,20.8,2026-04-20
SIG-00184,PROD-02152,STORE-0247,seasonal,16.9,2026-08-22
SIG-00185,PROD-04739,STORE-0290,decline,70.5,2026-07-25
SIG-00186,PROD-04565,STORE-0277,decline,-18.5,2026-06-27
SIG-00187,PROD-04063,STORE-0287,decline,74.2,2026-05-12
SIG-00188,PROD-01173,STORE-0339,spike,65.1,2026-07-13
SIG-00189,PROD-03217,STORE-0084,spike,1.2,2026-03-28
SIG-00190,PROD-00994,STORE-0060,seasonal,-4.6,2026-01-04
SIG-00191,PROD-00818,STORE-0395,decline,59.9,2026-02-26
SIG-00192,PROD-04435,STORE-0101,decline,-11.0,2026-05-11
SIG-00193,PROD-00617,STORE-0325,decline,19.3,2026-07-26
SIG-00194,PROD-02440,STORE-0124,decline,32.3,2026-07-17
SIG-00195,PROD-01581,STORE-0211,decline,-34.9,2026-08-25
SIG-00196,PROD-02738,STORE-0091,spike,34.3,2026-03-11
SIG-00197,PROD-04701,STORE-0431,spike,21.1,2026-03-25
SIG-00198,PROD-02480,STORE-0334,spike,49.6,2026-02-23
SIG-00199,PROD-04471,STORE-0317,decline,-26.5,2026-02-23
SIG-00200,PROD-02897,STORE-0248,decline,41.0,2026-07-20
SIG-00201,PROD-04116,STORE-0478,seasonal,-15.5,2026-03-16
SIG-00202,PROD-00546,STORE-0206,decline,22.0,2026-06-25
SIG-00203,PROD-01580,STORE-0454,spike,54.9,2026-05-01
SIG-00204,PROD-03969,STORE-0390,seasonal,13.5,2026-07-05
SIG-00205,PROD-03338,STORE-0132,decline,19.0,2026-01-19
SIG-00206,PROD-00529,STORE-0151,decline,12.6,2026-06-02
SIG-00207,PROD-01049,STORE-0001,spike,-26.0,2026-08-12
SIG-00208,PROD-04835,STORE-0453,decline,-3.4,2026-08-24
SIG-00209,PROD-04691,STORE-0309,spike,-23.2,2026-04-25
SIG-00210,PROD-02655,STORE-0034,spike,34.0,2026-07-16
SIG-00211,PROD-04316,STORE-0474,spike,2.2,2026-03-09
SIG-00212,PROD-04620,STORE-0191,seasonal,-17.0,2026-01-18
SIG-00213,PROD-04249,STORE-0103,spike,0.4,2026-02-27
SIG-00214,PROD-01303,STORE-0199,decline,23.1,2026-08-06
SIG-00215,PROD-02425,STORE-0221,seasonal,37.2,2026-01-02
SIG-00216,PROD-02322,STORE-0245,decline,3.2,2026-05-19
SIG-00217,PROD-01168,STORE-0404,spike,2.6,2026-01-07
SIG-00218,PROD-02533,STORE-0029,decline,-4.3,2026-06-07
SIG-00219,PROD-04616,STORE-0209,seasonal,27.0,2026-04-23
SIG-00220,PROD-04355,STORE-0438,decline,-1.3,2026-07-03
SIG-00221,PROD-02353,STORE-0126,decline,41.6,2026-04-15
SIG-00222,PROD-00938,STORE-0092,spike,15.3,2026-03-01
SIG-00223,PROD-02509,STORE-0319,spike,63.5,2026-05-22
SIG-00224,PROD-02048,STORE-0033,decline,-23.4,2026-02-19
SIG-00225,PROD-00483,STORE-0285,decline,79.8,2026-03-24
SIG-00226,PROD-03890,STORE-0470,seasonal,23.5,2026-06-18
SIG-00227,PROD-02210,STORE-0432,spike,63.5,2026-01-08
SIG-00228,PROD-02514,STORE-0286,seasonal,56.4,2026-08-27
SIG-00229,PROD-02755,STORE-0123,decline,13.5,2026-02-17
SIG-00230,PROD-01354,STORE-0032,seasonal,-14.3,2026-06-10
SIG-00231,PROD-02937,STORE-0273,spike,-18.9,2026-03-08
SIG-00232,PROD-03874,STORE-0058,decline,22.5,2026-01-22
SIG-00233,PROD-04182,STORE-0170,decline,-1.1,2026-06-11
SIG-00234,PROD-04846,STORE-0349,decline,62.0,2026-08-19
SIG-00235,PROD-03865,STORE-0436,seasonal,12.1,2026-07-15
SIG-00236,PROD-01136,STORE-0016,spike,45.0,2026-03-08
SIG-00237,PROD-00636,STORE-0097,spike,32.3,2026-01-24
SIG-00238,PROD-03602,STORE-0196,spike,32.2,2026-04-15
SIG-00239,PROD-00462,STORE-0016,decline,-35.7,2026-05-23
SIG-00240,PROD-04151,STORE-0088,spike,26.1,2026-07-26
SIG-00241,PROD-04219,STORE-0224,spike,74.3,2026-08-17
SIG-00242,PROD-00428,STORE-0051,spike,57.3,2026-06-06
SIG-00243,PROD-02714,STORE-0356,decline,17.3,2026-05-05
SIG-00244,PROD-02922,STORE-0252,seasonal,-12.2,2026-01-20
SIG-00245,PROD-02135,STORE-0339,seasonal,24.0,2026-07-24
SIG-00246,PROD-02576,STORE-0380,seasonal,-39.5,2026-01-23
SIG-00247,PROD-00652,STORE-0155,seasonal,7.5,2026-04-28
SIG-00248,PROD-03185,STORE-0017,seasonal,56.1,2026-07-03
SIG-00249,PROD-00148,STORE-0186,seasonal,-35.4,2026-01-10
SIG-00250,PROD-03575,STORE-0389,seasonal,-2.5,2026-02-13
SIG-00251,PROD-01787,STORE-0092,spike,79.9,2026-08-25
SIG-00252,PROD-03213,STORE-0294,seasonal,-34.8,2026-07-23
SIG-00253,PROD-00292,STORE-0032,decline,7.1,2026-07-15
SIG-00254,PROD-00700,STORE-0189,spike,50.5,2026-04-12
SIG-00255,PROD-01201,STORE-0370,decline,-2.7,2026-02-03
SIG-00256,PROD-03010,STORE-0089,decline,48.5,2026-03-06
SIG-00257,PROD-04895,STORE-0151,spike,-19.1,2026-08-22
SIG-00258,PROD-04434,STORE-0126,spike,52.8,2026-02-14
SIG-00259,PROD-02413,STORE-0153,decline,-35.4,2026-06-06
SIG-00260,PROD-03239,STORE-0202,seasonal,43.8,2026-06-28
SIG-00261,PROD-03189,STORE-0041,seasonal,35.9,2026-08-26
SIG-00262,PROD-01305,STORE-0129,seasonal,29.0,2026-06-22
SIG-00263,PROD-02377,STORE-0125,decline,77.1,2026-05-05
SIG-00264,PROD-00627,STORE-0135,decline,57.4,2026-07-11
SIG-00265,PROD-04744,STORE-0038,spike,-13.4,2026-03-09
SIG-00266,PROD-03306,STORE-0207,spike,32.4,2026-03-26
SIG-00267,PROD-04866,STORE-0181,decline,-0.1,2026-03-08
SIG-00268,PROD-00154,STORE-0194,seasonal,42.6,2026-06-06
SIG-00269,PROD-03568,STORE-0262,decline,-27.0,2026-05-25
SIG-00270,PROD-04188,STORE-0406,decline,-4.6,2026-06-02
SIG-00271,PROD-04310,STORE-0217,spike,73.2,2026-03-27
SIG-00272,PROD-01501,STORE-0309,seasonal,4.9,2026-03-27
SIG-00273,PROD-01420,STORE-0054,spike,-24.3,2026-02-14
SIG-00274,PROD-02701,STORE-0436,decline,72.7,2026-06-24
SIG-00275,PROD-01310,STORE-0015,seasonal,79.0,2026-08-03
SIG-00276,PROD-02694,STORE-0461,spike,20.2,2026-06-15
SIG-00277,PROD-04096,STORE-0288,spike,28.1,2026-03-10
SIG-00278,PROD-03765,STORE-0234,seasonal,-27.9,2026-01-07
SIG-00279,PROD-02746,STORE-0046,spike,-9.2,2026-06-26
SIG-00280,PROD-01982,STORE-0425,decline,-33.0,2026-07-23
SIG-00281,PROD-03684,STORE-0143,seasonal,2.8,2026-02-22
SIG-00282,PROD-03947,STORE-0151,seasonal,68.7,2026-07-19
SIG-00283,PROD-04602,STORE-0007,seasonal,76.0,2026-02-20
SIG-00284,PROD-03906,STORE-0465,decline,70.2,2026-07-26
SIG-00285,PROD-04449,STORE-0367,spike,63.4,2026-04-17
SIG-00286,PROD-02051,STORE-0396,decline,0.7,2026-04-08
SIG-00287,PROD-01154,STORE-0240,spike,31.4,2026-01-04
SIG-00288,PROD-04062,STORE-0385,decline,1.1,2026-05-13
SIG-00289,PROD-03963,STORE-0124,spike,33.8,2026-05-12
SIG-00290,PROD-02003,STORE-0055,seasonal,3.3,2026-04-05
SIG-00291,PROD-02168,STORE-0487,decline,41.6,2026-04-16
SIG-00292,PROD-00075,STORE-0286,seasonal,51.0,2026-01-09
SIG-00293,PROD-00602,STORE-0202,decline,25.1,2026-01-13
SIG-00294,PROD-01243,STORE-0144,seasonal,-33.6,2026-05-12
SIG-00295,PROD-00710,STORE-0053,seasonal,-26.7,2026-05-01
SIG-00296,PROD-03525,STORE-0041,decline,43.4,2026-07-27
SIG-00297,PROD-03995,STORE-0011,decline,-23.7,2026-05-20
SIG-00298,PROD-02999,STORE-0497,spike,61.3,2026-05-11
SIG-00299,PROD-01729,STORE-0139,decline,4.4,2026-06-20
SIG-00300,PROD-04374,STORE-0150,decline,7.8,2026-08-24
SIG-00301,PROD-03456,STORE-0156,spike,1.6,2026-01-17
SIG-00302,PROD-00807,STORE-0002,seasonal,76.5,2026-05-05
SIG-00303,PROD-04156,STORE-0113,decline,6.8,2026-01-09
SIG-00304,PROD-02181,STORE-0328,spike,27.1,2026-08-03
SIG-00305,PROD-00596,STORE-0289,spike,44.9,2026-01-26
SIG-00306,PROD-03441,STORE-0405,seasonal,-24.2,2026-06-24
SIG-00307,PROD-00146,STORE-0229,spike,57.6,2026-03-24
SIG-00308,PROD-04272,STORE-0359,spike,46.5,2026-06-22
SIG-00309,PROD-04188,STORE-0451,seasonal,36.5,2026-02-17
SIG-00310,PROD-00033,STORE-0368,spike,56.5,2026-07-08
SIG-00311,PROD-01740,STORE-0449,spike,28.6,2026-04-09
SIG-00312,PROD-01053,STORE-0056,decline,3.9,2026-03-22
SIG-00313,PROD-03050,STORE-0241,seasonal,-35.5,2026-05-25
SIG-00314,PROD-02866,STORE-0365,spike,-31.5,2026-08-17
SIG-00315,PROD-04626,STORE-0017,spike,4.2,2026-01-06
SIG-00316,PROD-00049,STORE-0410,decline,55.7,2026-02-04
SIG-00317,PROD-01715,STORE-0499,decline,-29.3,2026-02-22
SIG-00318,PROD-03369,STORE-0441,decline,-14.0,2026-06-03
SIG-00319,PROD-01121,STORE-0411,decline,56.0,2026-04-20
SIG-00320,PROD-04191,STORE-0129,spike,18.7,2026-07-04
SIG-00321,PROD-03017,STORE-0296,decline,-34.8,2026-01-12
SIG-00322,PROD-00091,STORE-0156,decline,-22.5,2026-01-13
SIG-00323,PROD-03523,STORE-0470,seasonal,58.4,2026-08-18
SIG-00324,PROD-02662,STORE-0480,seasonal,43.9,2026-07-28
SIG-00325,PROD-03541,STORE-0195,spike,-32.2,2026-02-15
SIG-00326,PROD-02712,STORE-0254,seasonal,0.1,2026-01-01
SIG-00327,PROD-03908,STORE-0255,seasonal,24.4,2026-01-24
SIG-00328,PROD-00765,STORE-0408,seasonal,71.0,2026-05-24
SIG-00329,PROD-01883,STORE-0413,spike,15.2,2026-06-05
SIG-00330,PROD-03292,STORE-0374,spike,9.5,2026-06-08
SIG-00331,PROD-00464,STORE-0157,decline,33.0,2026-08-03
SIG-00332,PROD-02316,STORE-0044,spike,50.1,2026-05-06
SIG-00333,PROD-04292,STORE-0466,seasonal,-25.4,2026-06-13
SIG-00334,PROD-02122,STORE-0141,seasonal,-13.5,2026-07-04
SIG-00335,PROD-01954,STORE-0316,spike,37.5,2026-08-09
SIG-00336,PROD-00300,STORE-0018,decline,53.5,2026-07-11
SIG-00337,PROD-01368,STORE-0268,seasonal,76.6,2026-01-21
SIG-00338,PROD-02454,STORE-0460,seasonal,-30.8,2026-02-14
SIG-00339,PROD-02976,STORE-0211,decline,38.1,2026-06-03
SIG-00340,PROD-00280,STORE-0021,seasonal,54.8,2026-07-06
SIG-00341,PROD-02988,STORE-0481,decline,67.5,2026-06-25
SIG-00342,PROD-03160,STORE-0067,spike,42.1,2026-07-01
SIG-00343,PROD-04953,STORE-0389,seasonal,41.4,2026-03-14
SIG-00344,PROD-03974,STORE-0455,decline,38.9,2026-05-28
SIG-00345,PROD-00810,STORE-0402,spike,-31.7,2026-08-27
SIG-00346,PROD-03201,STORE-0271,spike,-15.9,2026-06-14
SIG-00347,PROD-00884,STORE-0043,seasonal,20.3,2026-03-27
SIG-00348,PROD-04184,STORE-0481,seasonal,51.3,2026-04-11
SIG-00349,PROD-00091,STORE-0500,decline,2.6,2026-05-14
SIG-00350,PROD-04193,STORE-0232,seasonal,20.3,2026-01-26
SIG-00351,PROD-04936,STORE-0118,decline,-14.3,2026-08-18
SIG-00352,PROD-04154,STORE-0093,seasonal,-11.9,2026-05-06
SIG-00353,PROD-00603,STORE-0394,spike,57.1,2026-05-02
SIG-00354,PROD-01184,STORE-0067,spike,23.7,2026-06-14
SIG-00355,PROD-00014,STORE-0255,seasonal,-18.3,2026-03-08
SIG-00356,PROD-01921,STORE-0446,decline,36.1,2026-05-22
SIG-00357,PROD-02826,STORE-0098,spike,-14.6,2026-01-01
SIG-00358,PROD-01767,STORE-0432,spike,7.0,2026-05-22
SIG-00359,PROD-02094,STORE-0226,decline,49.2,2026-05-20
SIG-00360,PROD-01016,STORE-0093,seasonal,38.2,2026-08-04
SIG-00361,PROD-03548,STORE-0064,spike,-32.2,2026-04-18
SIG-00362,PROD-02976,STORE-0447,decline,-28.7,2026-07-01
SIG-00363,PROD-04785,STORE-0123,seasonal,21.1,2026-01-11
SIG-00364,PROD-03565,STORE-0051,spike,76.6,2026-05-11
SIG-00365,PROD-03985,STORE-0377,decline,4.1,2026-04-27
SIG-00366,PROD-01087,STORE-0009,seasonal,52.7,2026-06-21
SIG-00367,PROD-03607,STORE-0082,decline,14.1,2026-03-21
SIG-00368,PROD-00039,STORE-0219,seasonal,75.1,2026-03-26
SIG-00369,PROD-02318,STORE-0101,seasonal,47.7,2026-01-19
SIG-00370,PROD-04816,STORE-0390,decline,67.7,2026-07-19
SIG-00371,PROD-01244,STORE-0432,spike,17.9,2026-04-10
SIG-00372,PROD-03782,STORE-0403,decline,31.0,2026-03-04
SIG-00373,PROD-02225,STORE-0030,spike,40.8,2026-05-12
SIG-00374,PROD-00764,STORE-0375,decline,-34.2,2026-04-15
SIG-00375,PROD-03590,STORE-0402,seasonal,30.9,2026-02-22
SIG-00376,PROD-03390,STORE-0422,decline,25.4,2026-01-07
SIG-00377,PROD-04531,STORE-0154,spike,2.3,2026-03-04
SIG-00378,PROD-03144,STORE-0294,decline,41.6,2026-02-25
SIG-00379,PROD-03888,STORE-0357,spike,-9.6,2026-02-28
SIG-00380,PROD-02713,STORE-0148,spike,-30.0,2026-06-02
SIG-00381,PROD-03280,STORE-0336,seasonal,10.1,2026-08-02
SIG-00382,PROD-02226,STORE-0141,decline,55.0,2026-03-24
SIG-00383,PROD-03273,STORE-0385,spike,54.5,2026-07-22
SIG-00384,PROD-02331,STORE-0061,spike,30.2,2026-08-27
SIG-00385,PROD-00862,STORE-0430,decline,-23.1,2026-03-04
SIG-00386,PROD-00997,STORE-0431,decline,26.0,2026-08-22
SIG-00387,PROD-01656,STORE-0331,spike,-37.4,2026-07-04
