order_id,store_id,product_id,quantity,order_date,status
ORD-00064,STORE-0191,PROD-03525,38,2026-08-10,shipped
ORD-00065,STORE-0032,PROD-00585,27,2026-08-11,cancelled
ORD-00066,STORE-0317,PROD-04185,11,2026-07-21,pending
ORD-00067,STORE-0372,PROD-03491,6,2026-01-02,pending
ORD-00068,STORE-0224,PROD-02845,50,2026-07-27,cancelled
ORD-00069,STORE-0379,PROD-02536,5,2026-07-26,cancelled
ORD-00070,STORE-0185,PROD-04837,23,2026-06-09,delivered
ORD-00071,STORE-0073,PROD-02928,32,2026-02-13,cancelled
ORD-00072,STORE-0181,PROD-02536,18,2026-02-07,delivered
ORD-00073,STORE-0494,PROD-00557,3,2026-04-20,shipped
ORD-00074,STORE-0173,PROD-03001,12,2026-04-11,shipped
ORD-00075,STORE-0231,PROD-03156,37,2026-08-19,delivered
ORD-00076,STORE-0489,PROD-03778,27,2026-03-19,pending
ORD-00077,STORE-0475,PROD-02956,39,2026-02-20,cancelled
ORD-00078,STORE-0282,PROD-00728,25,2026-05-06,shipped
ORD-00079,STORE-0360,PROD-04036,27,2026-04-19,pending
ORD-00080,STORE-0490,PROD-02916,19,2026-01-06,shipped
ORD-00081,STORE-0191,PROD-02536,2,2026-05-24,delivered
ORD-00082,STORE-0461,PROD-04877,19,2026-03-27,shipped
ORD-00083,STORE-0098,PROD-02700,49,2026-08-07,delivered
ORD-00084,STORE-0242,PROD-00580,26,2026-04-28,shipped
ORD-00085,STORE-0443,PROD-01640,40,2026-02-19,delivered
ORD-00086,STORE-0044,PROD-02709,9,2026-06-09,delivered
ORD-00087,STORE-0168,PROD-00702,28,2026-01-19,pending
ORD-00088,STORE-0457,PROD-01560,22,2026-07-14,shipped
ORD-00089,STORE-0469,PROD-00171,6,2026-08-11,delivered
ORD-00090,STORE-0144,PROD-04212,1,2026-05-09,delivered
ORD-00091,STORE-0129,PROD-01322,18,2026-07-03,shipped
ORD-00092,STORE-0180,PROD-04257,49,2026-02-19,pending
ORD-00093,STORE-0460,PROD-01639,42,2026-03-15,shipped
ORD-00094,STORE-0161,PROD-02161,8,2026-04-18,shipped
ORD-00095,STORE-0041,PROD-02922,8,2026-07-24,cancelled
ORD-00096,STORE-0487,PROD-03799,26,2026-04-22,delivered
ORD-00097,STORE-0350,PROD-00673,40,2026-02-02,cancelled
ORD-00098,STORE-0028,PROD-02319,24,2026-04-06,cancelled
ORD-00099,STORE-0324,PROD-01830,24,2026-05-21,cancelled
ORD-00100,STORE-0360,PROD-00200,48,2026-01-08,cancelled
ORD-00101,STORE-0454,PROD-04590,20,2026-05-13,pending
ORD-00102,STORE-0237,PROD-01126,8,2026-04-24,shipped
ORD-00103,STORE-0408,PROD-00101,49,2026-02-17,delivered
ORD-00104,STORE-0307,PROD-00892,49,2026-01-05,cancelled
ORD-00105,STORE-0351,PROD-01268,28,2026-04-24,delivered
ORD-00106,STORE-0321,PROD-02384,37,2026-08-27,delivered
ORD-00107,STORE-0415,PROD-02029,31,2026-06-06,cancelled
ORD-00108,STORE-0056,PROD-02414,28,2026-06-16,shipped
ORD-00109,STORE-0241,PROD-04923,26,2026-02-15,delivered
ORD-00110,STORE-0177,PROD-03523,5,2026-02-17,delivered
ORD-00111,STORE-0290,PROD-04379,19,2026-06-18,pending
ORD-00112,STORE-0095,PROD-02264,33,2026-07-08,delivered
ORD-00113,STORE-0250,PROD-00101,41,2026-02-28,shipped
ORD-00114,STORE-0470,PROD-03559,14,2026-06-21,cancelled
ORD-00115,STORE-0074,PROD-04692,38,2026-07-28,delivered
ORD-00116,STORE-0149,PROD-04750,18,2026-07-24,cancelled
ORD-00117,STORE-0411,PROD-02749,33,2026-01-25,delivered
ORD-00118,STORE-0354,PROD-03545,21,2026-08-18,shipped
ORD-00119,STORE-0193,PROD-03616,46,2026-03-14,pending
ORD-00120,STORE-0476,PROD-02001,23,2026-03-05,shipped
ORD-00121,STORE-0072,PROD-00826,47,2026-02-15,cancelled
ORD-00122,STORE-0042,PROD-00367,39,2026-03-18,delivered
ORD-00123,STORE-0403,PROD-01577,32,2026-01-08,cancelled
ORD-00124,STORE-0038,PROD-01779,50,2026-06-23,pending
ORD-00125,STORE-0377,PROD-04331,14,2026-07-23,pending
ORD-00126,STORE-0480,PROD-01280,3,2026-02-25,pending
ORD-00127,STORE-0156,PROD-00102,23,2026-03-13,shipped
ORD-00128,STORE-0323,PROD-00791,36,2026-07-09,cancelled
ORD-00129,STORE-0279,PROD-01449,28,2026-02-14,pending
ORD-00130,STORE-0020,PROD-02525,17,2026-07-17,shipped
ORD-00131,STORE-0410,PROD-01158,17,2026-02-11,delivered
ORD-00132,STORE-0273,PROD-02480,23,2026-08-19,pending
ORD-00133,STORE-0414,PROD-01889,48,2026-06-15,delivered
ORD-00134,STORE-0417,PROD-03641,24,2026-04-13,cancelled
ORD-00135,STORE-0264,PROD-00134,1,2026-08-24,delivered
ORD-00136,STORE-0117,PROD-03584,25,2026-01-19,delivered
ORD-00137,STORE-0180,PROD-04151,46,2026-03-08,cancelled
ORD-00138,STORE-0120,PROD-00374,37,2026-08-08,pending
ORD-00139,STORE-0098,PROD-01959,16,2026-04-06,cancelled
ORD-00140,STORE-0205,PROD-01529,36,2026-05-17,cancelled
ORD-00141,STORE-0135,PROD-00826,11,2026-07-28,delivered
ORD-00142,STORE-0458,PROD-03468,41,2026-06-21,shipped
ORD-00143,STORE-0213,PROD-01996,49,2026-05-05,pending
ORD-00144,STORE-0195,PROD-01154,6,2026-08-27,cancelled
ORD-00145,STORE-0354,PROD-02646,43,2026-04-03,pending
ORD-00146,STORE-0393,PROD-01625,1,2026-05-24,delivered
ORD-00147,STORE-0429,PROD-04985,18,2026-03-07,delivered
ORD-00148,STORE-0153,PROD-00862,17,2026-04-14,pending
ORD-00149,STORE-0085,PROD-04078,26,2026-06-26,cancelled
ORD-00150,STORE-0274,PROD-02204,4,2026-05-18,cancelled
ORD-00151,STORE-0046,PROD-00422,5,2026-05-01,delivered
ORD-00152,STORE-0467,PROD-03889,34,2026-02-25,cancelled
ORD-00153,STORE-0074,PROD-03470,15,2026-02-17,delivered
ORD-00154,STORE-0373,PROD-04962,17,2026-08-03,cancelled
ORD-00155,STORE-0077,PROD-02025,17,2026-07-20,delivered
ORD-00156,STORE-0041,PROD-01287,18,2026-08-03,shipped
ORD-00157,STORE-0054,PROD-03132,23,2026-01-11,pending
ORD-00158,STORE-0260,PROD-02576,49,2026-02-04,pending
ORD-00159,STORE-0456,PROD-01396,35,2026-05-15,shipped
ORD-00160,STORE-0156,PROD-01825,31,2026-04-22,cancelled
ORD-00161,STORE-0143,PROD-00215,20,2026-02-06,cancelled
ORD-00162,STORE-0159,PROD-04399,18,2026-01-16,cancelled
ORD-00163,STORE-0043,PROD-04656,30,2026-03-24,cancelled
ORD-00164,STORE-0104,PROD-02142,12,2026-06-04,cancelled
ORD-00165,STORE-0127,PROD-02740,46,2026-04-04,cancelled
ORD-00166,STORE-0258,PROD-01335,27,2026-01-07,delivered
ORD-00167,STORE-0080,PROD-03318,48,2026-04-26,shipped
ORD-00168,STORE-0164,PROD-02343,2,2026-07-18,shipped
ORD-00169,STORE-0434,PROD-01667,33,2026-03-27,pending
ORD-00170,STORE-0334,PROD-04837,17,2026-06-23,cancelled
ORD-00171,STORE-0038,PROD-03783,9,2026-06-19,shipped
ORD-00172,STORE-0241,PROD-02561,26,2026-08-22,delivered
ORD-00173,STORE-0439,PROD-01321,28,2026-04-12,cancelled
ORD-00174,STORE-0419,PROD-01324,27,2026-06-10,delivered
ORD-00175,STORE-0053,PROD-01754,30,2026-05-17,cancelled
ORD-00176,STORE-0147,PROD-02869,14,2026-02-27,pending
ORD-00177,STORE-0306,PROD-04404,42,2026-07-04,cancelled
ORD-00178,STORE-0035,PROD-00060,45,2026-08-21,pending
ORD-00179,STORE-0044,PROD-03183,13,2026-02-08,delivered
ORD-00180,STORE-0210,PROD-02465,21,2026-05-17,shipped
ORD-00181,STORE-0114,PROD-04893,37,2026-02-18,delivered
ORD-00182,STORE-0413,PROD-00569,40,2026-07-17,cancelled
ORD-00183,STORE-0049,PROD-01792,8,2026-01-21,cancelled
ORD-00184,STORE-0275,PROD-00626,30,2026-05-19,shipped
ORD-00185,STORE-0444,PROD-00848,40,2026-03-10,shipped
ORD-00186,STORE-0490,PROD-01575,18,2026-03-22,shipped
ORD-00187,STORE-0382,PROD-02560,46,2026-06-14,pending
ORD-00188,STORE-0001,PROD-00726,6,2026-06-24,delivered
ORD-00189,STORE-0062,PROD-00616,16,2026-06-20,cancelled
ORD-00190,STORE-0273,PROD-03560,30,2026-04-16,pending
ORD-00191,STORE-0133,PROD-02519,8,2026-06-13,delivered
ORD-00192,STORE-0307,PROD-01577,27,2026-08-26,delivered
ORD-00193,STORE-0146,PROD-02465,22,2026-01-04,delivered
ORD-00194,STORE-0134,PROD-01858,23,2026-02-13,pending
ORD-00195,STORE-0274,PROD-01081,14,2026-07-10,shipped
ORD-00196,STORE-0001,PROD-02901,13,2026-03-05,delivered
ORD-00197,STORE-0027,PROD-02286,24,2026-05-27,delivered
ORD-00198,STORE-0245,PROD-03370,26,2026-01-20,delivered
ORD-00199,STORE-0265,PROD-01027,16,2026-07-08,shipped
ORD-00200,STORE-0267,PROD-03311,34,2026-04-07,delivered
ORD-00201,STORE-0247,PROD-00351,43,2026-05-16,pending
ORD-00202,STORE-0216,PROD-02179,1,2026-04-18,shipped
ORD-00203,STORE-0305,PROD-03017,34,2026-08-11,pending
ORD-00204,STORE-0349,PROD-04347,46,2026-02-17,pending
ORD-00205,STORE-0157,PROD-02170,27,2026-07-03,pending
ORD-00206,STORE-0013,PROD-03450,5,2026-05-24,cancelled
ORD-00207,STORE-0315,PROD-03299,38,2026-04-19,delivered
ORD-00208,STORE-0427,PROD-01279,21,2026-03-18,delivered
ORD-00209,STORE-0091,PROD-02907,24,2026-03-05,delivered
ORD-00210,STORE-0496,PROD-04081,34,2026-06-07,cancelled
ORD-00211,STORE-0355,PROD-04516,47,2026-02-10,shipped
ORD-00212,STORE-0361,PROD-01793,30,2026-04-20,shipped
ORD-00213,STORE-0286,PROD-04530,27,2026-01-02,cancelled
ORD-00214,STORE-0188,PROD-04696,27,2026-07-19,cancelled
ORD-00215,STORE-0383,PROD-03379,18,2026-06-26,pending
ORD-00216,STORE-0028,PROD-02294,8,2026-05-09,cancelled
ORD-00217,STORE-0251,PROD-03510,21,2026-03-25,cancelled
ORD-00218,STORE-0257,PROD-02242,38,2026-02-05,cancelled
ORD-00219,STORE-0286,PROD-04245,27,2026-02-11,pending
ORD-00220,STORE-0205,PROD-01319,32,2026-08-10,pending
ORD-00221,STORE-0200,PROD-04325,24,2026-01-28,pending
ORD-00222,STORE-0076,PROD-02196,26,2026-08-09,delivered
ORD-00223,STORE-0441,PROD-03018,13,2026-06-12,delivered
ORD-00224,STORE-0396,PROD-02627,49,2026-06-06,pending
ORD-00225,STORE-0204,PROD-01992,30,2026-06-26,cancelled
ORD-00226,STORE-0120,PROD-03182,21,2026-02-26,cancelled
ORD-00227,STORE-0373,PROD-02643,35,2026-03-12,delivered
ORD-00228,STORE-0208,PROD-00469,28,2026-07-18,shipped
ORD-00229,STORE-0002,PROD-02220,45,2026-06-19,delivered
ORD-00230,STORE-0030,PROD-01924,2,2026-08-06,shipped
ORD-00231,STORE-0491,PROD-01659,8,2026-03-11,cancelled
ORD-00232,STORE-0035,PROD-03308,47,2026-05-27,cancelled
ORD-00233,STORE-0358,PROD-04993,40,2026-03-02,cancelled
ORD-00234,STORE-0186,PROD-00018,22,2026-01-21,delivered
ORD-00235,STORE-0007,PROD-03895,10,2026-06-26,cancelled
ORD-00236,STORE-0094,PROD-03002,44,2026-06-11,cancelled
ORD-00237,STORE-0114,PROD-03719,21,2026-04-20,pending
ORD-00238,STORE-0289,PROD-02877,22,2026-04-09,pending
ORD-00239,STORE-0489,PROD-02315,10,2026-02-09,shipped
ORD-00240,STORE-0136,PROD-04664,19,2026-08-09,pending
ORD-00241,STORE-0210,PROD-01939,9,2026-01-18,shipped
ORD-00242,STORE-0119,PROD-01899,15,2026-08-18,delivered
ORD-00243,STORE-0218,PROD-01583,44,2026-04-02,pending
ORD-00244,STORE-0021,PROD-03388,48,2026-08-18,cancelled
ORD-00245,STORE-0450,PROD-04639,6,2026-01-20,pending
ORD-00246,STORE-0354,PROD-00974,41,2026-08-05,delivered
ORD-00247,STORE-0326,PROD-03586,28,2026-01-14,delivered
ORD-00248,STORE-0280,PROD-01194,6,2026-02-13,cancelled
ORD-00249,STORE-0334,PROD-03066,17,2026-02-28,cancelled
ORD-00250,STORE-0047,PROD-00943,48,2026-08-09,shipped
ORD-00251,STORE-0420,PROD-01466,34,2026-03-04,cancelled
ORD-00252,STORE-0039,PROD-04474,28,2026-04-12,delivered
ORD-00253,STORE-0462,PROD-03955,11,2026-01-13,delivered
ORD-00254,STORE-0143,PROD-04080,37,2026-07-15,pending
ORD-00255,STORE-0371,PROD-04795,5,2026-01-06,cancelled
ORD-00256,STORE-0123,PROD-02329,29,2026-07-13,cancelled
ORD-00257,STORE-0282,PROD-01723,46,2026-04-02,shipped
ORD-00258,STORE-0387,PROD-00075,46,2026-01-21,cancelled
ORD-00259,STORE-0037,PROD-00813,43,2026-03-13,pending
ORD-00260,STORE-0187,PROD-03218,35,2026-08-27,cancelled
ORD-00261,STORE-0494,PROD-01618,21,2026-03-23,delivered
ORD-00262,STORE-0291,PROD-00197,46,2026-01-04,pending
ORD-00263,STORE-0065,PROD-02279,32,2026-05-15,cancelled
ORD-00264,STORE-0128,PROD-00488,22,2026-06-05,pending
ORD-00265,STORE-0229,PROD-01581,30,2026-01-16,delivered
ORD-00266,STORE-0400,PROD-02087,35,2026-02-16,shipped
ORD-00267,STORE-0382,PROD-04862,28,2026-04-06,pending
ORD-00268,STORE-0033,PROD-00606,25,2026-03-28,shipped
ORD-00269,STORE-0118,PROD-02997,5,2026-06-14,shipped
ORD-00270,STORE-0377,PROD-04030,26,2026-05-11,cancelled
ORD-00271,STORE-0247,PROD-02104,50,2026-02-26,shipped
ORD-00272,STORE-0418,PROD-02032,45,2026-01-12,delivered
ORD-00273,STORE-0451,PROD-01251,40,2026-03-04,pending
ORD-00274,STORE-0164,PROD-01429,21,2026-03-16,pending
ORD-00275,STORE-0192,PROD-02738,7,2026-06-20,cancelled
ORD-00276,STORE-0385,PROD-02841,13,2026-06-14,cancelled
ORD-00277,STORE-0096,PROD-02864,17,2026-07-08,pending
ORD-00278,STORE-0445,PROD-00532,23,2026-04-20,shipped
ORD-00279,STORE-0196,PROD-04713,21,2026-02-15,pending
ORD-00280,STORE-0204,PROD-03049,45,2026-04-02,pending
ORD-00281,STORE-0383,PROD-00506,4,2026-03-03,pending
ORD-00282,STORE-0413,PROD-02425,32,2026-08-13,delivered
ORD-00283,STORE-0085,PROD-03064,47,2026-06-13,pending
ORD-00284,STORE-0027,PROD-02121,30,2026-07-26,delivered
ORD-00285,STORE-0071,PROD-03910,37,2026-04-28,shipped
ORD-00286,STORE-0175,PROD-02475,14,2026-08-24,pending
ORD-00287,STORE-0433,PROD-00854,6,2026-02-09,shipped
ORD-00288,STORE-0161,PROD-00093,13,2026-07-23,cancelled
ORD-00289,STORE-0354,PROD-01072,8,2026-01-19,cancelled
ORD-00290,STORE-0242,PROD-00449,39,2026-01-05,pending
ORD-00291,STORE-0456,PROD-00499,43,2026-06-21,pending
ORD-00292,STORE-0492,PROD-01012,29,2026-07-04,shipped
ORD-00293,STORE-0023,PROD-02320,24,2026-06-18,cancelled
ORD-00294,STORE-0042,PROD-01773,45,2026-02-12,pending
ORD-00295,STORE-0470,PROD-00422,16,2026-05-23,shipped
ORD-00296,STORE-0338,PROD-04333,35,2026-06-19,pending
ORD-00297,STORE-0366,PROD-03968,24,2026-01-18,shipped
ORD-00298,STORE-0400,PROD-04131,38,2026-01-02,cancelled
ORD-00299,STORE-0040,PROD-04223,34,2026-06-19,shipped
ORD-00300,STORE-0311,PROD-02170,39,2026-01-27,shipped
ORD-00301,STORE-0464,PROD-04406,13,2026-05-24,pending
ORD-00302,STORE-0085,PROD-00491,12,2026-05-08,pending
ORD-00303,STORE-0072,PROD-03227,8,2026-08-12,cancelled
ORD-00304,STORE-0211,PROD-03492,12,2026-08-04,shipped
ORD-00305,STORE-0146,PROD-01046,13,2026-07-14,cancelled
ORD-00306,STORE-0204,PROD-01668,18,2026-06-20,shipped
ORD-00307,STORE-0084,PROD-01519,31,2026-05-18,pending
ORD-00308,STORE-0059,PROD-00217,5,2026-07-12,shipped
ORD-00309,STORE-0328,PROD-04319,29,2026-08-22,shipped
ORD-00310,STORE-0446,PROD-01187,26,2026-06-23,shipped
ORD-00311,STORE-0142,PROD-03314,1,2026-02-23,cancelled
ORD-00312,STORE-0411,PROD-02177,29,2026-07-10,cancelled
ORD-00313,STORE-0030,PROD-00909,26,2026-05-08,shipped
ORD-00314,STORE-0347,PROD-02715,3,2026-06-14,delivered
ORD-00315,STORE-0330,PROD-02490,47,2026-02-02,shipped
ORD-00316,STORE-0214,PROD-02596,28,2026-08-07,delivered
ORD-00317,STORE-0491,PROD-01124,2,2026-04-03,cancelled
ORD-00318,STORE-0144,PROD-03350,39,2026-04-06,shipped
ORD-00319,STORE-0375,PROD-02685,7,2026-05-20,cancelled
ORD-00320,STORE-0286,PROD-02908,10,2026-01-22,shipped
ORD-00321,STORE-0385,PROD-02506,28,2026-01-11,cancelled
ORD-00322,STORE-0215,PROD-03899,16,2026-07-13,pending
ORD-00323,STORE-0251,PROD-01337,39,2026-05-07,shipped
ORD-00324,STORE-0450,PROD-00452,49,2026-08-25,cancelled
ORD-00325,STORE-0376,PROD-00754,28,2026-07-17,delivered
ORD-00326,STORE-0158,PROD-01942,50,2026-06-12,cancelled
ORD-00327,STORE-0377,PROD-00016,42,2026-02-04,delivered
ORD-00328,STORE-0457,PROD-04198,25,2026-06-07,pending
ORD-00329,STORE-0458,PROD-02412,41,2026-08-07,delivered
ORD-00330,STORE-0342,PROD-04581,6,2026-05-01,cancelled
ORD-00331,STORE-0063,PROD-00743,19,2026-04-13,delivered
ORD-00332,STORE-0349,PROD-03874,18,2026-06-27,delivered
ORD-00333,STORE-0370,PROD-04999,50,2026-01-27,cancelled
ORD-00334,STORE-0292,PROD-03225,49,2026-06-01,cancelled
ORD-00335,STORE-0500,PROD-01674,37,2026-08-08,shipped
ORD-00336,STORE-0167,PROD-02249,3,2026-02-16,delivered
ORD-00337,STORE-0092,PROD-03576,45,2026-07-18,cancelled
ORD-00338,STORE-0386,PROD-00030,17,2026-01-05,cancelled
ORD-00339,STORE-0438,PROD-03981,19,2026-07-19,delivered
ORD-00340,STORE-0407,PROD-03078,30,2026-08-18,shipped
ORD-00341,STORE-0298,PROD-03937,45,2026-03-21,shipped
ORD-00342,STORE-0189,PROD-01275,29,2026-04-22,cancelled
ORD-00343,STORE-0266,PROD-04102,23,2026-06-09,cancelled
ORD-00344,STORE-0060,PROD-01995,3,2026-05-06,delivered
ORD-00345,STORE-0442,PROD-02257,39,2026-06-20,shipped
ORD-00346,STORE-0453,PROD-02098,4,2026-05-20,pending
ORD-00347,STORE-0467,PROD-02344,11,2026-05-28,shipped
ORD-00348,STORE-0099,PROD-04370,9,2026-06-07,shipped
ORD-00349,STORE-0046,PROD-04541,11,2026-04-01,shipped
ORD-00350,STORE-0110,PROD-03178,27,2026-03-28,shipped
ORD-00351,STORE-0085,PROD-04258,19,2026-03-23,cancelled
ORD-00352,STORE-0368,PROD-00283,38,2026-04-01,delivered
ORD-00353,STORE-0203,PROD-03644,10,2026-05-02,cancelled
ORD-00354,STORE-0193,PROD-00363,10,2026-07-16,shipped
ORD-00355,STORE-0215,PROD-02064,16,2026-05-26,shipped
ORD-00356,STORE-0034,PROD-00018,40,2026-01-24,cancelled
ORD-00357,STORE-0256,PROD-00392,39,2026-02-13,cancelled
ORD-00358,STORE-0113,PROD-00593,39,2026-05-20,delivered
ORD-00359,STORE-0149,PROD-03163,24,2026-04-03,cancelled
ORD-00360,STORE-0265,PROD-00148,48,2026-04-09,delivered
ORD-00361,STORE-0355,PROD-00345,2,2026-05-25,delivered
ORD-00362,STORE-0496,PROD-03522,5,2026-01-25,shipped
ORD-00363,STORE-0102,PROD-03536,46,2026-03-06,delivered
ORD-00364,STORE-0304,PROD-00687,1,2026-02-27,cancelled
ORD-00365,STORE-0307,PROD-04608,35,2026-03-07,cancelled
ORD-00366,STORE-0115,PROD-01073,15,2026-04-28,cancelled
ORD-00367,STORE-0149,PROD-01041,38,2026-05-18,shipped
ORD-00368,STORE-0362,PROD-02128,43,2026-07-07,cancelled
ORD-00369,STORE-0117,PROD-01070,31,2026-08-01,cancelled
ORD-00370,STORE-0296,PROD-04614,6,2026-07-11,delivered
ORD-00371,STORE-0291,PROD-03036,47,2026-05-02,cancelled
ORD-00372,STORE-0111,PROD-03576,14,2026-01-25,shipped
ORD-00373,STORE-0487,PROD-01214,2,2026-01-22,shipped
ORD-00374,STORE-0188,PROD-04604,15,2026-07-28,delivered
ORD-00375,STORE-0303,PROD-00199,6,2026-01-13,cancelled
ORD-00376,STORE-0107,PROD-00840,9,2026-04-23,shipped
ORD-00377,STORE-0492,PROD-04605,7,2026-02-02,pending
ORD-00378,STORE-0190,PROD-01278,21,2026-02-17,shipped
ORD-00379,STORE-0149,PROD-03772,14,2026-05-18,shipped
ORD-00380,STORE-0223,PROD-03125,49,2026-06-01,pending
ORD-00381,STORE-0099,PROD-02406,23,2026-02-08,cancelled
ORD-00382,STORE-0060,PROD-00928,32,2026-04-13,pending
ORD-00383,STORE-0020,PROD-02477,29,2026-08-07,shipped
ORD-00384,STORE-0268,PROD-04274,46,2026-01-10,shipped
ORD-00385,STORE-0139,PROD-03848,16,2026-02-03,delivered
ORD-00386,STORE-0088,PROD-02103,44,2026-07-03,shipped
ORD-00387,STORE-0323,PROD-03708,2,2026-03-27,pending
ORD-00388,STORE-0165,PROD-04024,39,2026-03-22,delivered
ORD-00389,STORE-0206,PROD-02951,13,2026-08-14,pending
ORD-00390,STORE-0261,PROD-04487,42,2026-05-19,delivered
ORD-00391,STORE-0278,PROD-00135,14,2026-01-15,pending
ORD-00392,STORE-0295,PROD-03251,31,2026-02-04,shipped
ORD-00393,STORE-0331,PROD-00741,49,2026-01-04,shipped
ORD-00394,STORE-0330,PROD-02029,21,2026-02-27,delivered
ORD-00395,STORE-0282,PROD-02215,29,2026-01-20,shipped
ORD-00396,STORE-0454,PROD-04637,9,2026-04-06,cancelled
ORD-00397,STORE-0326,PROD-03080,13,2026-03-20,shipped
ORD-00398,STORE-0260,PROD-03885,22,2026-03-14,pending
ORD-00399,STORE-0328,PROD-02779,17,2026-08-25,pending
ORD-00400,STORE-0445,PROD-04049,18,2026-06-02,shipped
ORD-00401,STORE-0386,PROD-01335,45,2026-02-24,shipped
ORD-00402,STORE-0259,PROD-02641,49,2026-04-02,shipped
ORD-00403,STORE-0113,PROD-04282,1,2026-06-09,delivered
ORD-00404,STORE-0325,PROD-02203,11,2026-01-16,delivered
ORD-00405,STORE-0237,PROD-00292,1,2026-01-02,shipped
ORD-00406,STORE-0012,PROD-04705,31,2026-08-21,delivered
ORD-00407,STORE-0107,PROD-01343,6,2026-08-04,delivered
ORD-00408,STORE-0425,PROD-01096,24,2026-01-13,delivered
ORD-00409,STORE-0268,PROD-00719,33,2026-04-09,shipped
