inventory_id,store_id,product_id,quantity_on_hand,reorder_point
INV-00126,STORE-0035,PROD-03815,162,32
INV-00127,STORE-0354,PROD-01513,138,20
INV-00128,STORE-0326,PROD-00473,34,34
INV-00129,STORE-0454,PROD-03565,99,22
INV-00130,STORE-0200,PROD-04249,102,18
INV-00131,STORE-0168,PROD-04051,109,48
INV-00132,STORE-0230,PROD-04832,53,39
INV-00133,STORE-0289,PROD-00737,184,39
INV-00134,STORE-0449,PROD-02815,36,41
INV-00135,STORE-0128,PROD-02385,52,45
INV-00136,STORE-0015,PROD-01481,36,10
INV-00137,STORE-0038,PROD-02409,17,36
INV-00138,STORE-0164,PROD-04402,144,17
INV-00139,STORE-0493,PROD-01591,128,10
INV-00140,STORE-0275,PROD-04312,168,39
INV-00141,STORE-0419,PROD-03391,121,60
INV-00142,STORE-0392,PROD-00867,188,49
INV-00143,STORE-0478,PROD-00273,25,41
INV-00144,STORE-0321,PROD-01794,56,13
INV-00145,STORE-0150,PROD-01787,65,37
INV-00146,STORE-0113,PROD-01675,194,37
INV-00147,STORE-0088,PROD-04103,9,17
INV-00148,STORE-0171,PROD-04652,82,24
INV-00149,STORE-0011,PROD-02971,50,20
INV-00150,STORE-0419,PROD-04017,152,42
INV-00151,STORE-0413,PROD-01222,92,19
INV-00152,STORE-0231,PROD-04604,183,48
INV-00153,STORE-0391,PROD-00940,65,13
INV-00154,STORE-0121,PROD-01350,115,42
INV-00155,STORE-0315,PROD-04152,78,25
INV-00156,STORE-0478,PROD-04581,148,13
INV-00157,STORE-0120,PROD-04528,174,54
INV-00158,STORE-0276,PROD-04851,137,41
INV-00159,STORE-0373,PROD-04506,148,59
INV-00160,STORE-0386,PROD-00727,95,57
INV-00161,STORE-0361,PROD-04810,14,23
INV-00162,STORE-0024,PROD-00840,70,36
INV-00163,STORE-0271,PROD-02632,16,53
INV-00164,STORE-0245,PROD-01088,182,32
INV-00165,STORE-0483,PROD-02757,48,15
INV-00166,STORE-0049,PROD-04008,98,43
INV-00167,STORE-0059,PROD-00556,182,17
INV-00168,STORE-0178,PROD-01591,199,38
INV-00169,STORE-0441,PROD-02799,181,17
INV-00170,STORE-0036,PROD-02722,11,35
INV-00171,STORE-0284,PROD-00554,72,28
INV-00172,STORE-0264,PROD-04422,156,42
INV-00173,STORE-0197,PROD-04104,72,13
INV-00174,STORE-0074,PROD-02558,88,10
INV-00175,STORE-0367,PROD-04542,184,55
INV-00176,STORE-0391,PROD-01582,97,49
INV-00177,STORE-0309,PROD-04038,157,38
INV-00178,STORE-0496,PROD-03322,24,22
INV-00179,STORE-0079,PROD-00431,187,14
INV-00180,STORE-0121,PROD-02585,196,52
INV-00181,STORE-0004,PROD-01408,121,10
INV-00182,STORE-0235,PROD-04033,38,17
INV-00183,STORE-0218,PROD-00738,24,56
INV-00184,STORE-0118,PROD-02227,14,59
INV-00185,STORE-0348,PROD-04198,151,21
INV-00186,STORE-0387,PROD-02867,112,22
INV-00187,STORE-0498,PROD-04364,44,18
INV-00188,STORE-0343,PROD-00122,81,11
INV-00189,STORE-0155,PROD-04295,101,39
INV-00190,STORE-0345,PROD-00736,48,15
INV-00191,STORE-0034,PROD-03744,11,45
INV-00192,STORE-0463,PROD-04027,76,41
INV-00193,STORE-0307,PROD-00213,107,18
INV-00194,STORE-0414,PROD-04984,191,17
INV-00195,STORE-0084,PROD-04649,68,27
INV-00196,STORE-0317,PROD-00428,78,35
INV-00197,STORE-0092,PROD-02138,107,36
INV-00198,STORE-0170,PROD-03132,94,20
INV-00199,STORE-0093,PROD-00423,2,53
INV-00200,STORE-0177,PROD-00625,23,43
INV-00201,STORE-0239,PROD-03995,174,37
INV-00202,STORE-0028,PROD-01697,83,17
INV-00203,STORE-0460,PROD-01386,20,49
INV-00204,STORE-0127,PROD-03412,67,33
INV-00205,STORE-0465,PROD-01646,149,30
INV-00206,STORE-0009,PROD-00420,137,55
INV-00207,STORE-0390,PROD-00524,102,11
INV-00208,STORE-0175,PROD-03890,125,58
INV-00209,STORE-0220,PROD-02625,95,54
INV-00210,STORE-0394,PROD-04706,113,29
INV-00211,STORE-0152,PROD-03547,177,48
INV-00212,STORE-0307,PROD-01605,108,25
INV-00213,STORE-0271,PROD-03985,35,49
INV-00214,STORE-0074,PROD-04031,160,47
INV-00215,STORE-0327,PROD-03025,74,21
INV-00216,STORE-0110,PROD-02660,92,44
INV-00217,STORE-0407,PROD-03534,86,22
INV-00218,STORE-0381,PROD-04849,164,48
INV-00219,STORE-0177,PROD-02887,11,26
INV-00220,STORE-0169,PROD-03540,14,17
INV-00221,STORE-0061,PROD-01171,53,24
INV-00222,STORE-0289,PROD-01291,98,34
INV-00223,STORE-0468,PROD-01454,129,42
INV-00224,STORE-0128,PROD-00119,57,56
INV-00225,STORE-0028,PROD-04879,112,47
INV-00226,STORE-0116,PROD-03635,93,46
INV-00227,STORE-0123,PROD-02360,192,12
INV-00228,STORE-0009,PROD-04911,184,38
INV-00229,STORE-0288,PROD-04758,74,21
INV-00230,STORE-0069,PROD-04577,189,26
INV-00231,STORE-0284,PROD-04636,135,31
INV-00232,STORE-0013,PROD-04196,190,51
INV-00233,STORE-0205,PROD-04538,183,31
INV-00234,STORE-0339,PROD-04120,87,36
INV-00235,STORE-0393,PROD-02061,29,38
INV-00236,STORE-0012,PROD-02941,34,38
INV-00237,STORE-0193,PROD-01974,110,18
INV-00238,STORE-0241,PROD-04002,178,28
INV-00239,STORE-0033,PROD-02030,121,12
INV-00240,STORE-0078,PROD-04179,47,57
INV-00241,STORE-0222,PROD-03965,76,52
INV-00242,STORE-0331,PROD-04219,100,10
INV-00243,STORE-0493,PROD-04751,167,49
INV-00244,STORE-0427,PROD-00225,35,44
INV-00245,STORE-0439,PROD-03815,127,20
INV-00246,STORE-0082,PROD-00977,195,47
INV-00247,STORE-0027,PROD-02221,142,27
INV-00248,STORE-0288,PROD-04356,130,43
INV-00249,STORE-0079,PROD-02591,54,50
INV-00250,STORE-0441,PROD-01085,172,22
INV-00251,STORE-0066,PROD-04456,171,60
INV-00252,STORE-0054,PROD-03758,125,26
INV-00253,STORE-0465,PROD-04329,120,54
INV-00254,STORE-0428,PROD-04504,88,38
INV-00255,STORE-0351,PROD-03341,34,58
INV-00256,STORE-0340,PROD-02397,195,34
INV-00257,STORE-0032,PROD-01163,20,54
INV-00258,STORE-0183,PROD-02192,159,44
INV-00259,STORE-0348,PROD-02115,163,55
INV-00260,STORE-0299,PROD-00967,152,57
INV-00261,STORE-0315,PROD-03154,174,28
INV-00262,STORE-0195,PROD-03282,43,39
INV-00263,STORE-0284,PROD-03862,10,25
INV-00264,STORE-0422,PROD-02654,32,34
INV-00265,STORE-0026,PROD-00335,96,19
INV-00266,STORE-0067,PROD-04595,102,23
INV-00267,STORE-0260,PROD-02694,196,41
INV-00268,STORE-0164,PROD-03987,145,40
INV-00269,STORE-0393,PROD-01701,49,45
INV-00270,STORE-0491,PROD-00779,100,23
INV-00271,STORE-0237,PROD-02365,79,60
INV-00272,STORE-0233,PROD-03801,11,22
INV-00273,STORE-0250,PROD-02370,141,13
INV-00274,STORE-0167,PROD-03509,95,41
INV-00275,STORE-0242,PROD-03019,8,46
INV-00276,STORE-0112,PROD-04201,3,47
INV-00277,STORE-0099,PROD-03073,179,59
INV-00278,STORE-0069,PROD-03505,184,34
INV-00279,STORE-0221,PROD-01458,14,57
INV-00280,STORE-0480,PROD-03675,6,10
INV-00281,STORE-0318,PROD-04411,29,60
INV-00282,STORE-0472,PROD-04707,27,22
INV-00283,STORE-0020,PROD-01275,2,28
INV-00284,STORE-0181,PROD-04639,72,43
INV-00285,STORE-0369,PROD-01778,183,40
INV-00286,STORE-0279,PROD-00414,26,20
INV-00287,STORE-0090,PROD-02492,184,42
INV-00288,STORE-0262,PROD-03483,190,10
INV-00289,STORE-0301,PROD-02344,4,15
INV-00290,STORE-0296,PROD-01652,152,52
INV-00291,STORE-0074,PROD-03587,45,27
INV-00292,STORE-0306,PROD-03842,112,13
INV-00293,STORE-0253,PROD-01839,137,14
INV-00294,STORE-0168,PROD-00645,124,21
INV-00295,STORE-0486,PROD-00486,104,55
INV-00296,STORE-0036,PROD-03962,137,46
INV-00297,STORE-0096,PROD-01597,30,29
INV-00298,STORE-0370,PROD-04123,25,32
INV-00299,STORE-0120,PROD-03501,21,36
INV-00300,STORE-0280,PROD-04552,175,58
INV-00301,STORE-0487,PROD-00894,82,31
INV-00302,STORE-0226,PROD-01050,112,17
INV-00303,STORE-0130,PROD-00319,17,48
INV-00304,STORE-0469,PROD-00479,60,52
INV-00305,STORE-0323,PROD-03218,126,36
INV-00306,STORE-0090,PROD-02967,15,36
INV-00307,STORE-0125,PROD-03560,191,31
INV-00308,STORE-0474,PROD-02859,39,10
INV-00309,STORE-0237,PROD-01588,64,23
INV-00310,STORE-0097,PROD-02512,129,39
INV-00311,STORE-0453,PROD-02044,19,53
INV-00312,STORE-0482,PROD-00299,50,58
INV-00313,STORE-0108,PROD-02001,156,31
INV-00314,STORE-0047,PROD-00698,34,57
INV-00315,STORE-0497,PROD-02001,46,59
INV-00316,STORE-0314,PROD-00567,105,41
INV-00317,STORE-0421,PROD-03315,33,20
INV-00318,STORE-0080,PROD-03478,198,31
INV-00319,STORE-0169,PROD-04212,129,25
INV-00320,STORE-0220,PROD-00611,144,18
INV-00321,STORE-0023,PROD-01784,94,57
INV-00322,STORE-0436,PROD-00956,123,17
INV-00323,STORE-0054,PROD-04136,78,40
INV-00324,STORE-0102,PROD-00869,124,20
INV-00325,STORE-0127,PROD-02884,115,34
INV-00326,STORE-0315,PROD-00279,61,59
INV-00327,STORE-0364,PROD-03380,35,26
INV-00328,STORE-0455,PROD-01507,98,10
INV-00329,STORE-0090,PROD-00753,171,58
INV-00330,STORE-0402,PROD-01600,133,33
INV-00331,STORE-0075,PROD-00578,17,44
INV-00332,STORE-0361,PROD-02435,10,29
INV-00333,STORE-0080,PROD-03413,118,24
INV-00334,STORE-0306,PROD-02631,112,31
INV-00335,STORE-0236,PROD-03089,107,37
INV-00336,STORE-0310,PROD-02213,154,37
INV-00337,STORE-0102,PROD-03267,162,53
INV-00338,STORE-0055,PROD-03438,94,22
INV-00339,STORE-0408,PROD-03502,15,47
INV-00340,STORE-0454,PROD-04501,180,15
INV-00341,STORE-0449,PROD-02164,113,11
INV-00342,STORE-0424,PROD-04651,48,52
INV-00343,STORE-0129,PROD-04966,160,35
INV-00344,STORE-0493,PROD-01626,141,33
INV-00345,STORE-0178,PROD-03425,187,59
INV-00346,STORE-0433,PROD-02476,22,39
INV-00347,STORE-0082,PROD-02639,78,42
INV-00348,STORE-0433,PROD-00965,146,46
INV-00349,STORE-0322,PROD-00429,123,47
INV-00350,STORE-0087,PROD-01121,66,41
INV-00351,STORE-0153,PROD-00805,26,21
INV-00352,STORE-0268,PROD-03352,77,32
INV-00353,STORE-0145,PROD-02986,180,54
INV-00354,STORE-0490,PROD-00255,198,40
INV-00355,STORE-0256,PROD-04644,134,43
INV-00356,STORE-0336,PROD-03607,160,20
INV-00357,STORE-0405,PROD-03170,110,53
INV-00358,STORE-0098,PROD-00548,159,20
INV-00359,STORE-0419,PROD-03583,1,48
INV-00360,STORE-0327,PROD-00446,57,14
INV-00361,STORE-0487,PROD-03462,5,52
INV-00362,STORE-0220,PROD-03375,105,60
INV-00363,STORE-0427,PROD-03548,52,11
INV-00364,STORE-0010,PROD-00134,7,33
INV-00365,STORE-0424,PROD-04687,187,13
INV-00366,STORE-0293,PROD-03290,54,48
INV-00367,STORE-0391,PROD-03046,43,37
INV-00368,STORE-0003,PROD-01570,102,37
INV-00369,STORE-0395,PROD-00522,175,26
INV-00370,STORE-0294,PROD-00083,164,32
INV-00371,STORE-0392,PROD-00624,166,38
INV-00372,STORE-0327,PROD-02022,15,24
INV-00373,STORE-0435,PROD-03438,96,29
INV-00374,STORE-0470,PROD-04228,138,32
INV-00375,STORE-0377,PROD-04907,85,30
INV-00376,STORE-0303,PROD-02047,35,17
INV-00377,STORE-0346,PROD-02138,4,38
INV-00378,STORE-0171,PROD-01026,162,19
INV-00379,STORE-0461,PROD-03656,11,59
INV-00380,STORE-0229,PROD-01232,63,55
INV-00381,STORE-0177,PROD-02306,161,28
INV-00382,STORE-0337,PROD-04948,64,48
INV-00383,STORE-0458,PROD-00190,89,34
INV-00384,STORE-0342,PROD-04577,194,42
INV-00385,STORE-0058,PROD-02247,164,34
INV-00386,STORE-0495,PROD-01819,26,10
INV-00387,STORE-0173,PROD-04674,183,28
INV-00388,STORE-0074,PROD-02119,133,30
INV-00389,STORE-0087,PROD-04762,45,44
INV-00390,STORE-0301,PROD-02114,141,10
INV-00391,STORE-0102,PROD-04429,155,15
INV-00392,STORE-0361,PROD-01925,6,18
INV-00393,STORE-0109,PROD-04677,24,37
INV-00394,STORE-0426,PROD-04575,102,35
INV-00395,STORE-0136,PROD-02865,6,11
INV-00396,STORE-0064,PROD-03185,147,41
INV-00397,STORE-0103,PROD-03737,145,36
INV-00398,STORE-0180,PROD-02989,119,29
INV-00399,STORE-0346,PROD-00354,29,25
INV-00400,STORE-0231,PROD-02902,120,60
INV-00401,STORE-0031,PROD-02519,141,15
INV-00402,STORE-0285,PROD-02189,87,53
INV-00403,STORE-0282,PROD-02162,180,33
INV-00404,STORE-0181,PROD-02972,101,17
INV-00405,STORE-0320,PROD-02363,54,19
INV-00406,STORE-0228,PROD-00195,96,15
INV-00407,STORE-0095,PROD-00566,32,29
INV-00408,STORE-0418,PROD-04009,106,30
INV-00409,STORE-0187,PROD-02447,14,25
INV-00410,STORE-0356,PROD-04383,77,47
INV-00411,STORE-0088,PROD-03302,172,39
INV-00412,STORE-0072,PROD-03629,16,26
INV-00413,STORE-0345,PROD-02646,52,58
INV-00414,STORE-0036,PROD-04420,98,32
INV-00415,STORE-0487,PROD-00722,59,60
INV-00416,STORE-0421,PROD-03665,23,43
INV-00417,STORE-0087,PROD-01201,95,51
INV-00418,STORE-0177,PROD-03923,114,12
INV-00419,STORE-0038,PROD-03761,183,46
INV-00420,STORE-0042,PROD-00996,166,19
INV-00421,STORE-0473,PROD-03363,142,20
INV-00422,STORE-0090,PROD-00482,26,52
INV-00423,STORE-0062,PROD-04632,2,59
INV-00424,STORE-0391,PROD-02727,109,60
INV-00425,STORE-0246,PROD-00946,189,19
INV-00426,STORE-0173,PROD-04174,34,13
INV-00427,STORE-0024,PROD-00622,181,30
INV-00428,STORE-0121,PROD-01587,69,49
INV-00429,STORE-0439,PROD-01366,147,48
INV-00430,STORE-0186,PROD-01550,178,26
INV-00431,STORE-0145,PROD-01146,101,31
INV-00432,STORE-0478,PROD-01586,171,39
INV-00433,STORE-0378,PROD-02629,67,40
INV-00434,STORE-0087,PROD-01042,166,31
INV-00435,STORE-0488,PROD-03221,41,10
INV-00436,STORE-0297,PROD-04371,160,20
INV-00437,STORE-0245,PROD-01521,119,55
INV-00438,STORE-0426,PROD-01106,47,35
INV-00439,STORE-0452,PROD-02232,123,56
INV-00440,STORE-0044,PROD-00354,199,29
INV-00441,STORE-0085,PROD-01413,179,33
INV-00442,STORE-0397,PROD-01589,40,48
INV-00443,STORE-0176,PROD-04602,86,31
INV-00444,STORE-0265,PROD-02226,27,23
INV-00445,STORE-0098,PROD-02483,156,11
INV-00446,STORE-0140,PROD-01309,154,33
INV-00447,STORE-0091,PROD-01462,132,45
INV-00448,STORE-0291,PROD-01921,14,36
INV-00449,STORE-0344,PROD-03943,182,24
INV-00450,STORE-0313,PROD-03200,69,26
INV-00451,STORE-0312,PROD-02384,156,46
INV-00452,STORE-0391,PROD-02432,51,21
INV-00453,STORE-0413,PROD-03774,110,34
INV-00454,STORE-0195,PROD-02034,145,35
INV-00455,STORE-0138,PROD-02835,164,27
INV-00456,STORE-0144,PROD-01771,169,35
INV-00457,STORE-0317,PROD-02839,110,20
INV-00458,STORE-0186,PROD-01175,115,13
INV-00459,STORE-0295,PROD-03375,132,43
INV-00460,STORE-0063,PROD-04409,15,42
INV-00461,STORE-0399,PROD-04615,4,21
INV-00462,STORE-0387,PROD-04621,85,58
INV-00463,STORE-0286,PROD-02085,33,29
INV-00464,STORE-0096,PROD-02407,164,45
INV-00465,STORE-0289,PROD-01849,115,16
INV-00466,STORE-0045,PROD-03957,108,14
INV-00467,STORE-0352,PROD-01945,124,41
INV-00468,STORE-0197,PROD-04123,152,36
INV-00469,STORE-0178,PROD-02251,145,27
INV-00470,STORE-0163,PROD-04796,55,23
INV-00471,STORE-0110,PROD-00952,180,36
INV-00472,STORE-0472,PROD-00326,155,60
INV-00473,STORE-0018,PROD-01390,95,28
INV-00474,STORE-0060,PROD-01830,158,13
INV-00475,STORE-0155,PROD-04948,138,56
INV-00476,STORE-0075,PROD-02368,178,10
INV-00477,STORE-0260,PROD-02077,85,42
INV-00478,STORE-0118,PROD-03666,159,38
INV-00479,STORE-0170,PROD-00791,29,47
INV-00480,STORE-0376,PROD-04086,104,22
INV-00481,STORE-0258,PROD-00677,187,22
INV-00482,STORE-0106,PROD-02090,18,57
INV-00483,STORE-0107,PROD-01844,143,51
INV-00484,STORE-0351,PROD-03388,125,32
INV-00485,STORE-0229,PROD-00816,85,23
INV-00486,STORE-0161,PROD-00789,102,28
INV-00487,STORE-0190,PROD-01555,190,35
INV-00488,STORE-0367,PROD-04521,22,37
INV-00489,STORE-0056,PROD-04338,184,48
INV-00490,STORE-0031,PROD-00829,36,57
INV-00491,STORE-0056,PROD-04601,30,12
INV-00492,STORE-0482,PROD-02380,85,28
INV-00493,STORE-0044,PROD-00471,7,47
INV-00494,STORE-0075,PROD-03434,121,55
INV-00495,STORE-0059,PROD-04720,161,43
INV-00496,STORE-0211,PROD-01436,64,13
INV-00497,STORE-0076,PROD-04114,27,46
INV-00498,STORE-0470,PROD-03897,144,12
INV-00499,STORE-0154,PROD-01524,149,28
INV-00500,STORE-0260,PROD-04848,113,46
INV-00501,STORE-0007,PROD-04504,114,28
INV-00502,STORE-0202,PROD-03142,166,37
INV-00503,STORE-0384,PROD-00576,170,17
INV-00504,STORE-0351,PROD-03473,82,21
INV-00505,STORE-0358,PROD-01119,190,57
INV-00506,STORE-0266,PROD-02377,21,45
INV-00507,STORE-0479,PROD-03523,77,56
INV-00508,STORE-0058,PROD-02824,193,27
INV-00509,STORE-0252,PROD-00697,12,44
INV-00510,STORE-0348,PROD-00012,40,41
INV-00511,STORE-0123,PROD-03384,94,13
INV-00512,STORE-0023,PROD-03289,84,18
INV-00513,STORE-0479,PROD-01785,48,16
INV-00514,STORE-0174,PROD-01875,49,40
INV-00515,STORE-0144,PROD-03217,141,52
INV-00516,STORE-0294,PROD-00143,161,22
INV-00517,STORE-0129,PROD-01747,111,23
INV-00518,STORE-0439,PROD-01444,55,19
INV-00519,STORE-0058,PROD-03518,10,29
INV-00520,STORE-0408,PROD-03784,28,47
INV-00521,STORE-0290,PROD-04431,200,60
INV-00522,STORE-0053,PROD-04353,53,45
INV-00523,STORE-0251,PROD-01948,89,13
INV-00524,STORE-0254,PROD-03470,84,51
INV-00525,STORE-0059,PROD-01226,13,45
INV-00526,STORE-0336,PROD-02488,16,40
INV-00527,STORE-0188,PROD-01759,151,24
INV-00528,STORE-0294,PROD-00870,92,18
INV-00529,STORE-0242,PROD-04035,19,23
INV-00530,STORE-0282,PROD-04158,98,10
INV-00531,STORE-0109,PROD-02765,158,19
INV-00532,STORE-0349,PROD-01483,27,28
INV-00533,STORE-0263,PROD-01174,46,19
INV-00534,STORE-0135,PROD-03185,44,56
INV-00535,STORE-0174,PROD-04162,6,20
INV-00536,STORE-0376,PROD-04822,190,22
INV-00537,STORE-0331,PROD-02595,166,46
INV-00538,STORE-0414,PROD-00436,1,55
INV-00539,STORE-0306,PROD-01245,5,53
INV-00540,STORE-0413,PROD-02069,54,44
INV-00541,STORE-0395,PROD-02487,198,12
INV-00542,STORE-0481,PROD-00352,194,42
INV-00543,STORE-0484,PROD-03239,39,35
INV-00544,STORE-0173,PROD-01869,31,51
INV-00545,STORE-0306,PROD-04998,71,15
INV-00546,STORE-0287,PROD-01501,30,56
INV-00547,STORE-0015,PROD-02201,42,11
INV-00548,STORE-0384,PROD-03021,67,30
INV-00549,STORE-0240,PROD-02756,53,15
INV-00550,STORE-0297,PROD-01762,140,30
INV-00551,STORE-0430,PROD-00437,184,29
INV-00552,STORE-0281,PROD-00014,68,10
INV-00553,STORE-0190,PROD-03358,57,46
INV-00554,STORE-0199,PROD-00381,194,23
INV-00555,STORE-0017,PROD-03609,193,42
INV-00556,STORE-0219,PROD-00121,79,11
INV-00557,STORE-0159,PROD-04643,27,50
INV-00558,STORE-0346,PROD-03391,152,31
INV-00559,STORE-0159,PROD-01026,112,39
INV-00560,STORE-0414,PROD-00849,59,25
INV-00561,STORE-0391,PROD-04335,153,35
INV-00562,STORE-0063,PROD-00024,161,17
INV-00563,STORE-0207,PROD-00438,19,26
INV-00564,STORE-0433,PROD-01948,52,32
INV-00565,STORE-0149,PROD-04916,56,32
INV-00566,STORE-0206,PROD-04202,84,55
INV-00567,STORE-0273,PROD-03120,111,21
INV-00568,STORE-0344,PROD-01901,96,14
INV-00569,STORE-0155,PROD-00054,162,42
INV-00570,STORE-0495,PROD-04178,187,41
INV-00571,STORE-0241,PROD-03807,20,53
INV-00572,STORE-0188,PROD-04679,143,25
INV-00573,STORE-0182,PROD-03310,184,44
INV-00574,STORE-0109,PROD-04965,164,58
INV-00575,STORE-0277,PROD-03030,65,30
INV-00576,STORE-0448,PROD-03886,30,29
INV-00577,STORE-0085,PROD-00011,23,13
INV-00578,STORE-0248,PROD-00668,24,20
INV-00579,STORE-0055,PROD-02944,25,11
INV-00580,STORE-0291,PROD-04579,0,15
