provider_id,role
PROV-0197,Nurse Practitioner (synthetic)
PROV-0198,Attending Physician (synthetic)
PROV-0199,Specialist Consultant (synthetic)
PROV-0200,Care Coordinator (synthetic)
PROV-0201,Attending Physician (synthetic)
PROV-0202,Care Coordinator (synthetic)
PROV-0203,Care Coordinator (synthetic)
PROV-0204,Attending Physician (synthetic)
PROV-0205,Care Coordinator (synthetic)
PROV-0206,Attending Physician (synthetic)
PROV-0207,Care Coordinator (synthetic)
PROV-0208,Specialist Consultant (synthetic)
PROV-0209,Nurse Practitioner (synthetic)
PROV-0210,Care Coordinator (synthetic)
PROV-0211,Care Coordinator (synthetic)
PROV-0212,Attending Physician (synthetic)
PROV-0213,Attending Physician (synthetic)
PROV-0214,Nurse Practitioner (synthetic)
PROV-0215,Nurse Practitioner (synthetic)
PROV-0216,Nurse Practitioner (synthetic)
PROV-0217,Nurse Practitioner (synthetic)
PROV-0218,Nurse Practitioner (synthetic)
PROV-0219,Attending Physician (synthetic)
PROV-0220,Nurse Practitioner (synthetic)
PROV-0221,Attending Physician (synthetic)
PROV-0222,Care Coordinator (synthetic)
PROV-0223,Nurse Practitioner (synthetic)
PROV-0224,Care Coordinator (synthetic)
PROV-0225,Attending Physician (synthetic)
PROV-0226,Attending Physician (synthetic)
PROV-0227,Specialist Consultant (synthetic)
PROV-0228,Nurse Practitioner (synthetic)
PROV-0229,Care Coordinator (synthetic)
PROV-0230,Nurse Practitioner (synthetic)
PROV-0231,Nurse Practitioner (synthetic)
PROV-0232,Specialist Consultant (synthetic)
PROV-0233,Care Coordinator (synthetic)
PROV-0234,Specialist Consultant (synthetic)
PROV-0235,Attending Physician (synthetic)
PROV-0236,Specialist Consultant (synthetic)
PROV-0237,Care Coordinator (synthetic)
PROV-0238,Specialist Consultant (synthetic)
PROV-0239,Care Coordinator (synthetic)
PROV-0240,Care Coordinator (synthetic)
PROV-0241,Specialist Consultant (synthetic)
PROV-0242,Care Coordinator (synthetic)
PROV-0243,Nurse Practitioner (synthetic)
PROV-0244,Attending Physician (synthetic)
PROV-0245,Care Coordinator (synthetic)
PROV-0246,Attending Physician (synthetic)
PROV-0247,Nurse Practitioner (synthetic)
PROV-0248,Specialist Consultant (synthetic)
PROV-0249,Care Coordinator (synthetic)
PROV-0250,Care Coordinator (synthetic)
PROV-0251,Attending Physician (synthetic)
PROV-0252,Care Coordinator (synthetic)
PROV-0253,Nurse Practitioner (synthetic)
PROV-0254,Attending Physician (synthetic)
PROV-0255,Attending Physician (synthetic)
PROV-0256,Specialist Consultant (synthetic)
PROV-0257,Care Coordinator (synthetic)
PROV-0258,Specialist Consultant (synthetic)
PROV-0259,Specialist Consultant (synthetic)
PROV-0260,Attending Physician (synthetic)
PROV-0261,Attending Physician (synthetic)
PROV-0262,Specialist Consultant (synthetic)
PROV-0263,Care Coordinator (synthetic)
PROV-0264,Specialist Consultant (synthetic)
PROV-0265,Attending Physician (synthetic)
PROV-0266,Care Coordinator (synthetic)
PROV-0267,Attending Physician (synthetic)
PROV-0268,Specialist Consultant (synthetic)
PROV-0269,Nurse Practitioner (synthetic)
PROV-0270,Attending Physician (synthetic)
PROV-0271,Specialist Consultant (synthetic)
PROV-0272,Care Coordinator (synthetic)
PROV-0273,Attending Physician (synthetic)
PROV-0274,Attending Physician (synthetic)
PROV-0275,Nurse Practitioner (synthetic)
PROV-0276,Specialist Consultant (synthetic)
PROV-0277,Specialist Consultant (synthetic)
PROV-0278,Specialist Consultant (synthetic)
PROV-0279,Care Coordinator (synthetic)
PROV-0280,Attending Physician (synthetic)
PROV-0281,Specialist Consultant (synthetic)
PROV-0282,Nurse Practitioner (synthetic)
PROV-0283,Attending Physician (synthetic)
PROV-0284,Care Coordinator (synthetic)
PROV-0285,Specialist Consultant (synthetic)
PROV-0286,Nurse Practitioner (synthetic)
PROV-0287,Attending Physician (synthetic)
PROV-0288,Specialist Consultant (synthetic)
PROV-0289,Specialist Consultant (synthetic)
PROV-0290,Nurse Practitioner (synthetic)
PROV-0291,Nurse Practitioner (synthetic)
PROV-0292,Attending Physician (synthetic)
PROV-0293,Nurse Practitioner (synthetic)
PROV-0294,Attending Physician (synthetic)
PROV-0295,Attending Physician (synthetic)
PROV-0296,Attending Physician (synthetic)
PROV-0297,Care Coordinator (synthetic)
PROV-0298,Attending Physician (synthetic)
PROV-0299,Care Coordinator (synthetic)
PROV-0300,Attending Physician (synthetic)
PROV-0301,Attending Physician (synthetic)
PROV-0302,Nurse Practitioner (synthetic)
PROV-0303,Care Coordinator (synthetic)
PROV-0304,Nurse Practitioner (synthetic)
PROV-0305,Specialist Consultant (synthetic)
PROV-0306,Attending Physician (synthetic)
PROV-0307,Attending Physician (synthetic)
PROV-0308,Nurse Practitioner (synthetic)
PROV-0309,Specialist Consultant (synthetic)
PROV-0310,Care Coordinator (synthetic)
PROV-0311,Care Coordinator (synthetic)
PROV-0312,Care Coordinator (synthetic)
PROV-0313,Attending Physician (synthetic)
PROV-0314,Nurse Practitioner (synthetic)
PROV-0315,Care Coordinator (synthetic)
PROV-0316,Specialist Consultant (synthetic)
PROV-0317,Nurse Practitioner (synthetic)
PROV-0318,Care Coordinator (synthetic)
PROV-0319,Nurse Practitioner (synthetic)
PROV-0320,Nurse Practitioner (synthetic)
PROV-0321,Attending Physician (synthetic)
PROV-0322,Specialist Consultant (synthetic)
PROV-0323,Specialist Consultant (synthetic)
PROV-0324,Attending Physician (synthetic)
PROV-0325,Attending Physician (synthetic)
PROV-0326,Nurse Practitioner (synthetic)
PROV-0327,Nurse Practitioner (synthetic)
PROV-0328,Care Coordinator (synthetic)
PROV-0329,Care Coordinator (synthetic)
PROV-0330,Attending Physician (synthetic)
PROV-0331,Attending Physician (synthetic)
PROV-0332,Specialist Consultant (synthetic)
PROV-0333,Attending Physician (synthetic)
PROV-0334,Nurse Practitioner (synthetic)
PROV-0335,Care Coordinator (synthetic)
PROV-0336,Nurse Practitioner (synthetic)
PROV-0337,Specialist Consultant (synthetic)
PROV-0338,Care Coordinator (synthetic)
PROV-0339,Specialist Consultant (synthetic)
PROV-0340,Care Coordinator (synthetic)
PROV-0341,Specialist Consultant (synthetic)
PROV-0342,Care Coordinator (synthetic)
PROV-0343,Care Coordinator (synthetic)
PROV-0344,Care Coordinator (synthetic)
PROV-0345,Attending Physician (synthetic)
PROV-0346,Care Coordinator (synthetic)
PROV-0347,Care Coordinator (synthetic)
PROV-0348,Attending Physician (synthetic)
PROV-0349,Specialist Consultant (synthetic)
PROV-0350,Nurse Practitioner (synthetic)
PROV-0351,Care Coordinator (synthetic)
PROV-0352,Nurse Practitioner (synthetic)
PROV-0353,Specialist Consultant (synthetic)
PROV-0354,Nurse Practitioner (synthetic)
PROV-0355,Care Coordinator (synthetic)
PROV-0356,Specialist Consultant (synthetic)
PROV-0357,Nurse Practitioner (synthetic)
PROV-0358,Attending Physician (synthetic)
PROV-0359,Attending Physician (synthetic)
PROV-0360,Care Coordinator (synthetic)
PROV-0361,Specialist Consultant (synthetic)
PROV-0362,Attending Physician (synthetic)
PROV-0363,Specialist Consultant (synthetic)
PROV-0364,Attending Physician (synthetic)
PROV-0365,Attending Physician (synthetic)
PROV-0366,Nurse Practitioner (synthetic)
PROV-0367,Care Coordinator (synthetic)
PROV-0368,Specialist Consultant (synthetic)
PROV-0369,Care Coordinator (synthetic)
PROV-0370,Specialist Consultant (synthetic)
PROV-0371,Nurse Practitioner (synthetic)
PROV-0372,Attending Physician (synthetic)
PROV-0373,Attending Physician (synthetic)
PROV-0374,Attending Physician (synthetic)
PROV-0375,Nurse Practitioner (synthetic)
PROV-0376,Nurse Practitioner (synthetic)
PROV-0377,Nurse Practitioner (synthetic)
PROV-0378,Attending Physician (synthetic)
PROV-0379,Care Coordinator (synthetic)
PROV-0380,Attending Physician (synthetic)
PROV-0381,Nurse Practitioner (synthetic)
PROV-0382,Care Coordinator (synthetic)
PROV-0383,Care Coordinator (synthetic)
PROV-0384,Care Coordinator (synthetic)
PROV-0385,Specialist Consultant (synthetic)
PROV-0386,Attending Physician (synthetic)
PROV-0387,Specialist Consultant (synthetic)
PROV-0388,Specialist Consultant (synthetic)
PROV-0389,Specialist Consultant (synthetic)
PROV-0390,Nurse Practitioner (synthetic)
PROV-0391,Specialist Consultant (synthetic)
PROV-0392,Care Coordinator (synthetic)
PROV-0393,Nurse Practitioner (synthetic)
PROV-0394,Nurse Practitioner (synthetic)
PROV-0395,Care Coordinator (synthetic)
PROV-0396,Nurse Practitioner (synthetic)
PROV-0397,Specialist Consultant (synthetic)
PROV-0398,Nurse Practitioner (synthetic)
PROV-0399,Nurse Practitioner (synthetic)
PROV-0400,Care Coordinator (synthetic)
PROV-0401,Care Coordinator (synthetic)
PROV-0402,Nurse Practitioner (synthetic)
PROV-0403,Specialist Consultant (synthetic)
PROV-0404,Attending Physician (synthetic)
PROV-0405,Nurse Practitioner (synthetic)
PROV-0406,Care Coordinator (synthetic)
PROV-0407,Nurse Practitioner (synthetic)
PROV-0408,Nurse Practitioner (synthetic)
PROV-0409,Nurse Practitioner (synthetic)
PROV-0410,Nurse Practitioner (synthetic)
PROV-0411,Nurse Practitioner (synthetic)
PROV-0412,Specialist Consultant (synthetic)
PROV-0413,Nurse Practitioner (synthetic)
PROV-0414,Specialist Consultant (synthetic)
PROV-0415,Specialist Consultant (synthetic)
PROV-0416,Care Coordinator (synthetic)
PROV-0417,Attending Physician (synthetic)
PROV-0418,Care Coordinator (synthetic)
PROV-0419,Nurse Practitioner (synthetic)
PROV-0420,Specialist Consultant (synthetic)
PROV-0421,Care Coordinator (synthetic)
PROV-0422,Attending Physician (synthetic)
PROV-0423,Attending Physician (synthetic)
PROV-0424,Specialist Consultant (synthetic)
PROV-0425,Care Coordinator (synthetic)
PROV-0426,Attending Physician (synthetic)
PROV-0427,Specialist Consultant (synthetic)
PROV-0428,Attending Physician (synthetic)
PROV-0429,Nurse Practitioner (synthetic)
PROV-0430,Specialist Consultant (synthetic)
PROV-0431,Nurse Practitioner (synthetic)
PROV-0432,Specialist Consultant (synthetic)
PROV-0433,Care Coordinator (synthetic)
PROV-0434,Care Coordinator (synthetic)
PROV-0435,Nurse Practitioner (synthetic)
PROV-0436,Specialist Consultant (synthetic)
PROV-0437,Care Coordinator (synthetic)
PROV-0438,Attending Physician (synthetic)
PROV-0439,Nurse Practitioner (synthetic)
PROV-0440,Nurse Practitioner (synthetic)
PROV-0441,Care Coordinator (synthetic)
PROV-0442,Specialist Consultant (synthetic)
PROV-0443,Nurse Practitioner (synthetic)
PROV-0444,Attending Physician (synthetic)
PROV-0445,Nurse Practitioner (synthetic)
PROV-0446,Attending Physician (synthetic)
PROV-0447,Nurse Practitioner (synthetic)
PROV-0448,Care Coordinator (synthetic)
PROV-0449,Nurse Practitioner (synthetic)
PROV-0450,Care Coordinator (synthetic)
PROV-0451,Nurse Practitioner (synthetic)
PROV-0452,Attending Physician (synthetic)
PROV-0453,Care Coordinator (synthetic)
PROV-0454,Specialist Consultant (synthetic)
PROV-0455,Attending Physician (synthetic)
PROV-0456,Specialist Consultant (synthetic)
PROV-0457,Attending Physician (synthetic)
PROV-0458,Attending Physician (synthetic)
PROV-0459,Care Coordinator (synthetic)
PROV-0460,Specialist Consultant (synthetic)
PROV-0461,Attending Physician (synthetic)
PROV-0462,Nurse Practitioner (synthetic)
PROV-0463,Care Coordinator (synthetic)
PROV-0464,Care Coordinator (synthetic)
PROV-0465,Care Coordinator (synthetic)
PROV-0466,Nurse Practitioner (synthetic)
PROV-0467,Attending Physician (synthetic)
PROV-0468,Care Coordinator (synthetic)
PROV-0469,Attending Physician (synthetic)
PROV-0470,Care Coordinator (synthetic)
PROV-0471,Attending Physician (synthetic)
PROV-0472,Specialist Consultant (synthetic)
PROV-0473,Specialist Consultant (synthetic)
PROV-0474,Attending Physician (synthetic)
PROV-0475,Attending Physician (synthetic)
PROV-0476,Nurse Practitioner (synthetic)
PROV-0477,Attending Physician (synthetic)
PROV-0478,Care Coordinator (synthetic)
PROV-0479,Specialist Consultant (synthetic)
PROV-0480,Attending Physician (synthetic)
PROV-0481,Attending Physician (synthetic)
PROV-0482,Nurse Practitioner (synthetic)
PROV-0483,Specialist Consultant (synthetic)
PROV-0484,Attending Physician (synthetic)
PROV-0485,Nurse Practitioner (synthetic)
PROV-0486,Nurse Practitioner (synthetic)
PROV-0487,Nurse Practitioner (synthetic)
PROV-0488,Specialist Consultant (synthetic)
PROV-0489,Specialist Consultant (synthetic)
PROV-0490,Attending Physician (synthetic)
PROV-0491,Specialist Consultant (synthetic)
PROV-0492,Specialist Consultant (synthetic)
PROV-0493,Attending Physician (synthetic)
PROV-0494,Attending Physician (synthetic)
PROV-0495,Nurse Practitioner (synthetic)
PROV-0496,Care Coordinator (synthetic)
PROV-0497,Specialist Consultant (synthetic)
PROV-0498,Care Coordinator (synthetic)
PROV-0499,Attending Physician (synthetic)
PROV-0500,Nurse Practitioner (synthetic)
