account_id,customer_id,account_type,opened_at
ACC-00122,CUST-02654,checking,2024-05-06
ACC-00123,CUST-04129,credit_card,2024-01-16
ACC-00124,CUST-02176,credit_card,2024-11-24
ACC-00125,CUST-04440,savings,2024-08-13
ACC-00126,CUST-00042,savings,2024-03-11
ACC-00127,CUST-02748,checking,2024-02-20
ACC-00128,CUST-03883,credit_card,2024-08-19
ACC-00129,CUST-04855,savings,2024-06-15
ACC-00130,CUST-00102,savings,2024-02-19
ACC-00131,CUST-03070,savings,2024-08-18
ACC-00132,CUST-01345,checking,2024-06-10
ACC-00133,CUST-00621,checking,2024-06-22
ACC-00134,CUST-03694,checking,2024-10-18
ACC-00135,CUST-04453,savings,2024-04-28
ACC-00136,CUST-02680,savings,2024-05-01
ACC-00137,CUST-04250,savings,2024-07-01
ACC-00138,CUST-02555,checking,2024-01-24
ACC-00139,CUST-01039,savings,2024-02-10
ACC-00140,CUST-03221,credit_card,2024-06-12
ACC-00141,CUST-01991,checking,2024-10-08
ACC-00142,CUST-02547,checking,2024-02-03
ACC-00143,CUST-00647,checking,2024-01-16
ACC-00144,CUST-03661,checking,2024-06-05
ACC-00145,CUST-04649,credit_card,2024-04-11
ACC-00146,CUST-02787,checking,2024-07-16
ACC-00147,CUST-03176,savings,2024-03-22
ACC-00148,CUST-02853,credit_card,2024-11-04
ACC-00149,CUST-01640,credit_card,2024-05-20
ACC-00150,CUST-03488,savings,2024-05-26
ACC-00151,CUST-03372,credit_card,2024-04-10
ACC-00152,CUST-04761,checking,2024-05-08
ACC-00153,CUST-01931,credit_card,2024-02-10
ACC-00154,CUST-01980,savings,2024-12-19
ACC-00155,CUST-03887,savings,2024-09-24
ACC-00156,CUST-00523,credit_card,2024-11-16
ACC-00157,CUST-00992,credit_card,2024-10-21
ACC-00158,CUST-02332,credit_card,2024-02-27
ACC-00159,CUST-02050,savings,2024-03-27
ACC-00160,CUST-03829,credit_card,2024-10-02
ACC-00161,CUST-03036,checking,2024-06-04
ACC-00162,CUST-02645,checking,2024-02-09
ACC-00163,CUST-04267,credit_card,2024-06-03
ACC-00164,CUST-01486,credit_card,2024-01-01
ACC-00165,CUST-01527,savings,2024-02-12
ACC-00166,CUST-01725,savings,2024-01-02
ACC-00167,CUST-03571,credit_card,2024-09-07
ACC-00168,CUST-03195,savings,2024-05-01
ACC-00169,CUST-02423,savings,2024-12-23
ACC-00170,CUST-03142,credit_card,2024-12-17
ACC-00171,CUST-01790,credit_card,2024-04-18
ACC-00172,CUST-04598,credit_card,2024-05-11
ACC-00173,CUST-01109,savings,2024-02-22
ACC-00174,CUST-03704,savings,2024-10-18
ACC-00175,CUST-02407,savings,2024-05-15
ACC-00176,CUST-02406,savings,2024-01-16
ACC-00177,CUST-04225,savings,2024-03-06
ACC-00178,CUST-02522,checking,2024-04-15
ACC-00179,CUST-03580,checking,2024-05-19
ACC-00180,CUST-03279,savings,2024-01-26
ACC-00181,CUST-04994,savings,2024-06-07
ACC-00182,CUST-01695,checking,2024-04-15
ACC-00183,CUST-03749,credit_card,2024-06-27
ACC-00184,CUST-03930,checking,2024-08-17
ACC-00185,CUST-00376,credit_card,2024-09-26
ACC-00186,CUST-03946,savings,2024-12-04
ACC-00187,CUST-03177,credit_card,2024-02-18
ACC-00188,CUST-00524,savings,2024-08-03
ACC-00189,CUST-02052,savings,2024-04-12
ACC-00190,CUST-04927,checking,2024-11-18
ACC-00191,CUST-01956,credit_card,2024-08-11
ACC-00192,CUST-01998,savings,2024-02-01
ACC-00193,CUST-01543,checking,2024-02-16
ACC-00194,CUST-03480,checking,2024-03-05
ACC-00195,CUST-02886,savings,2024-09-22
ACC-00196,CUST-01142,checking,2024-02-06
ACC-00197,CUST-03308,savings,2024-08-24
ACC-00198,CUST-04695,credit_card,2024-11-20
ACC-00199,CUST-02685,savings,2024-07-24
ACC-00200,CUST-03560,savings,2024-08-03
ACC-00201,CUST-02864,checking,2024-03-25
ACC-00202,CUST-03742,checking,2024-11-05
ACC-00203,CUST-02753,checking,2024-06-18
ACC-00204,CUST-01213,credit_card,2024-06-27
ACC-00205,CUST-00887,checking,2024-02-11
ACC-00206,CUST-01082,savings,2024-10-26
ACC-00207,CUST-00102,checking,2024-01-27
ACC-00208,CUST-04251,credit_card,2024-03-01
ACC-00209,CUST-04188,credit_card,2024-05-12
ACC-00210,CUST-04757,checking,2024-06-18
ACC-00211,CUST-00232,checking,2024-02-13
ACC-00212,CUST-02107,savings,2024-02-10
ACC-00213,CUST-02755,savings,2024-05-16
ACC-00214,CUST-00569,credit_card,2024-04-04
ACC-00215,CUST-01437,checking,2024-11-13
ACC-00216,CUST-01722,savings,2024-06-26
ACC-00217,CUST-00737,savings,2024-01-13
ACC-00218,CUST-02762,savings,2024-10-07
ACC-00219,CUST-04761,checking,2024-04-19
ACC-00220,CUST-00856,savings,2024-12-08
ACC-00221,CUST-02864,credit_card,2024-12-02
ACC-00222,CUST-01793,checking,2024-01-07
ACC-00223,CUST-00553,savings,2024-02-27
ACC-00224,CUST-03008,savings,2024-12-18
ACC-00225,CUST-00951,credit_card,2024-07-24
ACC-00226,CUST-01665,checking,2024-02-28
ACC-00227,CUST-01064,checking,2024-09-28
ACC-00228,CUST-01459,credit_card,2024-06-26
ACC-00229,CUST-01126,checking,2024-11-16
ACC-00230,CUST-03771,checking,2024-09-17
ACC-00231,CUST-02809,credit_card,2024-06-04
ACC-00232,CUST-03582,checking,2024-10-20
ACC-00233,CUST-01001,savings,2024-06-23
ACC-00234,CUST-03907,savings,2024-02-24
ACC-00235,CUST-00779,checking,2024-07-24
ACC-00236,CUST-02948,savings,2024-08-08
ACC-00237,CUST-02270,credit_card,2024-05-18
ACC-00238,CUST-00861,credit_card,2024-04-11
ACC-00239,CUST-02551,credit_card,2024-12-15
ACC-00240,CUST-03793,credit_card,2024-04-13
ACC-00241,CUST-02890,credit_card,2024-11-17
ACC-00242,CUST-02895,savings,2024-10-13
ACC-00243,CUST-02203,checking,2024-12-05
ACC-00244,CUST-04320,savings,2024-06-14
ACC-00245,CUST-00603,credit_card,2024-07-04
ACC-00246,CUST-01373,savings,2024-07-19
ACC-00247,CUST-01400,checking,2024-03-02
ACC-00248,CUST-02824,credit_card,2024-02-15
ACC-00249,CUST-01375,savings,2024-03-09
ACC-00250,CUST-00197,savings,2024-08-05
ACC-00251,CUST-03976,credit_card,2024-11-07
ACC-00252,CUST-01187,savings,2024-03-19
ACC-00253,CUST-04862,savings,2024-05-27
ACC-00254,CUST-00070,savings,2024-05-02
ACC-00255,CUST-03412,savings,2024-07-14
ACC-00256,CUST-01032,credit_card,2024-05-13
ACC-00257,CUST-03840,savings,2024-06-22
ACC-00258,CUST-01120,credit_card,2024-08-14
ACC-00259,CUST-03475,checking,2024-07-02
ACC-00260,CUST-00060,checking,2024-05-14
ACC-00261,CUST-04253,savings,2024-10-10
ACC-00262,CUST-00210,savings,2024-05-12
ACC-00263,CUST-00646,credit_card,2024-12-03
ACC-00264,CUST-00669,savings,2024-01-11
ACC-00265,CUST-03395,savings,2024-05-28
ACC-00266,CUST-01770,checking,2024-05-03
ACC-00267,CUST-00134,credit_card,2024-07-18
ACC-00268,CUST-03847,savings,2024-12-21
ACC-00269,CUST-02351,savings,2024-06-19
ACC-00270,CUST-03568,credit_card,2024-08-07
ACC-00271,CUST-00673,checking,2024-09-15
ACC-00272,CUST-01036,checking,2024-10-25
ACC-00273,CUST-00929,savings,2024-06-01
ACC-00274,CUST-03781,credit_card,2024-05-18
ACC-00275,CUST-03857,checking,2024-08-28
ACC-00276,CUST-03438,credit_card,2024-10-25
ACC-00277,CUST-02395,savings,2024-09-15
ACC-00278,CUST-02927,checking,2024-10-21
ACC-00279,CUST-00100,credit_card,2024-06-15
ACC-00280,CUST-04737,credit_card,2024-12-08
ACC-00281,CUST-03239,checking,2024-02-28
ACC-00282,CUST-02918,credit_card,2024-10-11
ACC-00283,CUST-04022,savings,2024-11-22
ACC-00284,CUST-01797,checking,2024-11-18
ACC-00285,CUST-04586,credit_card,2024-08-05
ACC-00286,CUST-01306,savings,2024-03-14
ACC-00287,CUST-00097,checking,2024-01-28
ACC-00288,CUST-02653,credit_card,2024-12-26
ACC-00289,CUST-04048,credit_card,2024-07-22
ACC-00290,CUST-01318,savings,2024-10-22
ACC-00291,CUST-04000,savings,2024-12-10
ACC-00292,CUST-03258,checking,2024-06-19
ACC-00293,CUST-00153,savings,2024-05-15
ACC-00294,CUST-02064,savings,2024-08-03
ACC-00295,CUST-03100,checking,2024-02-07
ACC-00296,CUST-03249,checking,2024-11-08
ACC-00297,CUST-01756,savings,2024-06-22
ACC-00298,CUST-03277,savings,2024-12-12
ACC-00299,CUST-00175,checking,2024-10-02
ACC-00300,CUST-02112,checking,2024-04-23
ACC-00301,CUST-02034,savings,2024-10-27
ACC-00302,CUST-00086,savings,2024-04-26
ACC-00303,CUST-03456,savings,2024-07-18
ACC-00304,CUST-04453,savings,2024-02-20
ACC-00305,CUST-04519,savings,2024-09-16
ACC-00306,CUST-04052,credit_card,2024-04-24
ACC-00307,CUST-01322,savings,2024-02-23
ACC-00308,CUST-02053,savings,2024-01-20
ACC-00309,CUST-02600,credit_card,2024-05-13
ACC-00310,CUST-01348,credit_card,2024-02-03
ACC-00311,CUST-01920,savings,2024-03-06
ACC-00312,CUST-01972,checking,2024-09-08
ACC-00313,CUST-00914,savings,2024-07-14
ACC-00314,CUST-03824,savings,2024-10-19
ACC-00315,CUST-02088,savings,2024-05-19
ACC-00316,CUST-01202,checking,2024-07-09
ACC-00317,CUST-01880,savings,2024-01-19
ACC-00318,CUST-03875,credit_card,2024-03-06
ACC-00319,CUST-04655,savings,2024-04-01
ACC-00320,CUST-01191,credit_card,2024-08-18
ACC-00321,CUST-02946,credit_card,2024-03-16
ACC-00322,CUST-02411,checking,2024-05-04
ACC-00323,CUST-01982,checking,2024-01-14
ACC-00324,CUST-00282,savings,2024-02-15
ACC-00325,CUST-00122,checking,2024-10-18
ACC-00326,CUST-01784,checking,2024-05-06
ACC-00327,CUST-00361,credit_card,2024-07-08
ACC-00328,CUST-03271,checking,2024-02-22
ACC-00329,CUST-02246,credit_card,2024-06-07
ACC-00330,CUST-03796,credit_card,2024-10-23
ACC-00331,CUST-03505,checking,2024-02-19
ACC-00332,CUST-00515,checking,2024-11-12
ACC-00333,CUST-02795,credit_card,2024-06-25
ACC-00334,CUST-01821,savings,2024-01-02
ACC-00335,CUST-01252,checking,2024-04-23
ACC-00336,CUST-00633,checking,2024-03-21
ACC-00337,CUST-02845,credit_card,2024-12-07
ACC-00338,CUST-02587,savings,2024-03-10
ACC-00339,CUST-00393,checking,2024-06-02
ACC-00340,CUST-03989,savings,2024-03-15
ACC-00341,CUST-00307,savings,2024-09-16
ACC-00342,CUST-02172,savings,2024-01-22
ACC-00343,CUST-01383,savings,2024-10-06
ACC-00344,CUST-00387,savings,2024-08-11
ACC-00345,CUST-01335,savings,2024-05-13
ACC-00346,CUST-02704,savings,2024-02-03
ACC-00347,CUST-02039,credit_card,2024-12-15
ACC-00348,CUST-01169,savings,2024-09-16
ACC-00349,CUST-02432,savings,2024-08-27
ACC-00350,CUST-00073,savings,2024-08-03
ACC-00351,CUST-02707,savings,2024-11-23
ACC-00352,CUST-03864,checking,2024-05-07
ACC-00353,CUST-01116,checking,2024-05-01
ACC-00354,CUST-02631,credit_card,2024-03-22
ACC-00355,CUST-02918,savings,2024-04-08
ACC-00356,CUST-03784,checking,2024-02-11
ACC-00357,CUST-03138,credit_card,2024-03-12
ACC-00358,CUST-02330,credit_card,2024-08-17
ACC-00359,CUST-03380,credit_card,2024-03-05
ACC-00360,CUST-01935,checking,2024-07-01
ACC-00361,CUST-03463,checking,2024-04-21
ACC-00362,CUST-00121,credit_card,2024-06-19
ACC-00363,CUST-03550,credit_card,2024-06-10
ACC-00364,CUST-03499,credit_card,2024-08-15
ACC-00365,CUST-04530,checking,2024-08-06
ACC-00366,CUST-01613,checking,2024-12-06
ACC-00367,CUST-02819,checking,2024-04-15
ACC-00368,CUST-04822,credit_card,2024-04-04
ACC-00369,CUST-02176,checking,2024-07-22
ACC-00370,CUST-02854,checking,2024-10-07
ACC-00371,CUST-04199,credit_card,2024-12-09
ACC-00372,CUST-00204,savings,2024-06-22
ACC-00373,CUST-02405,credit_card,2024-05-03
ACC-00374,CUST-02183,credit_card,2024-08-12
ACC-00375,CUST-01143,credit_card,2024-08-13
ACC-00376,CUST-04063,credit_card,2024-11-19
ACC-00377,CUST-00568,savings,2024-11-23
ACC-00378,CUST-01158,credit_card,2024-03-12
ACC-00379,CUST-03274,savings,2024-01-14
ACC-00380,CUST-01542,credit_card,2024-08-09
ACC-00381,CUST-01526,credit_card,2024-12-20
ACC-00382,CUST-00195,checking,2024-10-18
ACC-00383,CUST-02444,savings,2024-12-22
ACC-00384,CUST-03354,checking,2024-06-22
ACC-00385,CUST-03246,checking,2024-10-02
ACC-00386,CUST-03987,savings,2024-07-23
ACC-00387,CUST-04366,savings,2024-02-08
ACC-00388,CUST-01714,savings,2024-07-11
ACC-00389,CUST-01790,savings,2024-08-16
ACC-00390,CUST-04119,credit_card,2024-04-16
ACC-00391,CUST-03981,savings,2024-05-11
ACC-00392,CUST-04072,checking,2024-03-17
ACC-00393,CUST-04089,credit_card,2024-10-14
ACC-00394,CUST-04102,credit_card,2024-11-11
ACC-00395,CUST-02914,credit_card,2024-02-02
ACC-00396,CUST-00313,credit_card,2024-09-03
ACC-00397,CUST-04858,credit_card,2024-02-06
ACC-00398,CUST-04190,savings,2024-09-14
ACC-00399,CUST-04521,checking,2024-08-19
ACC-00400,CUST-02847,checking,2024-04-07
ACC-00401,CUST-02522,credit_card,2024-04-12
ACC-00402,CUST-01521,credit_card,2024-06-16
ACC-00403,CUST-03943,checking,2024-12-02
ACC-00404,CUST-00290,checking,2024-11-25
ACC-00405,CUST-00448,savings,2024-07-01
ACC-00406,CUST-03157,checking,2024-11-25
ACC-00407,CUST-04908,credit_card,2024-12-01
ACC-00408,CUST-02304,savings,2024-10-01
ACC-00409,CUST-02102,credit_card,2024-06-20
ACC-00410,CUST-04308,savings,2024-11-22
ACC-00411,CUST-02641,checking,2024-12-24
ACC-00412,CUST-02668,savings,2024-08-03
ACC-00413,CUST-04277,checking,2024-02-19
ACC-00414,CUST-04335,credit_card,2024-09-18
ACC-00415,CUST-00513,credit_card,2024-11-20
ACC-00416,CUST-03916,savings,2024-04-13
ACC-00417,CUST-03713,credit_card,2024-11-27
ACC-00418,CUST-03452,savings,2024-10-05
ACC-00419,CUST-02377,credit_card,2024-09-09
ACC-00420,CUST-03704,credit_card,2024-08-05
ACC-00421,CUST-01786,checking,2024-12-14
ACC-00422,CUST-03020,savings,2024-04-02
ACC-00423,CUST-03875,credit_card,2024-09-27
ACC-00424,CUST-02620,checking,2024-10-26
ACC-00425,CUST-00941,checking,2024-06-04
ACC-00426,CUST-03390,checking,2024-05-13
ACC-00427,CUST-01827,credit_card,2024-02-18
ACC-00428,CUST-01412,checking,2024-08-15
ACC-00429,CUST-00203,checking,2024-05-03
ACC-00430,CUST-00414,savings,2024-07-13
ACC-00431,CUST-01193,savings,2024-05-19
ACC-00432,CUST-00372,checking,2024-05-02
ACC-00433,CUST-04528,credit_card,2024-12-19
ACC-00434,CUST-02959,checking,2024-04-21
ACC-00435,CUST-03705,checking,2024-04-09
ACC-00436,CUST-04969,savings,2024-02-24
ACC-00437,CUST-01729,checking,2024-03-01
ACC-00438,CUST-03675,checking,2024-03-28
ACC-00439,CUST-00013,credit_card,2024-05-11
ACC-00440,CUST-00501,checking,2024-11-14
ACC-00441,CUST-04161,checking,2024-08-12
ACC-00442,CUST-02727,credit_card,2024-08-13
ACC-00443,CUST-01776,credit_card,2024-11-28
ACC-00444,CUST-01490,savings,2024-06-23
ACC-00445,CUST-00968,savings,2024-08-04
ACC-00446,CUST-03129,checking,2024-07-20
ACC-00447,CUST-02850,checking,2024-05-05
ACC-00448,CUST-04348,savings,2024-07-14
ACC-00449,CUST-02303,credit_card,2024-11-10
ACC-00450,CUST-03432,checking,2024-01-12
ACC-00451,CUST-01503,credit_card,2024-06-02
ACC-00452,CUST-04170,credit_card,2024-07-19
ACC-00453,CUST-00455,savings,2024-09-05
ACC-00454,CUST-04605,credit_card,2024-01-07
ACC-00455,CUST-00774,checking,2024-08-27
ACC-00456,CUST-04491,checking,2024-03-27
ACC-00457,CUST-01570,credit_card,2024-11-27
ACC-00458,CUST-03024,credit_card,2024-05-23
ACC-00459,CUST-04648,savings,2024-01-03
ACC-00460,CUST-01100,credit_card,2024-03-08
ACC-00461,CUST-03747,credit_card,2024-12-15
ACC-00462,CUST-04546,checking,2024-05-07
ACC-00463,CUST-03715,savings,2024-11-06
ACC-00464,CUST-01803,credit_card,2024-09-21
ACC-00465,CUST-04192,credit_card,2024-05-05
ACC-00466,CUST-04699,credit_card,2024-08-18
ACC-00467,CUST-01345,savings,2024-10-09
ACC-00468,CUST-04331,checking,2024-02-20
ACC-00469,CUST-00672,credit_card,2024-12-01
ACC-00470,CUST-03680,checking,2024-06-28
ACC-00471,CUST-00361,savings,2024-03-15
ACC-00472,CUST-01378,credit_card,2024-05-13
ACC-00473,CUST-03064,credit_card,2024-02-01
ACC-00474,CUST-02928,credit_card,2024-07-20
ACC-00475,CUST-03582,checking,2024-03-27
ACC-00476,CUST-02585,credit_card,2024-11-03
ACC-00477,CUST-00948,credit_card,2024-01-03
ACC-00478,CUST-03464,credit_card,2024-03-08
ACC-00479,CUST-01191,checking,2024-04-26
ACC-00480,CUST-04201,savings,2024-04-04
ACC-00481,CUST-04090,checking,2024-02-26
ACC-00482,CUST-04933,checking,2024-05-03
ACC-00483,CUST-03754,credit_card,2024-02-17
ACC-00484,CUST-01971,savings,2024-09-12
ACC-00485,CUST-01902,checking,2024-01-12
ACC-00486,CUST-00385,checking,2024-09-28
ACC-00487,CUST-04481,checking,2024-08-04
ACC-00488,CUST-03398,savings,2024-07-10
ACC-00489,CUST-04683,credit_card,2024-04-14
ACC-00490,CUST-01580,credit_card,2024-11-19
ACC-00491,CUST-04163,savings,2024-09-23
ACC-00492,CUST-01919,checking,2024-10-07
ACC-00493,CUST-02591,checking,2024-08-03
ACC-00494,CUST-04864,credit_card,2024-09-19
ACC-00495,CUST-00011,credit_card,2024-05-17
ACC-00496,CUST-00168,credit_card,2024-12-24
ACC-00497,CUST-02725,credit_card,2024-05-15
ACC-00498,CUST-00460,savings,2024-01-09
ACC-00499,CUST-02360,checking,2024-05-20
ACC-00500,CUST-03984,checking,2024-08-05
ACC-00501,CUST-04661,credit_card,2024-05-09
ACC-00502,CUST-01648,savings,2024-05-06
ACC-00503,CUST-01321,credit_card,2024-11-08
ACC-00504,CUST-00934,credit_card,2024-12-10
ACC-00505,CUST-03484,savings,2024-12-20
ACC-00506,CUST-03985,savings,2024-06-14
ACC-00507,CUST-04281,savings,2024-12-14
ACC-00508,CUST-03635,checking,2024-04-16
ACC-00509,CUST-00562,checking,2024-05-14
ACC-00510,CUST-04524,checking,2024-05-09
ACC-00511,CUST-01608,checking,2024-03-15
ACC-00512,CUST-00174,credit_card,2024-08-16
ACC-00513,CUST-00773,checking,2024-09-21
ACC-00514,CUST-03452,credit_card,2024-11-22
ACC-00515,CUST-00816,savings,2024-11-10
ACC-00516,CUST-02478,savings,2024-07-28
ACC-00517,CUST-01410,credit_card,2024-05-21
ACC-00518,CUST-03601,savings,2024-06-09
ACC-00519,CUST-01278,savings,2024-02-20
ACC-00520,CUST-03671,credit_card,2024-11-16
ACC-00521,CUST-00012,checking,2024-03-27
ACC-00522,CUST-03037,checking,2024-07-17
ACC-00523,CUST-01138,savings,2024-01-23
ACC-00524,CUST-02174,savings,2024-02-25
ACC-00525,CUST-01654,credit_card,2024-03-25
ACC-00526,CUST-03795,credit_card,2024-10-12
ACC-00527,CUST-03429,credit_card,2024-04-09
ACC-00528,CUST-00366,checking,2024-07-25
ACC-00529,CUST-02434,credit_card,2024-10-05
ACC-00530,CUST-04807,checking,2024-09-11
ACC-00531,CUST-03517,credit_card,2024-12-24
ACC-00532,CUST-04608,credit_card,2024-09-06
ACC-00533,CUST-02761,checking,2024-12-04
ACC-00534,CUST-04689,savings,2024-08-05
ACC-00535,CUST-01714,savings,2024-01-06
ACC-00536,CUST-04722,checking,2024-08-28
ACC-00537,CUST-03165,credit_card,2024-11-28
ACC-00538,CUST-01725,credit_card,2024-06-11
ACC-00539,CUST-02060,credit_card,2024-06-14
ACC-00540,CUST-00932,checking,2024-01-20
ACC-00541,CUST-04560,checking,2024-06-15
ACC-00542,CUST-00022,checking,2024-10-11
ACC-00543,CUST-03389,checking,2024-05-14
ACC-00544,CUST-01834,credit_card,2024-12-20
ACC-00545,CUST-01498,savings,2024-07-04
ACC-00546,CUST-03856,savings,2024-07-04
ACC-00547,CUST-04375,savings,2024-11-13
ACC-00548,CUST-00893,credit_card,2024-07-06
ACC-00549,CUST-04207,credit_card,2024-02-12
ACC-00550,CUST-04448,credit_card,2024-07-03
ACC-00551,CUST-03388,credit_card,2024-12-12
ACC-00552,CUST-03943,checking,2024-11-03
ACC-00553,CUST-02325,credit_card,2024-07-12
ACC-00554,CUST-02134,savings,2024-05-07
ACC-00555,CUST-04404,credit_card,2024-11-21
ACC-00556,CUST-02030,savings,2024-09-03
ACC-00557,CUST-02143,credit_card,2024-02-04
ACC-00558,CUST-01220,checking,2024-08-27
ACC-00559,CUST-04544,savings,2024-06-07
ACC-00560,CUST-02473,credit_card,2024-11-09
ACC-00561,CUST-01329,checking,2024-09-18
ACC-00562,CUST-01705,savings,2024-08-08
ACC-00563,CUST-04819,credit_card,2024-09-04
ACC-00564,CUST-01340,savings,2024-09-09
ACC-00565,CUST-02655,checking,2024-04-08
