case_id,transaction_id,account_id,status,risk_score,opened_at
FC-00028,TXN-035001,ACC-01451,investigating,0.56,2026-08-06
FC-00029,TXN-011065,ACC-06902,investigating,0.95,2026-04-04
FC-00030,TXN-015333,ACC-03342,investigating,0.45,2026-02-08
FC-00031,TXN-030742,ACC-06019,closed_no_fraud,0.62,2026-03-27
FC-00032,TXN-040482,ACC-04914,investigating,0.64,2026-08-04
FC-00033,TXN-041330,ACC-03687,closed_no_fraud,0.4,2026-03-28
FC-00034,TXN-040913,ACC-01814,confirmed_fraud,0.74,2026-04-26
FC-00035,TXN-044087,ACC-00257,open,0.52,2026-06-26
FC-00036,TXN-025296,ACC-02380,confirmed_fraud,0.46,2026-04-25
FC-00037,TXN-003290,ACC-04651,closed_no_fraud,0.61,2026-05-13
FC-00038,TXN-027772,ACC-03603,confirmed_fraud,0.84,2026-08-26
FC-00039,TXN-042743,ACC-04140,confirmed_fraud,0.57,2026-07-23
FC-00040,TXN-019193,ACC-00539,open,0.41,2026-03-27
FC-00041,TXN-025517,ACC-07409,closed_no_fraud,0.59,2026-06-11
FC-00042,TXN-002316,ACC-01890,investigating,0.97,2026-07-11
FC-00043,TXN-028391,ACC-06474,closed_no_fraud,0.48,2026-04-08
FC-00044,TXN-011405,ACC-05066,investigating,0.59,2026-08-13
FC-00045,TXN-023725,ACC-03008,closed_no_fraud,0.48,2026-07-22
FC-00046,TXN-015426,ACC-01124,open,0.58,2026-08-21
FC-00047,TXN-019433,ACC-01350,confirmed_fraud,0.57,2026-08-19
FC-00048,TXN-003466,ACC-04141,open,0.55,2026-01-25
FC-00049,TXN-040309,ACC-06524,open,0.54,2026-04-09
FC-00050,TXN-015534,ACC-04153,open,0.74,2026-04-23
FC-00051,TXN-038104,ACC-07099,investigating,0.58,2026-01-16
FC-00052,TXN-015910,ACC-03660,open,0.7,2026-05-22
FC-00053,TXN-010481,ACC-05079,confirmed_fraud,0.47,2026-01-26
FC-00054,TXN-021912,ACC-07223,open,0.9,2026-04-06
FC-00055,TXN-032840,ACC-04030,closed_no_fraud,0.57,2026-01-17
FC-00056,TXN-045756,ACC-03685,investigating,0.72,2026-07-17
FC-00057,TXN-011962,ACC-05721,investigating,0.75,2026-04-08
FC-00058,TXN-021767,ACC-04185,investigating,0.73,2026-05-08
FC-00059,TXN-030378,ACC-02817,investigating,0.49,2026-05-17
FC-00060,TXN-022506,ACC-06605,open,0.97,2026-02-17
FC-00061,TXN-018741,ACC-07025,closed_no_fraud,0.9,2026-06-20
FC-00062,TXN-021442,ACC-06341,investigating,0.79,2026-04-16
FC-00063,TXN-016181,ACC-04363,open,0.9,2026-05-16
FC-00064,TXN-042829,ACC-06555,open,0.86,2026-03-18
FC-00065,TXN-025646,ACC-03413,confirmed_fraud,0.73,2026-01-22
FC-00066,TXN-013984,ACC-02272,open,0.97,2026-08-21
FC-00067,TXN-015237,ACC-02963,closed_no_fraud,0.55,2026-05-19
FC-00068,TXN-000149,ACC-05712,open,0.93,2026-05-08
FC-00069,TXN-019287,ACC-06813,open,0.48,2026-06-04
FC-00070,TXN-000525,ACC-02060,closed_no_fraud,0.66,2026-05-08
FC-00071,TXN-016928,ACC-02354,confirmed_fraud,0.56,2026-03-24
FC-00072,TXN-034418,ACC-05905,investigating,0.5,2026-07-17
FC-00073,TXN-034661,ACC-00739,open,0.88,2026-08-20
FC-00074,TXN-030864,ACC-03049,investigating,0.86,2026-05-22
FC-00075,TXN-008663,ACC-07121,closed_no_fraud,0.81,2026-08-07
FC-00076,TXN-007081,ACC-02613,confirmed_fraud,0.87,2026-01-27
FC-00077,TXN-039641,ACC-05336,open,0.57,2026-05-28
FC-00078,TXN-017097,ACC-04539,open,0.78,2026-08-06
FC-00079,TXN-032909,ACC-01459,confirmed_fraud,0.48,2026-06-03
FC-00080,TXN-037181,ACC-01737,open,0.93,2026-06-14
FC-00081,TXN-024854,ACC-07350,confirmed_fraud,0.68,2026-06-14
FC-00082,TXN-015573,ACC-01301,open,0.62,2026-03-11
FC-00083,TXN-001234,ACC-01044,investigating,0.54,2026-04-13
FC-00084,TXN-008331,ACC-00357,closed_no_fraud,0.91,2026-05-02
FC-00085,TXN-002209,ACC-05093,closed_no_fraud,0.67,2026-03-17
FC-00086,TXN-046359,ACC-04290,open,0.53,2026-07-06
FC-00087,TXN-021542,ACC-02655,investigating,0.75,2026-01-18
FC-00088,TXN-042544,ACC-03680,confirmed_fraud,0.75,2026-04-10
FC-00089,TXN-020596,ACC-05061,open,0.65,2026-03-01
FC-00090,TXN-011680,ACC-00884,closed_no_fraud,0.61,2026-02-22
FC-00091,TXN-041393,ACC-02083,closed_no_fraud,0.66,2026-01-07
FC-00092,TXN-033551,ACC-05258,confirmed_fraud,0.58,2026-08-08
FC-00093,TXN-030295,ACC-02058,confirmed_fraud,0.82,2026-08-28
FC-00094,TXN-043743,ACC-03774,closed_no_fraud,0.79,2026-06-09
FC-00095,TXN-045200,ACC-06630,closed_no_fraud,0.45,2026-04-19
FC-00096,TXN-034976,ACC-07435,closed_no_fraud,0.41,2026-05-02
FC-00097,TXN-009273,ACC-00420,open,0.44,2026-05-17
FC-00098,TXN-011427,ACC-01761,closed_no_fraud,0.63,2026-06-26
FC-00099,TXN-027089,ACC-06124,confirmed_fraud,0.93,2026-04-17
FC-00100,TXN-016597,ACC-01649,closed_no_fraud,0.77,2026-01-21
FC-00101,TXN-036361,ACC-02940,investigating,0.64,2026-08-25
FC-00102,TXN-031186,ACC-06392,confirmed_fraud,0.66,2026-01-03
FC-00103,TXN-004660,ACC-07474,confirmed_fraud,0.8,2026-08-03
FC-00104,TXN-008722,ACC-02064,confirmed_fraud,0.8,2026-01-23
FC-00105,TXN-035975,ACC-04765,open,0.5,2026-06-07
FC-00106,TXN-018374,ACC-05057,closed_no_fraud,0.77,2026-06-21
FC-00107,TXN-012930,ACC-00105,confirmed_fraud,0.96,2026-01-23
FC-00108,TXN-036427,ACC-01261,investigating,0.43,2026-02-28
FC-00109,TXN-039912,ACC-04249,confirmed_fraud,0.65,2026-03-19
FC-00110,TXN-012507,ACC-04402,open,0.91,2026-06-27
FC-00111,TXN-025265,ACC-01534,investigating,0.84,2026-05-07
FC-00112,TXN-018441,ACC-05408,confirmed_fraud,0.87,2026-03-26
FC-00113,TXN-037049,ACC-03423,open,0.64,2026-06-18
FC-00114,TXN-025984,ACC-05462,confirmed_fraud,0.67,2026-06-03
FC-00115,TXN-010926,ACC-02929,open,0.94,2026-04-16
FC-00116,TXN-048606,ACC-01909,confirmed_fraud,0.43,2026-02-04
FC-00117,TXN-022215,ACC-07094,open,0.65,2026-02-27
FC-00118,TXN-021739,ACC-03151,confirmed_fraud,0.45,2026-01-18
FC-00119,TXN-001699,ACC-04814,closed_no_fraud,0.48,2026-05-01
FC-00120,TXN-029986,ACC-02632,investigating,0.92,2026-03-21
FC-00121,TXN-010882,ACC-01124,open,0.71,2026-08-10
FC-00122,TXN-024963,ACC-03725,investigating,0.44,2026-07-11
FC-00123,TXN-020030,ACC-05247,closed_no_fraud,0.48,2026-01-03
FC-00124,TXN-047003,ACC-02175,investigating,0.95,2026-06-17
FC-00125,TXN-021401,ACC-02368,open,0.59,2026-06-20
FC-00126,TXN-043384,ACC-05821,investigating,0.44,2026-04-18
FC-00127,TXN-038082,ACC-06707,investigating,0.53,2026-08-20
FC-00128,TXN-002051,ACC-03215,closed_no_fraud,0.65,2026-06-25
FC-00129,TXN-025672,ACC-00443,investigating,0.78,2026-06-04
FC-00130,TXN-035105,ACC-05539,investigating,0.7,2026-03-18
FC-00131,TXN-048977,ACC-04985,closed_no_fraud,0.94,2026-05-15
FC-00132,TXN-039918,ACC-01087,confirmed_fraud,0.82,2026-08-19
FC-00133,TXN-019426,ACC-06287,investigating,0.86,2026-06-04
FC-00134,TXN-048175,ACC-04008,investigating,0.96,2026-05-23
FC-00135,TXN-004539,ACC-00220,confirmed_fraud,0.42,2026-03-21
FC-00136,TXN-027391,ACC-02892,closed_no_fraud,0.52,2026-03-20
FC-00137,TXN-034028,ACC-07442,open,0.72,2026-07-13
FC-00138,TXN-009325,ACC-04757,closed_no_fraud,0.88,2026-07-05
FC-00139,TXN-008858,ACC-02136,investigating,0.58,2026-04-24
FC-00140,TXN-003330,ACC-02257,open,0.83,2026-02-16
FC-00141,TXN-000510,ACC-05799,confirmed_fraud,0.45,2026-02-05
FC-00142,TXN-029347,ACC-02591,investigating,0.91,2026-05-27
FC-00143,TXN-012380,ACC-05953,closed_no_fraud,0.45,2026-05-17
FC-00144,TXN-029032,ACC-01735,confirmed_fraud,0.75,2026-05-16
FC-00145,TXN-039219,ACC-05445,open,0.84,2026-08-22
FC-00146,TXN-014926,ACC-05848,investigating,0.48,2026-01-01
FC-00147,TXN-028330,ACC-01872,investigating,0.41,2026-03-08
FC-00148,TXN-006080,ACC-04691,investigating,0.65,2026-06-19
FC-00149,TXN-048443,ACC-03134,confirmed_fraud,0.49,2026-08-17
FC-00150,TXN-006423,ACC-03549,investigating,0.54,2026-02-22
FC-00151,TXN-015316,ACC-05669,open,0.74,2026-04-15
FC-00152,TXN-004836,ACC-05963,closed_no_fraud,0.77,2026-02-06
FC-00153,TXN-042581,ACC-06161,confirmed_fraud,0.41,2026-04-05
FC-00154,TXN-033125,ACC-01233,investigating,0.47,2026-03-26
FC-00155,TXN-033312,ACC-00956,open,0.87,2026-03-24
FC-00156,TXN-021389,ACC-03348,investigating,0.93,2026-05-05
FC-00157,TXN-044289,ACC-02357,closed_no_fraud,0.78,2026-07-13
FC-00158,TXN-037383,ACC-00076,investigating,0.48,2026-03-21
FC-00159,TXN-004322,ACC-07444,closed_no_fraud,0.52,2026-06-05
FC-00160,TXN-001891,ACC-02770,confirmed_fraud,0.66,2026-05-03
FC-00161,TXN-026174,ACC-00054,confirmed_fraud,0.73,2026-05-13
FC-00162,TXN-047683,ACC-02067,closed_no_fraud,0.82,2026-01-28
FC-00163,TXN-048434,ACC-02138,investigating,0.63,2026-05-08
FC-00164,TXN-013976,ACC-02498,investigating,0.93,2026-02-12
FC-00165,TXN-041673,ACC-02963,closed_no_fraud,0.48,2026-07-25
FC-00166,TXN-038674,ACC-02026,investigating,0.63,2026-04-15
FC-00167,TXN-020422,ACC-03704,closed_no_fraud,0.55,2026-01-20
FC-00168,TXN-022066,ACC-04741,confirmed_fraud,0.42,2026-04-28
FC-00169,TXN-029603,ACC-03242,confirmed_fraud,0.56,2026-04-09
FC-00170,TXN-020271,ACC-05922,open,0.6,2026-01-10
FC-00171,TXN-046182,ACC-01746,confirmed_fraud,0.47,2026-03-22
FC-00172,TXN-016554,ACC-01906,closed_no_fraud,0.67,2026-04-28
FC-00173,TXN-021528,ACC-00039,investigating,0.5,2026-01-17
FC-00174,TXN-007945,ACC-02985,confirmed_fraud,0.97,2026-03-19
FC-00175,TXN-031773,ACC-06023,investigating,0.54,2026-04-28
FC-00176,TXN-012091,ACC-05934,open,0.85,2026-03-13
FC-00177,TXN-028693,ACC-00822,confirmed_fraud,0.9,2026-04-05
FC-00178,TXN-048481,ACC-06983,closed_no_fraud,0.43,2026-08-24
FC-00179,TXN-012322,ACC-01634,open,0.57,2026-02-03
FC-00180,TXN-004824,ACC-03133,investigating,0.45,2026-06-27
FC-00181,TXN-037422,ACC-00266,closed_no_fraud,0.73,2026-05-19
FC-00182,TXN-030631,ACC-00939,confirmed_fraud,0.53,2026-01-21
FC-00183,TXN-015265,ACC-03063,closed_no_fraud,0.77,2026-06-27
FC-00184,TXN-039760,ACC-02276,confirmed_fraud,0.53,2026-06-08
FC-00185,TXN-021060,ACC-03442,investigating,0.75,2026-07-03
FC-00186,TXN-015540,ACC-01084,closed_no_fraud,0.86,2026-05-12
FC-00187,TXN-014154,ACC-01033,closed_no_fraud,0.85,2026-03-23
FC-00188,TXN-000143,ACC-02282,confirmed_fraud,0.82,2026-07-09
FC-00189,TXN-030068,ACC-00281,confirmed_fraud,0.52,2026-03-07
FC-00190,TXN-045742,ACC-02843,confirmed_fraud,0.77,2026-01-19
FC-00191,TXN-045508,ACC-02551,closed_no_fraud,0.52,2026-06-20
FC-00192,TXN-020614,ACC-00985,closed_no_fraud,0.77,2026-07-12
FC-00193,TXN-040062,ACC-06733,investigating,0.97,2026-02-19
FC-00194,TXN-005955,ACC-02561,closed_no_fraud,0.88,2026-08-11
FC-00195,TXN-000064,ACC-03525,open,0.72,2026-02-16
FC-00196,TXN-049810,ACC-06292,investigating,0.65,2026-07-14
FC-00197,TXN-001499,ACC-04842,open,0.94,2026-01-11
FC-00198,TXN-004929,ACC-04321,confirmed_fraud,0.74,2026-08-27
FC-00199,TXN-014145,ACC-00806,confirmed_fraud,0.95,2026-02-14
FC-00200,TXN-020294,ACC-00363,confirmed_fraud,0.75,2026-03-11
FC-00201,TXN-002723,ACC-00929,closed_no_fraud,0.71,2026-08-15
FC-00202,TXN-018100,ACC-02613,investigating,0.85,2026-04-24
FC-00203,TXN-041682,ACC-02174,confirmed_fraud,0.48,2026-01-19
FC-00204,TXN-038586,ACC-01691,investigating,0.41,2026-05-21
FC-00205,TXN-002083,ACC-05162,investigating,0.63,2026-05-22
FC-00206,TXN-035377,ACC-02810,open,0.68,2026-02-22
FC-00207,TXN-023610,ACC-00372,open,0.83,2026-07-14
FC-00208,TXN-022971,ACC-06737,closed_no_fraud,0.48,2026-04-02
FC-00209,TXN-031008,ACC-02221,confirmed_fraud,0.72,2026-02-27
FC-00210,TXN-015381,ACC-04729,open,0.4,2026-03-20
FC-00211,TXN-022174,ACC-05226,confirmed_fraud,0.5,2026-03-08
FC-00212,TXN-011844,ACC-04167,investigating,0.93,2026-05-27
FC-00213,TXN-009137,ACC-03932,investigating,0.94,2026-07-14
FC-00214,TXN-026201,ACC-05929,confirmed_fraud,0.96,2026-08-12
FC-00215,TXN-020436,ACC-00756,confirmed_fraud,0.9,2026-08-28
FC-00216,TXN-026845,ACC-03465,closed_no_fraud,0.97,2026-03-08
FC-00217,TXN-020128,ACC-06018,open,0.77,2026-03-19
FC-00218,TXN-007954,ACC-02984,closed_no_fraud,0.85,2026-02-13
FC-00219,TXN-016621,ACC-04556,investigating,0.92,2026-07-10
FC-00220,TXN-028939,ACC-03703,closed_no_fraud,0.73,2026-01-02
FC-00221,TXN-037343,ACC-06072,closed_no_fraud,0.54,2026-04-15
FC-00222,TXN-020717,ACC-01237,confirmed_fraud,0.51,2026-03-08
FC-00223,TXN-038256,ACC-04645,confirmed_fraud,0.71,2026-03-24
FC-00224,TXN-038009,ACC-02683,confirmed_fraud,0.76,2026-05-01
FC-00225,TXN-046085,ACC-05791,confirmed_fraud,0.65,2026-06-04
FC-00226,TXN-030803,ACC-03043,closed_no_fraud,0.8,2026-02-26
FC-00227,TXN-032921,ACC-01818,open,0.68,2026-03-02
FC-00228,TXN-037543,ACC-03822,confirmed_fraud,0.9,2026-04-05
FC-00229,TXN-019220,ACC-02705,open,0.82,2026-06-06
FC-00230,TXN-004393,ACC-03836,confirmed_fraud,0.69,2026-07-05
FC-00231,TXN-031790,ACC-02404,closed_no_fraud,0.45,2026-04-22
FC-00232,TXN-005900,ACC-06496,closed_no_fraud,0.52,2026-05-01
FC-00233,TXN-017942,ACC-00043,confirmed_fraud,0.59,2026-07-11
FC-00234,TXN-049937,ACC-01516,confirmed_fraud,0.81,2026-06-04
FC-00235,TXN-045167,ACC-03239,investigating,0.43,2026-06-06
FC-00236,TXN-026127,ACC-03497,confirmed_fraud,0.6,2026-05-08
FC-00237,TXN-047309,ACC-06965,closed_no_fraud,0.84,2026-05-23
FC-00238,TXN-025754,ACC-06147,closed_no_fraud,0.44,2026-08-15
FC-00239,TXN-042234,ACC-01747,confirmed_fraud,0.51,2026-01-22
FC-00240,TXN-038740,ACC-06239,confirmed_fraud,0.94,2026-04-14
FC-00241,TXN-001958,ACC-05853,open,0.74,2026-03-18
FC-00242,TXN-009381,ACC-02959,investigating,0.4,2026-08-12
FC-00243,TXN-022403,ACC-03812,open,0.68,2026-03-10
FC-00244,TXN-027854,ACC-01644,closed_no_fraud,0.89,2026-07-05
FC-00245,TXN-004941,ACC-00403,investigating,0.63,2026-05-26
FC-00246,TXN-015177,ACC-04556,investigating,0.86,2026-07-28
FC-00247,TXN-024658,ACC-01634,closed_no_fraud,0.45,2026-07-12
FC-00248,TXN-008940,ACC-02322,closed_no_fraud,0.69,2026-04-08
FC-00249,TXN-039804,ACC-01465,confirmed_fraud,0.71,2026-05-15
FC-00250,TXN-030098,ACC-05580,open,0.58,2026-07-08
FC-00251,TXN-045823,ACC-07012,confirmed_fraud,0.61,2026-06-26
FC-00252,TXN-002527,ACC-05268,open,0.87,2026-02-13
FC-00253,TXN-033640,ACC-06133,investigating,0.67,2026-06-20
FC-00254,TXN-002038,ACC-04508,closed_no_fraud,0.64,2026-06-28
FC-00255,TXN-041503,ACC-01167,investigating,0.54,2026-07-24
FC-00256,TXN-045938,ACC-04560,open,0.49,2026-02-28
FC-00257,TXN-007625,ACC-01626,investigating,0.89,2026-07-28
FC-00258,TXN-045696,ACC-06671,confirmed_fraud,0.41,2026-08-26
FC-00259,TXN-032838,ACC-03389,open,0.67,2026-08-05
FC-00260,TXN-015549,ACC-07243,confirmed_fraud,0.84,2026-01-12
FC-00261,TXN-005606,ACC-05265,closed_no_fraud,0.59,2026-01-08
FC-00262,TXN-013391,ACC-03232,closed_no_fraud,0.87,2026-02-07
FC-00263,TXN-012417,ACC-04143,open,0.89,2026-03-05
FC-00264,TXN-047740,ACC-03786,confirmed_fraud,0.55,2026-07-24
FC-00265,TXN-009216,ACC-00035,open,0.46,2026-07-25
FC-00266,TXN-034573,ACC-06372,closed_no_fraud,0.52,2026-06-25
FC-00267,TXN-010318,ACC-01074,closed_no_fraud,0.59,2026-01-18
FC-00268,TXN-046499,ACC-05533,open,0.63,2026-07-19
FC-00269,TXN-016898,ACC-06086,closed_no_fraud,0.64,2026-03-01
FC-00270,TXN-008323,ACC-03279,open,0.89,2026-07-26
FC-00271,TXN-043029,ACC-06785,closed_no_fraud,0.51,2026-05-06
FC-00272,TXN-015867,ACC-00652,closed_no_fraud,0.8,2026-04-13
FC-00273,TXN-019590,ACC-00247,confirmed_fraud,0.48,2026-08-01
FC-00274,TXN-038679,ACC-06594,confirmed_fraud,0.4,2026-04-26
FC-00275,TXN-026543,ACC-05768,confirmed_fraud,0.78,2026-05-13
FC-00276,TXN-023671,ACC-02103,investigating,0.43,2026-01-27
FC-00277,TXN-002726,ACC-05280,investigating,0.51,2026-03-03
FC-00278,TXN-039094,ACC-00920,closed_no_fraud,0.93,2026-05-25
FC-00279,TXN-005915,ACC-07368,investigating,0.79,2026-04-27
FC-00280,TXN-002481,ACC-05303,investigating,0.91,2026-01-10
FC-00281,TXN-018037,ACC-04878,confirmed_fraud,0.48,2026-05-17
FC-00282,TXN-014562,ACC-00419,open,0.64,2026-02-15
FC-00283,TXN-047826,ACC-04610,confirmed_fraud,0.79,2026-02-12
FC-00284,TXN-037166,ACC-00180,confirmed_fraud,0.88,2026-01-16
FC-00285,TXN-009867,ACC-02466,closed_no_fraud,0.58,2026-03-22
FC-00286,TXN-003019,ACC-06204,investigating,0.72,2026-06-07
FC-00287,TXN-045320,ACC-01939,open,0.45,2026-07-17
FC-00288,TXN-027261,ACC-05396,confirmed_fraud,0.61,2026-08-09
FC-00289,TXN-023472,ACC-05353,investigating,0.53,2026-06-17
FC-00290,TXN-043580,ACC-06725,investigating,0.92,2026-03-11
FC-00291,TXN-025091,ACC-04852,investigating,0.44,2026-01-21
FC-00292,TXN-020083,ACC-02476,open,0.45,2026-01-26
FC-00293,TXN-040768,ACC-03556,investigating,0.43,2026-03-23
FC-00294,TXN-006677,ACC-07130,open,0.54,2026-02-28
FC-00295,TXN-020118,ACC-06618,investigating,0.93,2026-06-27
FC-00296,TXN-009312,ACC-04407,investigating,0.56,2026-06-19
FC-00297,TXN-043637,ACC-05391,open,0.62,2026-05-23
FC-00298,TXN-027708,ACC-03142,confirmed_fraud,0.61,2026-01-15
FC-00299,TXN-022716,ACC-03905,confirmed_fraud,0.51,2026-04-13
FC-00300,TXN-034903,ACC-02263,open,0.41,2026-07-19
FC-00301,TXN-012557,ACC-00654,investigating,0.87,2026-04-09
FC-00302,TXN-004201,ACC-06584,closed_no_fraud,0.91,2026-07-04
FC-00303,TXN-049321,ACC-06485,confirmed_fraud,0.96,2026-01-01
FC-00304,TXN-029017,ACC-01971,confirmed_fraud,0.45,2026-07-11
FC-00305,TXN-026049,ACC-07307,open,0.54,2026-05-07
FC-00306,TXN-024028,ACC-02558,closed_no_fraud,0.57,2026-07-23
FC-00307,TXN-045423,ACC-04779,open,0.59,2026-02-14
FC-00308,TXN-036713,ACC-01685,open,0.82,2026-06-16
FC-00309,TXN-022603,ACC-04269,investigating,0.97,2026-06-03
FC-00310,TXN-027808,ACC-05942,open,0.54,2026-08-06
FC-00311,TXN-040055,ACC-00485,open,0.57,2026-08-18
FC-00312,TXN-019296,ACC-03899,open,0.54,2026-03-23
FC-00313,TXN-002632,ACC-06385,confirmed_fraud,0.7,2026-06-22
FC-00314,TXN-031822,ACC-04491,closed_no_fraud,0.9,2026-07-27
FC-00315,TXN-042963,ACC-02587,investigating,0.59,2026-08-17
FC-00316,TXN-048902,ACC-00161,open,0.78,2026-06-26
FC-00317,TXN-036371,ACC-02980,open,0.56,2026-07-25
FC-00318,TXN-037653,ACC-01639,closed_no_fraud,0.77,2026-01-18
FC-00319,TXN-045224,ACC-06953,confirmed_fraud,0.66,2026-05-18
FC-00320,TXN-028418,ACC-06625,closed_no_fraud,0.63,2026-03-07
FC-00321,TXN-033882,ACC-04856,confirmed_fraud,0.76,2026-05-28
FC-00322,TXN-006380,ACC-02056,closed_no_fraud,0.77,2026-07-15
FC-00323,TXN-034094,ACC-02982,confirmed_fraud,0.7,2026-06-04
FC-00324,TXN-012537,ACC-04127,open,0.45,2026-03-13
FC-00325,TXN-022735,ACC-01467,open,0.52,2026-06-03
FC-00326,TXN-018621,ACC-03727,open,0.47,2026-06-01
FC-00327,TXN-004487,ACC-07100,investigating,0.52,2026-06-23
FC-00328,TXN-024783,ACC-02198,closed_no_fraud,0.44,2026-05-10
FC-00329,TXN-031841,ACC-06016,confirmed_fraud,0.8,2026-08-21
FC-00330,TXN-024685,ACC-00812,open,0.97,2026-01-15
FC-00331,TXN-048881,ACC-04098,closed_no_fraud,0.8,2026-06-20
FC-00332,TXN-013680,ACC-05829,closed_no_fraud,0.71,2026-06-02
FC-00333,TXN-029817,ACC-02679,confirmed_fraud,0.65,2026-05-02
FC-00334,TXN-012936,ACC-05441,investigating,0.88,2026-08-02
FC-00335,TXN-049821,ACC-02222,closed_no_fraud,0.96,2026-08-26
FC-00336,TXN-004265,ACC-00016,confirmed_fraud,0.49,2026-06-06
FC-00337,TXN-007820,ACC-02367,confirmed_fraud,0.92,2026-01-06
FC-00338,TXN-014466,ACC-07478,closed_no_fraud,0.62,2026-01-13
FC-00339,TXN-018396,ACC-03712,investigating,0.47,2026-06-02
FC-00340,TXN-049718,ACC-04567,confirmed_fraud,0.88,2026-04-17
FC-00341,TXN-033318,ACC-04980,confirmed_fraud,0.49,2026-01-12
FC-00342,TXN-000894,ACC-06977,open,0.58,2026-02-06
FC-00343,TXN-003124,ACC-04937,closed_no_fraud,0.46,2026-05-15
FC-00344,TXN-034292,ACC-05220,confirmed_fraud,0.61,2026-06-21
FC-00345,TXN-006096,ACC-01645,investigating,0.61,2026-07-16
FC-00346,TXN-045544,ACC-04896,open,0.72,2026-01-17
FC-00347,TXN-008756,ACC-03147,closed_no_fraud,0.67,2026-01-09
FC-00348,TXN-018005,ACC-05747,confirmed_fraud,0.5,2026-03-11
FC-00349,TXN-048347,ACC-00465,investigating,0.57,2026-08-13
FC-00350,TXN-023523,ACC-05027,closed_no_fraud,0.87,2026-03-10
FC-00351,TXN-039333,ACC-06200,confirmed_fraud,0.71,2026-01-20
FC-00352,TXN-030259,ACC-04472,investigating,0.5,2026-02-25
FC-00353,TXN-043465,ACC-06356,open,0.63,2026-08-16
FC-00354,TXN-030790,ACC-06078,open,0.45,2026-08-05
FC-00355,TXN-030204,ACC-04932,closed_no_fraud,0.8,2026-08-11
FC-00356,TXN-024043,ACC-04291,confirmed_fraud,0.5,2026-07-21
FC-00357,TXN-041115,ACC-03556,investigating,0.67,2026-06-15
FC-00358,TXN-024676,ACC-01224,investigating,0.5,2026-07-15
FC-00359,TXN-017402,ACC-05920,confirmed_fraud,0.95,2026-02-06
FC-00360,TXN-032330,ACC-00465,confirmed_fraud,0.5,2026-02-06
FC-00361,TXN-000737,ACC-03718,open,0.76,2026-01-15
FC-00362,TXN-044925,ACC-07199,investigating,0.66,2026-06-17
FC-00363,TXN-028883,ACC-05966,confirmed_fraud,0.97,2026-04-19
FC-00364,TXN-017865,ACC-00819,investigating,0.9,2026-01-01
FC-00365,TXN-009545,ACC-06077,open,0.95,2026-06-18
FC-00366,TXN-000664,ACC-03713,closed_no_fraud,0.76,2026-04-05
FC-00367,TXN-011691,ACC-02155,confirmed_fraud,0.62,2026-03-09
FC-00368,TXN-020842,ACC-04809,investigating,0.48,2026-03-26
FC-00369,TXN-033827,ACC-01415,open,0.93,2026-07-23
FC-00370,TXN-036396,ACC-01524,closed_no_fraud,0.78,2026-05-27
FC-00371,TXN-048261,ACC-00762,closed_no_fraud,0.56,2026-03-17
FC-00372,TXN-004555,ACC-05637,closed_no_fraud,0.91,2026-08-20
FC-00373,TXN-002528,ACC-07035,closed_no_fraud,0.57,2026-04-10
FC-00374,TXN-044383,ACC-02405,investigating,0.5,2026-08-15
FC-00375,TXN-002900,ACC-06165,confirmed_fraud,0.64,2026-01-14
